| Government | Australia |
| Diplomatic representation in the US: | FAX: [1] (202) 797-3168 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Honolulu, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Arthur B. CULVAHOUSE (since 19 February 2019) |
| Diplomatic representation from the US: | telephone: [61] (02) 6214-5600 |
| Diplomatic representation from the US: | embassy: Moonah Place, Yarralumla, Canberra, Australian Capital Territory 2600 |
| Diplomatic representation from the US: | mailing address: APO AP 96549 |
| Diplomatic representation from the US: | FAX: [61] (02) 6214-5970 |
| Diplomatic representation from the US: | consulate(s) general: Melbourne, Perth, Sydney |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant and a large seven-pointed star in the lower hoist-side quadrant known as the Commonwealth or Federation Star, representing the federation of the colonies of Australia in 1901; the star depicts one point for each of the six original states and one representing all of Australia's internal and external territories; on the fly half is a representation of the Southern Cross constellation in white with one small, five-pointed star and four larger, seven-pointed stars |
| National symbol(s): | Commonwealth Star (seven-pointed Star of Federation), golden wattle tree (Acacia pycnantha Benth), kangaroo, emu; national colors: green, gold |
| National anthem: | name: Advance Australia Fair |
| National anthem: | lyrics/music: Peter Dodds McCORMICK |
| National anthem: | note: adopted 1984; although originally written in the late 19th century, the anthem was not used for all official occasions until 1984; as a Commonwealth country, in addition to the national anthem, "God Save the Queen" serves as the royal anthem (see United Kingdom) |
