| Government | SAUDI ARABIA |
| Judicial branch: | highest court(s): High Court (consists of the court chief and is organized into circuits with 3-judge panels, except for the criminal circuit, which has a 5-judge panel for cases involving major punishments) |
| Judicial branch: | judge selection and term of office: High Court chief and chiefs of the High Court Circuits appointed by royal decree following the recommendation of the Supreme Judiciary Council, a 10-member body of high-level judges and other judicial heads; new judges and assistant judges serve 1- and 2-year probations, respectively, before permanent assignment |
| Judicial branch: | subordinate courts: Court of Appeals; Specialized Criminal Court, first-degree courts composed of general, criminal, personal status, and commercial courts; Labor Court; a hierarchy of administrative courts |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | other: gas companies; religious groups |
| International organization participation: | ABEDA, AfDB (nonregional member), AFESD, AMF, BIS, CAEU, CP, FAO, G-20, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Khalid bin Salman bin Abdulaziz AL SAUD (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 601 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-3800 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-5983 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Christopher HENZEL (since 9 January 2017) |
| Diplomatic representation from the US: | embassy: P.O. Box 94309, Riyadh 4693 |
| Diplomatic representation from the US: | mailing address: American Embassy, Unit 61307, APO AE 09803-1307; International Mail: P. O. Box 94309, Riyadh 11693 |
| Diplomatic representation from the US: | telephone: [966] (11) 488-3800 |
| Diplomatic representation from the US: | FAX: [966] (11) 488-7360 |
| Diplomatic representation from the US: | consulate(s) general: Dhahran, Jiddah (Jeddah) |
| Flag description: | green, a traditional color in Islamic flags, with the Shahada or Muslim creed in large white Arabic script (translated as "There is no god but God; Muhammad is the Messenger of God") above a white horizontal saber (the tip points to the hoist side); design dates to the early twentieth century and is closely associated with the Al Saud family which established the kingdom in 1932; the flag is manufactured with differing obverse and reverse sides so that the Shahada reads - and the sword points - correctly from right to left on both sides |
| Flag description: | note: the only national flag to display an inscription as its principal design; one of only three national flags that differ on their obverse and reverse sides - the others are Moldova and Paraguay |
| National symbol(s): | palm tree surmounting two crossed swords; national colors: green, white |
| National anthem: | name: "Aash Al Maleek" (Long Live Our Beloved King) |
| National anthem: | lyrics/music: Ibrahim KHAFAJI/Abdul Rahman al-KHATEEB |
| National anthem: | note: music adopted 1947, lyrics adopted 1984 |
