| Government | Netherlands |
| International organization participation: | ADB (nonregional members), AfDB (nonregional members), Arctic Council (observer), Australia Group, Benelux, BIS, CBSS (observer), CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNRWA, UNTSO, UNWTO, UPU, WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Regina "Renee" JONES-BOS |
| Diplomatic representation in the US: | chancery: 4200 Linnean Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-5300, [1] 877-388-2443 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-3430 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James B. CULBERTSON |
| Diplomatic representation from the US: | embassy: Lange Voorhout 102, 2514 EJ, The Hague |
| Diplomatic representation from the US: | mailing address: PSC 71, Box 1000, APO AE 09715 |
| Diplomatic representation from the US: | telephone: [31] (70) 310-2209 |
| Diplomatic representation from the US: | FAX: [31] (70) 361-4688 |
| Diplomatic representation from the US: | consulate(s) general: Amsterdam |
| Flag description: | three equal horizontal bands of red (top), white, and blue; similar to the flag of Luxembourg, which uses a lighter blue and is longer; one of the oldest flags in constant use, originating with WILLIAM I, Prince of Orange, in the latter half of the 16th century |
