| Government | Netherlands |
| Legislative branch: | First Chamber - percent of vote by party - NA; seats by party - VVD 13, CDA 12, D66 10, PVV 9, SP 9, PvdA 8, GL 4, CU 3, other 7; composition - men 49, women 26, percent of women 34.7% |
| Legislative branch: | Second Chamber - percent of vote by party - VVD 21.3%, PVV 13.1%, CDA 12.4%, D66 12.2%, GL 9.1%, SP 9.1%, PvdA 5.7%, CU 3.4%, PvdD 3.2%, 50 Plus 3.1%, other 7.4%; seats by party - VVD 33, PVV 20, CDA 19, D66 19, GL 14, SP 14, PvdA 9, CU 5, PvdD 5, 50 Plus 4, other 8; composition - men 96, women 54, percent of women 36%; note - total States General percent of women 35.6% |
| Political parties and leaders: | Christian Democratic Appeal or CDA [Sybrand VAN HAERSMA BUMA] |
| Political parties and leaders: | Christian Union or CU [Gert-Jan SEGERS] |
| Political parties and leaders: | Democrats 66 or D66 [Rob JETTEN] |
| Political parties and leaders: | Denk [Tunahan KUZU] |
| Political parties and leaders: | 50 Plus [Henk KROL] |
| Political parties and leaders: | Forum for Democracy or FvD [Thierry BAUDET] |
| Political parties and leaders: | Green Left or GL [Jesse KLAVER] |
| Political parties and leaders: | Labor Party or PvdA [Lodewijk ASSCHER] |
| Political parties and leaders: | Party for Freedom or PVV [Geert WILDERS] |
| Political parties and leaders: | Party for the Animals or PvdD [Marianne THIEME] |
| Political parties and leaders: | People's Party for Freedom and Democracy or VVD [Mark RUTTE] |
| Political parties and leaders: | Reformed Political Party or SGP [Kees VAN DER STAAIJ] |
| Political parties and leaders: | Socialist Party or SP [Emile ROEMER] |
| Political parties and leaders: | plus a few minor parties |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, Benelux, BIS, CBSS (observer), CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNMISS, UNRWA, UN Security Council (temporary), UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Hendrik Jan Jurriaan SCHUWER (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 4200 Linnean Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-5300, [1] 877-388-2443 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-3430 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter HOEKSTRA (since 10 January 2018) |
| Diplomatic representation from the US: | embassy: John Adams Park 1, 2244 BZ Wassenaar |
| Diplomatic representation from the US: | mailing address: PSC 71, Box 1000, APO AE 09715 |
| Diplomatic representation from the US: | telephone: [31] (70) 310-2209 |
| Diplomatic representation from the US: | FAX: [31] (70) 310-2207 |
| Diplomatic representation from the US: | consulate(s) general: Amsterdam |
| Flag description: | three equal horizontal bands of red (bright vermilion; top), white, and blue (cobalt); similar to the flag of Luxembourg, which uses a lighter blue and is longer; the colors were derived from those of WILLIAM I, Prince of Orange, who led the Dutch Revolt against Spanish sovereignty in the latter half of the 16th century; originally the upper band was orange, but because its dye tended to turn red over time, the red shade was eventually made the permanent color; the banner is perhaps the oldest tricolor in continuous use |
| National symbol(s): | lion, tulip; national color: orange |
| National anthem: | name: "Het Wilhelmus" (The William) |
| National anthem: | lyrics/music: Philips VAN MARNIX van Sint Aldegonde (presumed)/unknown |
| National anthem: | note: adopted 1932, in use since the 17th century, making it the oldest national anthem in the world; also known as "Wilhelmus van Nassouwe" (William of Nassau), it is in the form of an acrostic, where the first letter of each stanza spells the name of the leader of the Dutch Revolt |
