| Government | Pakistan |
| International organization participation: | ADB, ARF, ASEAN (dialogue partner), C, CICA, CP, D-8, ECO, FAO, G-11, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIC, OPCW, PCA, SAARC, SACEP, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Asad Majeed KHAN (since 11 January 2019) |
| Diplomatic representation in the US: | chancery: 3517 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-1534 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York |
| Diplomatic representation in the US: | consulate(s): Louisville (KY), San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Ambassador Paul W. JONES (since 24 September 2018) |
| Diplomatic representation from the US: | telephone: [92] 51-201-4000 |
| Diplomatic representation from the US: | embassy: Diplomatic Enclave, Ramna 5, Islamabad |
| Diplomatic representation from the US: | mailing address: 8100 Islamabad Place, Washington, DC 20521-8100 |
| Diplomatic representation from the US: | FAX: [92] 51-227-6427 |
| Diplomatic representation from the US: | consulate(s) general: Karachi, Lahore, Peshawar |
| Flag description: | green with a vertical white band (symbolizing the role of religious minorities) on the hoist side; a large white crescent and star are centered in the green field; the crescent, star, and color green are traditional symbols of Islam |
| National symbol(s): | five-pointed star between the horns of a waxing crescent moon, jasmine; national colors: green, white |
| National anthem: | name: "Qaumi Tarana" (National Anthem) |
| National anthem: | lyrics/music: Abu-Al-Asar Hafeez JULLANDHURI/Ahmed Ghulamali CHAGLA |
| National anthem: | note: adopted 1954; also known as "Pak sarzamin shad bad" (Blessed Be the Sacred Land) |
