| Government | Panama |
| Legislative branch: | description: unicameral National Assembly or Asamblea Nacional (71 seats; 45 members directly elected in multi-seat constituencies - populous towns and cities - by proportional representation vote and 26 directly elected in single-seat constituencies - outlying rural districts - by plurality vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 4 May 2014 (next to be held in May 2019) |
| Legislative branch: | election results: percent of vote by party - CD 33.7%, PRD 31.5%, Panamenista Party 20%, MOLIRENA 7.2%, PP 3.3%, other 1%, independent 3%; seats by party - PRD 30, CD 25, Panamenista 12, MOLIRENA 2, PP 1, independent 1 |
| Legislative branch: | note: an alliance between the Panamenista Party and Democratic Revolutionary Party (PRD) fractured after the 2014 election, but a loose coalition composed of Panamenista and moderate PRD and CD legislators generally work together to support the presidentâ€™s agenda |
| Political parties and leaders: | Democratic Change or CD [Romulo ROUX] |
| Political parties and leaders: | Democratic Revolutionary Party or PRD [Benicio ROBINSON] |
| Political parties and leaders: | Nationalist Republican Liberal Movement or MOLIRENA [Francisco "Pancho" ALEMAN] |
| Political parties and leaders: | Panamenista Party [Jose Luis "Popi" VARELA Rodriguez] (formerly the Arnulfista Party) |
| Political parties and leaders: | Popular Party or PP [Juan Carlos ARANGO Reese] (formerly Christian Democratic Party or PDC) |
| International organization participation: | BCIE, CAN (observer), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA, UN, UNASUR (observer), UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Emanuel Arturo GONZALEZ-REVILLA Lince (since 18 September 2014) |
| Diplomatic representation in the US: | chancery: 2862 McGill Terrace NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-1407 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-8413 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Miami, Long Beach (CA), New Orleans, New York, Philadelphia, Tampa, Washington DC |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant), Charge d'Affairs Roxanne CABRAL (since 9 March 2018) |
| Diplomatic representation from the US: | embassy: Edificio 783, Avenida Demetrio Basilio Lakas Panama, Apartado Postal 0816-02561, Zona 5, Panama City |
| Diplomatic representation from the US: | mailing address: American Embassy Panama, Unit 0945, APO AA 34002; American Embassy Panama, 9100 Panama City PL, Washington, DC 20521-9100 |
| Diplomatic representation from the US: | telephone: [507] 317-5000 |
| Diplomatic representation from the US: | FAX: [507] 317-5445 (2018) |
| Flag description: | divided into four, equal rectangles; the top quadrants are white (hoist side) with a blue five-pointed star in the center and plain red; the bottom quadrants are plain blue (hoist side) and white with a red five-pointed star in the center; the blue and red colors are those of the main political parties (Conservatives and Liberals respectively) and the white denotes peace between them; the blue star stands for the civic virtues of purity and honesty, the red star signifies authority and law |
| National symbol(s): | harpy eagle; national colors: blue, white, red |
| National anthem: | name: "Himno Istmeno" (Isthmus Hymn) |
| National anthem: | lyrics/music: Jeronimo DE LA OSSA/Santos A. JORGE |
| National anthem: | note: adopted 1925 |
