| Government | Panama |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PRD 35, CD 18, Panamenista 8, MOLIRENA 5, independent 5; composition - men 55, women 16, percent of women 22.5% |
| Judicial branch: | highest courts: Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 magistrates and 9 alternates and divided into civil, criminal, administrative, and general business chambers) |
| Judicial branch: | judge selection and term of office: magistrates appointed by the president for staggered 10-year terms |
| Judicial branch: | subordinate courts: appellate courts or Tribunal Superior; Labor Supreme Courts; Court of Audit; circuit courts or Tribunal Circuital (2 each in 9 of the 10 provinces); municipal courts; electoral, family, maritime, and adolescent courts |
| Political parties and leaders: | Democratic Change or CD [Romulo ROUX] |
| Political parties and leaders: | Democratic Revolutionary Party or PRD [Benicio ROBINSON] |
| Political parties and leaders: | Nationalist Republican Liberal Movement or MOLIRENA [Francisco "Pancho" ALEMAN] |
| Political parties and leaders: | Panamenista Party [Jose Luis "Popi" VARELA Rodriguez] (formerly the Arnulfista Party) |
| Political parties and leaders: | Popular Party or PP [Juan Carlos ARANGO Reese] (formerly Christian Democratic Party or PDC) |
| International organization participation: | BCIE, CAN (observer), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA, UN, UNASUR (observer), UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Juan RicardoÂ DE DIANOUS HENRIQUEZ (since 16 September 2019) |
| Diplomatic representation in the US: | chancery: 2862 McGill Terrace NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-1407 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-8413 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Miami, Los Angeles, New Orleans, New York, Philadelphia, Tampa, Washington DC |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant), Charge d'Affairs Roxanne CABRAL (since 9 March 2018) |
| Diplomatic representation from the US: | telephone: [507] 317-5000 |
| Diplomatic representation from the US: | embassy: Edificio 783, Avenida Demetrio Basilio Lakas Avenue, Clayton |
| Diplomatic representation from the US: | mailing address: American Embassy Panama, Unit 0945, APO AA 34002; American Embassy Panama, 9100 Panama City PL, Washington, DC 20521-9100 |
| Diplomatic representation from the US: | FAX: [507] 317-5445 (2018) |
| Flag description: | divided into four, equal rectangles; the top quadrants are white (hoist side) with a blue five-pointed star in the center and plain red; the bottom quadrants are plain blue (hoist side) and white with a red five-pointed star in the center; the blue and red colors are those of the main political parties (Conservatives and Liberals respectively) and the white denotes peace between them; the blue star stands for the civic virtues of purity and honesty, the red star signifies authority and law |
| National symbol(s): | harpy eagle; national colors: blue, white, red |
| National anthem: | name: "Himno Istmeno" (Isthmus Hymn) |
| National anthem: | lyrics/music: Jeronimo DE LA OSSA/Santos A. JORGE |
| National anthem: | note: adopted 1925 |
