| Government | ZAMBIA |
| Diplomatic representation in the US: | chancery: 2419 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9717 through 9719 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-0826 |
| Diplomatic representation from the US: | chief of mission: Ambassador Eric T. SCHULTZ (since 12 December 2014) |
| Diplomatic representation from the US: | embassy: Eastern end of Kabulonga Road, Ibex Hill, Lusaka |
| Diplomatic representation from the US: | mailing address: P. O. Box 320065, Lusaka |
| Diplomatic representation from the US: | telephone: [260] (211) 357-000 |
| Diplomatic representation from the US: | FAX: [260] ) (211) 357-224 |
| Flag description: | green field with a panel of three vertical bands of red (hoist side), black, and orange below a soaring orange eagle, on the outer edge of the flag; green stands for the country's natural resources and vegetation, red symbolizes the struggle for freedom, black the people of Zambia, and orange the country's mineral wealth; the eagle represents the people's ability to rise above the nation's problems |
| National symbol(s): | African fish eagle; national colors: green, red, black, orange |
| National anthem: | name: "Lumbanyeni Zambia" (Stand and Sing of Zambia, Proud and Free) |
| National anthem: | lyrics/music: multiple/Enoch Mankayi SONTONGA |
| National anthem: | note: adopted 1964; the melody, from the popular song "God Bless Africa," is the same as that of Tanzania but with different lyrics; the melody is also incorporated into South Africa's anthem |
