| Government | Iraq |
| Political parties and leaders: | Assyrian Democratic Movement [Yunadim KANNA]; Badr Organization [Hadi al-AMIRI]; Constitutional Monarchy Movement or CMM [Sharif Ali Bin al-HUSAYN]; Da'wa al-Islamiya Party [Ibrahim al-JA'FARI]; General Conference of Iraqi People [Adnan al-DULAYMI]; Independent Iraqi Alliance or IIA [Falah al-NAQIB]; Iraqi Communist Party [Hamid al-MUSA]; Iraqi Front for National Dialogue [Salih al-MUTLAQ]; Iraqi Hizballah [Karim Mahmud al-MUHAMMADAWI]; Iraqi Independent Democrats or IID [Adnan PACHACHI, Mahdi al-HAFIZ]; Iraqi Islamic Party or IIP [Tariq al-HASHIMI]; Iraqi National Accord or INA [Ayad ALLAWI]; Iraqi National Congress or INC [Ahmad CHALABI]; Iraqi National Council for Dialogue or INCD [Khalaf Ulayan al-Khalifawi al-DULAYMI]; Iraqi National Unity Movement or INUM [Ahmad al-KUBAYSI]; Islamic Action Organization or IAO [Ayatollah Muhammad al-MUDARRISI]; Jama'at al Fadilah or JAF [Muhammad Ali al-YAQUBI]; Kurdistan Democratic Party or KDP [Masud BARZANI]; Kurdistan Islamic Union [Salah ad-Din Muhammad BAHA al-DIN]; National Reconciliation and Liberation Party [Mishan al-JABBURI]; Patriotic Union of Kurdistan or PUK [Jalal TALABANI]; Sadrist Trend [Muqtada al-SADR] (not an organized political party, but it fields independent candidates affiliated with Muqtada al-SADR); Supreme Islamic Iraqi Council or SIIC [Abd al-Aziz al-HAKIM] |
| Political parties and leaders: | note: the Kurdistan Alliance, Iraqi National List, Tawafuq Coalition, Iraqi Front for National Dialogue, and Unified Iraqi Alliance were only electoral slates consisting of the representatives from the various Iraqi political parties |
| Political pressure groups and leaders: | an insurgency against the Government of Iraq and Coalition forces is primarily concentrated in Baghdad and in areas north, northeast, and west of the capital; the diverse, multigroup insurgency consists principally of Sunni Arabs whose only common denominator is a shared desire to oust the Coalition and end US influence in Iraq; a number of predominantly Shia militias, some associated with political parties, challenge governmental authority in Baghdad and southern Iraq |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, ISO, ITSO, ITU, LAS, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Samir Shakir al-SUMAYDI |
| Diplomatic representation in the US: | chancery: 1801 P Street, NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7500 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-5066 |
| Diplomatic representation from the US: | chief of mission: Ambassador Ryan C. CROCKER |
| Diplomatic representation from the US: | embassy: Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 1-240-553-0589 ext. 5340 or 5635; note - Consular Section |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black with three green five-pointed stars in a horizontal line centered in the white band; the phrase ALLAHU AKBAR (God is Great) in green Arabic script - Allahu to the right of the middle star and Akbar to the left of the middle star - was added in January 1991 during the Persian Gulf crisis; similar to the flag of Syria, which has two stars but no script, Yemen, which has a plain white band, and that of Egypt which has a gold Eagle of Saladin centered in the white band; design is based upon the Arab Liberation colors |
