| Government | IRAQ |
| Legislative branch: | elections: last held on 30 April 2014 (next to be held in 2018) |
| Legislative branch: | election results: Council of Representatives - percent of vote by party/coalition - NA; seats by coalition/party – State of Law Coalition 95, Ahrar Bloc/Sadrist Trend 34, ISCI/Muwatin 30, KDP 25, United for Reform Coalition/Muttahidun 23, PUK 21, Nationalism Coalition/Wataniyah 19, other Sunni coalitions/parties 15, Al-Arabiyah Coalition 10, Goran 9, other Shia parties/coalitions 9, Fadilah 6, National Reform Trend 6, Iraq Coalition 5, KIU 4, other 17 |
| Judicial branch: | highest court(s): Federal Supreme Court or FSC (consists of 9 judges); note - court jurisdiction limited to constitutional issues and disputes between regions or governorates and the central government; Court of Cassation (consists of a court president, 5 vice-presidents, and at least 24 judges) |
| Judicial branch: | judge selection and term of office: Federal Supreme Court and Court of Cassation judges appointed by the Higher Juridical Council, a 25-member committee of judicial officials that manage the judiciary and prosecutors; FSC members appointed for life; Court of Cassation judges appointed for 1-year probationary period and upon satisfactory performance may be confirmed for permanent tenure until retirement nominally at age 63 |
| Judicial branch: | subordinate courts: Courts of Appeal (governorate level); courts of first instance; personal status, labor, criminal, juvenile, and religious courts |
| Political parties and leaders: | Al-Arabiyah Coalition [Salih al-MUTLAQ] |
| Political parties and leaders: | Badr Organization [Hadi al-AMIRI] |
| Political parties and leaders: | Da`wa Party [Vice President Nuri al-MALIKI] |
| Political parties and leaders: | Da`wa Tanzim [Hashim al-MUSAWI] |
| Political parties and leaders: | Fadilah Party [Muhammad al-YAQUBI] |
| Political parties and leaders: | Goran Party [Nawhirwan MUSTAFA] |
| Political parties and leaders: | Iraq Coalition [Abd al-Salam al-HAMMUDI] |
| Political parties and leaders: | Iraqi Front for National Dialogue [Salih al-MUTLAQ] |
| Political parties and leaders: | Iraqi Justice and Reform Movement [Shaykh Abdallah al-YAWR] |
| Political parties and leaders: | Islamic Supreme Council of Iraq or ISCI/Muwatin Coalition [Ammar al-HAKIM] |
| Political parties and leaders: | Kurdistan Democratic Party or KDP [Masud BARZANI] |
| Political parties and leaders: | Kurdistan Islamic Union or KIU [Mohammed FARA] |
| Political parties and leaders: | Nationalism Coalition/Wataniyah [Vice President Ayad ALLAWI] |
| Political parties and leaders: | National Movement for Reform and Development [Muhammad al-KARBULI] |
| Political parties and leaders: | National Reform Trend [Foreign Minister Ibrahim al-JAFARI] |
| Political parties and leaders: | Patriotic Union of Kurdistan or PUK [former President Jalal TALABANI] |
| Political parties and leaders: | Sadrist Movement or Ahrar Bloc [Muqtada al-SADR] |
| Political parties and leaders: | State of Law Coalition [Vice President Nuri al MALIKI] |
| Political parties and leaders: | Unites for Reform Coalition/Muttahidun [Vice President Usama al-NUJAYFI] |
| Political parties and leaders: | note: numerous smaller local, tribal, and minority parties |
| Political pressure groups and leaders: | Sunni militias; Shia militias, some associated with political parties |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mohamad Jawad Mahdi Jawad ALQURAISHY (since 1 July 2016) |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Avenue, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Douglas A. SILLIMAN (since 1 September 2016) |
| Diplomatic representation from the US: | embassy: Al-Kindi Street, International Zone, Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 0760-030-3000 |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); the Council of Representatives approved this flag in 2008 as a compromise temporary replacement for the Ba'athist SADDAM-era flag |
| Flag description: | note: similar to the flag of Syria, which has two stars but no script; Yemen, which has a plain white band; and that of Egypt, which has a golden Eagle of Saladin centered in the white band |
| National symbol(s): | golden eagle; national colors: red, white, black |
| National anthem: | name: "Mawtini" (My Homeland) |
| National anthem: | lyrics/music: Ibrahim TOUQAN/Mohammad FLAYFEL |
| National anthem: | note: adopted 2004; following the ouster of SADDAM Husayn, Iraq adopted "Mawtini," a popular folk song throughout the Arab world; also serves as an unofficial anthem of the Palestinian people |
