| Government | Iraq |
| Judicial branch: | subordinate courts: Courts of Appeal (governorate level); civil courts including first instance, personal status, labor, and customs; criminal courts including felony, misdemeanor, investigative, major crimes, juvenile, and traffic; religious courts |
| Executive branch: | chief of state: President Barham SALIH (since 2 October 2018); vice presidents (vacant) |
| Executive branch: | head of government: Prime Minister Adil ABD AL-MAHDI (since 24 October 2018) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, approved by Council of Representatives |
| Executive branch: | elections/appointments: president indirectly elected by Council of Representatives (COR) to serve a 4-year term (eligible for a second term);Â COR election last held on 12 May 2018 (next to be held in 2022); prime minister nominated by the largest COR bloc or by consensusÂ and submission of COR minister nominees for majority COR approval; disapproval requires designation of a new prime minister candidate |
| Executive branch: | election results: |
| Executive branch: | COR vote in first round - Barham SALIH (PUK) 165, Fuad HUSAYN (KDP) 90; Barham SALIH elected president in second round -Â Barham SALIH 219, Fuad HUSAYN 22; note - the COR vote on 1 October 2018 failed due to a lack of quorum, and a new session was held on 2 October |
| Legislative branch: | description: unicameral Council of Representatives or Majlis an-Nuwwab al-Iraqiyy (329 seats; 320 members directly elected in multi-seat constituencies by open-list proportional representation vote and 9 seats at the national level reserved for minorities - 5 for Assyrians, 1 each for Mandaeans, Yazidis, Shabaks, Fayli Kurds; 25% of seats allocated to women; members serve 4-year terms); note - Iraq's constitution calls for the establishment of an upper house, the Federation Council, but it has not been instituted |
| Legislative branch: | elections: last held on 12 May 2018 (next to be held in 2022) |
| Legislative branch: | election results: percent of vote by party/coalition - NA; seats by party/coalition - Al Sa'irun Alliance 54, AlÂ Fatah Alliance 48, Al Nasir Alliance 42, KDP 25, State of Law Coalition 25, Wataniyah 21, National Wisdom Trend 19, PUK 18, Iraqi Decision Alliance 14, Anbar Our Identity 6, Goran Movement 5, New Generation 4, other 48; composition - men 245, women 84, percent of women 25.5% |
| Political parties and leaders: | Al Fatah Alliance [Hadi al-AMIRI] |
| Political parties and leaders: | Al Nasr Alliance [Haydar al-ABADI] |
| Political parties and leaders: | Al Sadiqun Bloc [Adnan al-DULAYMI] |
| Political parties and leaders: | Al Sa'irun Alliance [Muqtda al-SADR] |
| Political parties and leaders: | Anbar |
| Political parties and leaders: | Badr Organization [Hadi al-AMIRI] |
| Political parties and leaders: | Da`wa Party [Nuri al-MALIKI] |
| Political parties and leaders: | Fadilah Party [Muhammad al-YAQUBI] |
| Political parties and leaders: | Goran Movement [Omar SAYYID ALI] |
| Political parties and leaders: | Iraqi Communist Party [Hamid Majid MUSA] |
| Political parties and leaders: | Iraq Decision Alliance [Usama al-NUJAYFI] |
| Political parties and leaders: | Islamic Supreme Council of Iraq or ISCI [Humam HAMMUDI] |
| Political parties and leaders: | Kurdistan Democratic Party or KDP [Masud BARZANI] |
| Political parties and leaders: | National Wisdom Trend [Ammar al-HAKIM] |
| Political parties and leaders: | New Generation Movement [SHASWAR Abd al-Wahid Qadir] |
| Political parties and leaders: | Our Identity [Muhammad al-HALBUSI] |
| Political parties and leaders: | Patriotic Union of Kurdistan or PUK [KOSRAT Rasul Ali, acting] |
| Political parties and leaders: | State of Law Coalition [Nuri al MALIKI |
| Political parties and leaders: | Wataniyah coalition [Ayad ALLAWI] |
| Political parties and leaders: | numerous smaller religious, local, tribal, and minority parties |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Farid YASIN (since 18 January 2017) |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Avenue, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Douglas A. SILLIMAN (since 1 September 2016) |
| Diplomatic representation from the US: | embassy: Al-Kindi Street, International Zone, Baghdad; note - consulate in Al Basrah closed as of 28 September 2018 |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 0760-030-3000 |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); the Council of Representatives approved this flag in 2008 as a compromise replacement for the Ba'thist SADDAM-era flag |
| Flag description: | note: similar to the flag of Syria, which has two stars but no script; Yemen, which has a plain white band; and that of Egypt, which has a golden Eagle of Saladin centered in the white band |
| National symbol(s): | golden eagle; national colors: red, white, black |
| National anthem: | name: "Mawtini" (My Homeland) |
| National anthem: | lyrics/music: Ibrahim TOUQAN/Mohammad FLAYFEL |
| National anthem: | note: adopted 2004; following the ouster of SADDAM Husayn, Iraq adopted "Mawtini," a popular folk song throughout the Arab world; also serves as an unofficial anthem of the Palestinian people |
