| Government | TAIWAN |
| Diplomatic representation in the US: | none; commercial and cultural relations with the people in the United States are maintained through an unofficial instrumentality, the Taipei Economic and Cultural Representative Office in the United States (TECRO), a private nonprofit corporation that performs citizen and consular services similar to those at diplomatic posts |
| Diplomatic representation in the US: | representative: KAO Shuo-tai (a.k.a. Stanley KAO) (since 5 June 2016) |
| Diplomatic representation in the US: | office: 4201 Wisconsin Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] 202 895-1800 |
| Diplomatic representation in the US: | Taipei Economic and Cultural Offices (branch offices): Atlanta, Boston, Chicago, Denver (CO), Hagatna (Guam), Houston, Honolulu, Los Angeles, Miami, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | none; commercial and cultural relations with the people on Taiwan are maintained through an unofficial instrumentality, the American Institute in Taiwan (AIT), a private nonprofit corporation that performs citizen and consular services similar to those at diplomatic posts |
| office: | telephone: [1] [886] (02) 2162-2000 |
| office: | FAX: [1] [886] (02) 2162-2251 |
| office: | other offices: Kaohsiung (Branch Office) |
| Flag description: | red field with a dark blue rectangle in the upper hoist-side corner bearing a white sun with 12 triangular rays; the blue and white design of the canton (symbolizing the sun of progress) dates to 1895; it was later adopted as the flag of the Kuomintang Party; blue signifies liberty, justice, and democracy; red stands for fraternity, sacrifice, and nationalism, white represents equality, frankness, and the people's livelihood; the 12 rays of the sun are those of the months and the twelve traditional Chinese hours (each ray equals two hours) |
| National symbol(s): | white, 12-rayed sun on blue field; national colors: blue, white, red |
| National anthem: | name: "Zhonghua Minguo guoge" (National Anthem of the Republic of China) |
| National anthem: | lyrics/music: HU Han-min, TAI Chi-t'ao, and LIAO Chung-k'ai/CHENG Mao-Yun |
| National anthem: | note: adopted 1930; also the song of the Kuomintang Party; it is informally known as "San Min Chu I" or "San Min Zhu Yi" (Three Principles of the People); because of political pressure from China, "Guo Qi Ge" (National Banner Song) is used at international events rather than the official anthem of Taiwan; the "National Banner Song" has gained popularity in Taiwan and is commonly used during flag raisings |
