| Government | UGANDA |
| Executive branch: | election results: Yoweri Kaguta MUSEVENI reelected president; percent of vote - Yoweri Kaguta MUSEVENI (NRM) 60.6%, Kizza BESIGYE (FDC) 35.6%, other 3.8% |
| Legislative branch: | description: unicameral National Assembly or Parliament (427 seats; 290 members directly elected in single-seat constituencies by simple majority vote, 112 for women directly elected in single-seat constituencies by simple majority vote, and 25 "representatives" reserved for special interest groups - army 10, disabled 5, youth 5, labor 5; there are 13 ex-officio members appointed by the president; members serve 5-year terms) |
| Legislative branch: | elections: last held on 18 February 2016 (next to be held in February 2021) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest court(s): Supreme Court of Uganda (consists of the chief justice and at least 10 justices) |
| Judicial branch: | judge selection and term of office: justices appointed by the president of the republic in consultation with the Judicial Service Commission (a 9-member independent advisory body) and approved by the National Assembly; justices serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal (also sits as the Constitutional Court); High Court (includes 12 High Court Circuits and 8 High Court Divisions); Industrial Court; Chief Magistrate Grade One and Grade Two Courts throughout the country; qadhis courts ; local council courts; family and children courts |
| Political parties and leaders: | Conservative Party or CP [Ken LUKYAMUZI] |
| Political parties and leaders: | Democratic Party or DP [Norbert MAO] |
| Political parties and leaders: | Forum for Democratic Change or FDC [Mugisha MUNTU] |
| Political parties and leaders: | Justice Forum or JEEMA [Asuman BASALIRWA] |
| Political parties and leaders: | National Resistance Movement or NRM [Yoweri MUSEVENI] |
| Political parties and leaders: | Ugandan People's Congress or UPC [Olara OTUNNU] |
| Political pressure groups and leaders: | National Association of Women Organizations in Uganda or NAWOU [Florence NEKYON] |
| Political pressure groups and leaders: | Parliamentary Advocacy Forum or PAFO |
| Political pressure groups and leaders: | Ugandan Coalition for Political Accountability to Women or COPAW |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Oliver WONEKHA (since 6 June 2013) |
| Diplomatic representation in the US: | chancery: 5911 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7100 through 7102, 0416 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1727 |
| Diplomatic representation from the US: | chief of mission: Ambsssador Deborah R. MALAC (since 27 February 2016) |
| Diplomatic representation from the US: | embassy: 1577 Ggaba Road, Kampala |
| Diplomatic representation from the US: | mailing address: P.O. Box 7007, Kampala |
| Diplomatic representation from the US: | telephone: [256] (414) 259 791 through 93, 95 |
| Diplomatic representation from the US: | FAX: [256] (414) 259-794 |
| Flag description: | six equal horizontal bands of black (top), yellow, red, black, yellow, and red; a white disk is superimposed at the center and depicts a grey crowned crane (the national symbol) facing the hoist side; black symbolizes the African people, yellow sunshine and vitality, red African brotherhood; the crane was the military badge of Ugandan soldiers under the UK |
| National symbol(s): | grey crowned crane; national colors: black, yellow, red |
| National anthem: | name: "Oh Uganda, Land of Beauty!" |
| National anthem: | lyrics/music: George Wilberforce KAKOMOA |
| National anthem: | note: adopted 1962 |
