| Government | Uganda |
| Judicial branch: | judge selection and term of office: justices appointed by the president in consultation with the Judicial Service Commission (a 9-member independent advisory body) and with  approval of the National Assembly; justices serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal (also sits as the Constitutional Court); High Court (includes 10 High Court Circuits and 7 High Court Divisions); Chief Magistrate Grade One and Grade Two Courts |
| Political parties and leaders: | Conservative Party or CP [Ken LUKYAMUZI] |
| Political parties and leaders: | Democratic Party or DP [Norbert MAO] |
| Political parties and leaders: | Forum for Democratic Change or FDC [Muntu MUGISHA] |
| Political parties and leaders: | Inter-Party Co-operation or IPC (a coalition of opposition groups) |
| Political parties and leaders: | Justice Forum or JEEMA [Asuman BASALIRWA] |
| Political parties and leaders: | National Resistance Movement or NRM [Yoweri MUSEVENI] |
| Political parties and leaders: | Peoples Progressive Party or PPP [Bidandi SSALI] |
| Political parties and leaders: | Ugandan People's Congress or UPC [Olara OTUNNU] |
| Political parties and leaders: | note: a national referendum in July 2005 opened the way for Uganda's transition to a multi-party political system |
| Political pressure groups and leaders: | Lord's Resistance Army or LRA [Joseph KONY] |
| Political pressure groups and leaders: | Parliamentary Advocacy Forum or PAFO |
| Political pressure groups and leaders: | National Association of Women Organizations in Uganda or NAWOU [Florence NEKYON] |
| Political pressure groups and leaders: | The Ugandan Coalition for Political Accountability to Women or COPAW |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Oliver WONEKHA (since 6 June 2013) |
| Diplomatic representation in the US: | chancery: 5911 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7100 through 7102, 0416 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1727 |
| Diplomatic representation from the US: | chief of mission: Ambassador Scott H. DELISI (since 18 July 2012) |
| Diplomatic representation from the US: | embassy: 1577 Ggaba Road, Kampala |
| Diplomatic representation from the US: | mailing address: P. O. Box 7007, Kampala |
| Diplomatic representation from the US: | telephone: [256] (414) 259 791 through 93, 95 |
| Diplomatic representation from the US: | FAX: [256] (414) 259-794 |
| Flag description: | six equal horizontal bands of black (top), yellow, red, black, yellow, and red; a white disk is superimposed at the center and depicts a grey crowned crane (the national symbol) facing the hoist side; black symbolizes the African people, yellow sunshine and vitality, red African brotherhood; the crane was the military badge of Ugandan soldiers under the UK |
| National symbol(s): | grey crowned crane |
| National anthem: | name: "Oh Uganda, Land of Beauty!" |
| National anthem: | lyrics/music: George Wilberforce KAKOMOA |
| National anthem: | note: adopted 1962 |
