| Government | Uganda |
| Executive branch: | head of government: President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); Prime Minister Ruhakana RUGUNDA (since 19 September 2014); First Deputy Prime Minister Moses ALI (since 6 June 2016); Second Deputy Prime Minister Kirunda KIVEJINJA (since 6 June 2016)Â  |
| Executive branch: | cabinet: Cabinet appointed by the president from among elected members of the National Assembly or persons who qualify to be elected as members of the National AssemblyÂ  |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); election last held on 18 February 2016 (next scheduled to be held February 2021) |
| Executive branch: | election results: Yoweri Kaguta MUSEVENI reelected president in the first round; percent of vote - Yoweri Kaguta MUSEVENI (NRM) 60.6%, Kizza BESIGYE (FDC) 35.6%, other 3.8% |
| Executive branch: | head of state: President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); note - the president is both head of state and head of government |
| Legislative branch: | description: unicameral National Assembly or Parliament (445 seats; 290 members directly elected in single-seat constituencies by simple majority vote, 112 for women directly elected in single-seat districts by simple majority vote, and 25 "representatives" reserved for special interest groups - army 10, disabled 5, youth 5, labor 5; up to 18 ex officio members appointed by the president; members serve 5-year terms) |
| Legislative branch: | elections: last held on 18 February 2016 (next to be held in February 2021) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NRM 292, FDC 37, DP 5, UPDF 10, UPC 6, independent 66 (excludes 19 ex-officio members) |
| Judicial branch: | highest courts: Supreme Court of Uganda (consists of the chief justice and at least 6 justices) |
| Judicial branch: | judge selection and term of office: justices appointed by the president of the republic in consultation with the Judicial Service Commission, an 8-member independent advisory body, and approved by the National Assembly; justices serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal (also acts as the Constitutional Court); High Court (includes 12 High Court Circuits and 8 High Court Divisions); Industrial Court; Chief Magistrate Grade One and Grade Two Courts throughout the country; qadhis courts; local council courts; family and children courts |
| Political parties and leaders: | Alliance for National Transformation or ANT [Ms. Alice ALASO, acting national coordinator]; note - Mugisha MUNTU resigned his position as ANT national coordinator in late June 2020 to run in the 2021 presidential election |
| Political parties and leaders: | Activist Party [Stephen BAMPIGGA] |
| Political parties and leaders: | Democratic Party or DP [Norbert MAO] |
| Political parties and leaders: | Conservative Party [Walyemera Daniel MASUMBA] |
| Political parties and leaders: | Forum for Democratic Change or FDC [Patrick Oboi AMURIAT] |
| Political parties and leaders: | Justice Forum or JEEMA [Asuman BASALIRWA] |
| Political parties and leaders: | National Resistance Movement or NRM [Yoweri MUSEVENI] |
| Political parties and leaders: | Uganda People's Congress or UPC [James AKENA] |
| Political parties and leaders: | National Unity Platform [Nkonge KIBALAMA] |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mull Sebujja KATENDE (since 8 September 2017) |
| Diplomatic representation in the US: | chancery: 5911 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7100 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1727 |
| Diplomatic representation from the US: | chief of mission: Ambassador Natalie E. BROWN (since 17 November 2020) |
| Diplomatic representation from the US: | telephone: (256)-414-259791 |
| Diplomatic representation from the US: | embassy: 1577 Ggaba Road, Kampala |
| Diplomatic representation from the US: | mailing address: P.O. Box 7007, Kampala |
| Diplomatic representation from the US: | FAX: [256] 414-306-009 |
| Flag description: | six equal horizontal bands of black (top), yellow, red, black, yellow, and red; a white disk is superimposed at the center and depicts a grey crowned crane (the national symbol) facing the hoist side; black symbolizes the African people, yellow sunshine and vitality, red African brotherhood; the crane was the military badge of Ugandan soldiers under the UK |
| National symbol(s): | grey crowned crane; national colors: black, yellow, red |
| National anthem: | name: Oh Uganda, Land of Beauty! |
| National anthem: | lyrics/music: George Wilberforce KAKOMOA |
| National anthem: | note: adopted 1962 |
