| Government | NEPAL |
| Political parties and leaders: | Nepa Rastriya Party [Keshav Man SHAKYA] |
| Political parties and leaders: | Rastriya Janamorcha Nepal [Chitra Bahadur K.C.] |
| Political parties and leaders: | Rastriya Janamukti Party [Malwar Singh THAPA] |
| Political parties and leaders: | Rastriya Prajatantra Party [Surya Bahadur THAPA] |
| Political parties and leaders: | Rastriya Prajatantra Party-Nepal [Kamal THAPA] |
| Political parties and leaders: | Sadbhavana Party [Rajendra MAHATO] |
| Political parties and leaders: | Samajbadi Janata Party Nepal [Prem Bahadur SINGH] |
| Political parties and leaders: | Sanghiya Sadbhavana Party [Anil JHA] |
| Political parties and leaders: | Sanghiye Lokatantrik Rastriya Manch [Rukmini CHAUDARY] |
| Political parties and leaders: | Terai Madhes Democratic Party [Mahantha THAKUR] |
| Political parties and leaders: | Terai Madhes Sadbhavana Party-Nepal [Mahendra YADAV] |
| Political parties and leaders: | Tharuhat Terai Party Nepal [Bhanuram CHAUDARY] |
| Political parties and leaders: | Unified Communist Party of Nepal (Maoist) or UCPN(M) [Pushpa Kamal DAHAL, also known as PRACHANDA] |
| Political pressure groups and leaders: | other: various groups advocating regional autonomy such as the Federal State Limbuwan Council in far eastern Nepal |
| International organization participation: | ADB, BIMSTEC, CD, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MINUSTAH, MONUSCO, NAM, OPCW, SAARC, SACEP, UN, UNAMID, UNCTAD, UNDOF, UNESCO, UNIDO, UNIFIL, UNMIL, UNMISS, UNOCI, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Arjun Kumar KARKI (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 2131 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-4550 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5534 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland (OH), New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter W. BODDE (since 10 September 2012) |
| Diplomatic representation from the US: | embassy: Maharajgunj, Kathmandu |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [977] (1) 423-4000 |
| Diplomatic representation from the US: | FAX: [977] (1) 400-7272 |
| Flag description: | red with a blue border around the unique shape of two overlapping right triangles; the smaller, upper triangle bears a white stylized moon and the larger, lower triangle displays a white 12-pointed sun; the color red represents the rhododendron (Nepal's national flower) and is a sign of victory and bravery, the blue border signifies peace and harmony; the two right triangles are a combination of two single pennons (pennants) that originally symbolized the Himalaya Mountains while their charges represented the families of the king (upper) and the prime minister, but today they are understood to denote Hinduism and Buddhism, the country's two main religions; the moon represents the serenity of the Nepalese people and the shade and cool weather in the Himalayas, while the sun depicts the heat and higher temperatures of the lower parts of Nepal; the moon and the sun are also said to express the hope that the nation will endure as long as these heavenly bodies |
| Flag description: | note: Nepal is the only country in the world whose flag is not rectangular or square |
| National symbol(s): | rhododendron blossom; national color: red |
| National anthem: | name: "Sayaun Thunga Phool Ka" (Hundreds of Flowers) |
| National anthem: | lyrics/music: Pradeep Kumar RAI/Ambar GURUNG |
| National anthem: | note: adopted 2007; after the abolition of the monarchy in 2006, a new anthem was required because of the previous anthem's praise for the king |
