| Government | ERITREA |
| Diplomatic representation in the US: | FAX: [1] (202) 319-1304 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Louis MAZEL (since 10 July 2014) |
| Diplomatic representation from the US: | embassy: 179 Ala Street, Asmara |
| Diplomatic representation from the US: | mailing address: P. O. Box 211, Asmara |
| Diplomatic representation from the US: | telephone: [291] (1) 120004 |
| Diplomatic representation from the US: | FAX: [291] (1) 127584 |
| Flag description: | red isosceles triangle (based on the hoist side) dividing the flag into two right triangles; the upper triangle is green, the lower one is blue; a gold wreath encircling a gold olive branch is centered on the hoist side of the red triangle; green stands for the country's agriculture economy, red signifies the blood shed in the fight for freedom, and blue symbolizes the bounty of the sea; the wreath-olive branch symbol is similar to that on the first flag of Eritrea from 1952; the shape of the red triangle broadly mimics the shape of the country |
| Flag description: | note: one of several flags where a prominent component of the design reflects the shape of the country; other such flags are those of Bosnia and Herzegovina, Brazil, and Vanuatu |
| National symbol(s): | camel; national colors: green, red, blue |
| National anthem: | name: "Ertra, Ertra, Ertra" (Eritrea, Eritrea, Eritrea) |
| National anthem: | lyrics/music: SOLOMON Tsehaye Beraki/Isaac Abraham MEHAREZGI and ARON Tekle Tesfatsion |
| National anthem: | note: adopted 1993; upon independence from Ethiopia |
