| Government | Puerto Rico |
| Legislative branch: | Senate or Senado (30 seats; 16 members directly elected in 8 2-seat constituencies by simple majority vote and 14 at-large members directly elected by simple majority vote to serve 4-year terms) |
| Legislative branch: | House of Representatives or Camara de Representantes (51 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 8 November 2016 (next to be held on 3 November 2020) |
| Legislative branch: | House of Representatives - last held on 8 November 2016 (next to be held on 3 November 2020) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - PNP 21, PPD 7, PIP 1, Independent 1; composition - men 23, women 7, percent of women 23.3% |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - PNP 34, PPD 16, PIP 1; composition - men 11, women 4, percent of women 26.7%; total Legislative Assembly percent of women 16% |
| Legislative branch: | note: Puerto Rico directly elects 1 member by simple majority vote to serve a 4-year term as a commissioner to the US House of Representatives; the commissioner can vote when serving on a committee and when the House meets as the Committee of the Whole House but not when legislation is submitted for a 'full floor' House vote; election of commissioner last held on 6 November 2018 (next to be held in November 2022) |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 8 associate justices) |
| Judicial branch: | judge selection and term of office: justices appointed by the governor and confirmed by majority Senate vote; judges serve until compulsory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeals; First Instance Court comprised of superior and municipal courts |
| Political parties and leaders: | National Democratic Party [Charlie RODRIGUEZ] |
| Political parties and leaders: | National Republican Party of Puerto Rico [Jenniffer GONZALEZ] |
| Political parties and leaders: | New Progressive Party or PNP [Ricardo ROSSELLO] (pro-US statehood) |
| Political parties and leaders: | Popular Democratic Party or PPD [Alejandro GARCIA Padillo] (pro-commonwealth) |
| Political parties and leaders: | Puerto Rican Independence Party or PIP [Ruben BERRIOS Martinez] (pro-independence) |
| International organization participation: | AOSIS (observer), Caricom (observer), Interpol (subbureau), IOC, UNWTO (associate), UPU, WFTU (NGOs) |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US with commonwealth status) |
| Flag description: | five equal horizontal bands of red (top, center, and bottom) alternating with white; a blue isosceles triangle based on the hoist side bears a large, white, five-pointed star in the center; the white star symbolizes Puerto Rico; the three sides of the triangle signify the executive, legislative and judicial parts of the government; blue stands for the sky and the coastal waters; red symbolizes the blood shed by warriors, while white represents liberty, victory, and peace |
| Flag description: | note: design initially influenced by the US flag, but similar to the Cuban flag, with the colors of the bands and triangle reversed |
| National symbol(s): | Puerto Rican spindalis (bird), coqui (frog); national colors: red, white, blue |
| National anthem: | name: "La Borinquena" (The Puerto Rican) |
| National anthem: | lyrics/music: Manuel Fernandez JUNCOS/Felix Astol ARTES |
| National anthem: | note: music adopted 1952, lyrics adopted 1977; the local anthem's name is a reference to the indigenous name of the island, Borinquen; the music was originally composed as a dance in 1867 and gained popularity in the early 20th century; there is some evidence that the music was written by Francisco RAMIREZ; as a commonwealth of the US, "The Star-Spangled Banner" is official (see United States) |
