| Government | Djibouti |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - UMP 57, UDJ-PDD 7, CDU 1; composition - men 47, women 18, percent of women 26.7% |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of NA magistrates); Constitutional Council (consists of 6 magistrates) |
| Judicial branch: | judge selection and term of office: Supreme Court magistrates appointed by the president with the advice of the Superior Council of the Magistracy CSM, a 10-member body consisting of 4 judges, 3 members (non parliamentarians and judges) appointed by the president, and 3 appointed by the National Assembly president or speaker; magistrates appointed for life with retirement at age 65; Constitutional Council magistrate appointments - 2 by the president of the republic, 2 by the president of the National Assembly, and 2 by the CSM; magistrates appointed for 8-year, non-renewable terms |
| Judicial branch: | subordinate courts: High Court of Appeal; 5 Courts of First Instance; customary courts; State Court (replaced sharia courts in 2003) |
| Political parties and leaders: | Center for United Democrats or CDU [Ahmed Mohamed YOUSSOUF, chairman] |
| Political parties and leaders: | Democratic Renewal Party or PRD [Abdillahi HAMARITEH] |
| Political parties and leaders: | Djibouti Development Party or PDD [Mohamed Daoud CHEHEM] |
| Political parties and leaders: | Front for Restoration of Unity and Democracy (Front pour la Restauration de l'Unite Democratique) or FRUD [Ali Mohamed DAOUD] |
| Political parties and leaders: | Movement for Democratic Renewal and Development [Daher Ahmed FARAH] |
| Political parties and leaders: | Movement for Development and Liberty or MoDel [Ismail Ahmed WABERI] |
| Political parties and leaders: | National Democratic Party or PND [Aden Robleh AWALEH] |
| Political parties and leaders: | People's Rally for Progress or RPP [Ismail Omar GUELLEH] (governing party) |
| Political parties and leaders: | Peoples Social Democratic Party or PPSD [Hasna Moumin BAHDON] |
| Political parties and leaders: | Republican Alliance for Democracy or ARD [Aden Mohamed ABDOU, interim president] |
| Political parties and leaders: | Union for a Presidential Majority or UMP (coalition includes RPP, FRUD, PND, PPSD) |
| Political parties and leaders: | Union for Democracy and Justice or UDJ [Ilya Ismail GUEDI Hared] |
| International organization participation: | ACP, AfDB, AFESD, AMF, AU, CAEU (candidates), COMESA, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, ITUC (NGOs), LAS, MIGA, MINURSO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohamed Said DOUALEH (28 December 2016) |
| Diplomatic representation in the US: | chancery: 1156 15th Street NW, Suite 515, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-0270 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-0302 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry Edward ANDRE, Jr. (since 20 November 2017) |
| Diplomatic representation from the US: | telephone: [253] 21 45 30 00 |
| Diplomatic representation from the US: | embassy: Lot 350-B, Haramouss B. P. 185 |
| Diplomatic representation from the US: | mailing address: B.P. 185, Djibouti |
| Diplomatic representation from the US: | FAX: [253] 21 45 31 29 |
| Flag description: | two equal horizontal bands of light blue (top) and light green with a white isosceles triangle based on the hoist side bearing a red five-pointed star in the center; blue stands for sea and sky and the Issa Somali people; green symbolizes earth and the Afar people; white represents peace; the red star recalls the struggle for independence and stands for unity |
| National symbol(s): | red star; national colors: light blue, green, white, red |
| National anthem: | name: "Jabuuti" (Djibouti) |
| National anthem: | lyrics/music: Aden ELMI/Abdi ROBLEH |
| National anthem: | note: adopted 1977 |
