| Government | Egypt |
| Political parties and leaders: | Al-Wasat Party [Abou Elela MADY] |
| Political parties and leaders: | Al-Watan [Imad Abd al-GHAFUR] |
| Political parties and leaders: | Building and Development Party or BDP [Nasr Abdul-SALAM] |
| Political parties and leaders: | Dustour (Constitution) Party [Hala SHUKRALLAH] |
| Political parties and leaders: | Egyptian Current Party |
| Political parties and leaders: | Egypt of Freedom Party [Amr HAMZAWY] |
| Political parties and leaders: | El Tagamu'u Party [Sayed Abdel AAL] |
| Political parties and leaders: | Freedom and Justice Party [Muhammad Saad al-KATATNI] |
| Political parties and leaders: | Free Egyptians Party [Ahmad SAID] |
| Political parties and leaders: | New Wafd Party [Sayed al-BADADWI] |
| Political parties and leaders: | Reform and Development Party [Muhammad Anwar al-SADAT] |
| Political parties and leaders: | Strong Egypt Party [Abdel Aboul FOTOUH] |
| Political parties and leaders: | The Conference Party [Ambassador Mohamed ORABI] |
| Political parties and leaders: | The Egyptian Social Democratic Party [Mohamed Aboul GHAR] |
| Political parties and leaders: | The Popular Current Party [Hamdeen SABAHI] |
| Political parties and leaders: | The Popular Socialist Alliance Party [Abdel Ghafar SHOUKR] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AU, BSEC (observer), CAEU, CD, CICA, COMESA, D-8, EBRD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, MINURSO, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OIF, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohamed M. TAWFIK (since 7 September 2012) |
| Diplomatic representation in the US: | chancery: 3521 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-5400 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5131 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Marc J. SIEVERS (since 21 January 2014) |
| Diplomatic representation from the US: | embassy: 5 Tawfik Diab St., Garden City, Cairo |
| Diplomatic representation from the US: | mailing address: Unit 64900, Box 15, APO AE 09839-4900; 5 Tawfik Diab Street, Garden City, Cairo |
| Diplomatic representation from the US: | telephone: [20] (2) 2797-3300 |
| Diplomatic representation from the US: | FAX: [20] (2) 2797-3200 |
| Flag description: | three equal horizontal bands of red (top), white, and black; the national emblem (a gold Eagle of Saladin facing the hoist side with a shield superimposed on its chest above a scroll bearing the name of the country in Arabic) centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, Iraq, which has an Arabic inscription centered in the white band, and Yemen, which has a plain white band |
| National symbol(s): | golden eagle |
| National anthem: | name: "Bilady, Bilady, Bilady" (My Homeland, My Homeland, My Homeland) |
| National anthem: | lyrics/music: Younis-al QADI/Sayed DARWISH |
| National anthem: | note: adopted 1979; after the signing of the 1979 peace with Israel, Egypt sought to create an anthem less militaristic than its previous one; Sayed DARWISH, commonly considered the father of modern Egyptian music, composed the anthem |
