| Government | Egypt |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AU, BSEC (observer), CAEU, CICA, COMESA, D-8, EBRD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, MINURSO, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OIF, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOCI, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Sameh Hassan SHOUKRY |
| Diplomatic representation in the US: | chancery: 3521 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-5400 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4319 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Margaret SCOBEY |
| Diplomatic representation from the US: | embassy: 8 Kamal El Din Salah St., Garden City, Cairo |
| Diplomatic representation from the US: | mailing address: Unit 64900, Box 15, APO AE 09839-4900; 5 Tawfik Diab Street, Garden City, Cairo |
| Diplomatic representation from the US: | telephone: [20] (2) 2797-3300 |
| Diplomatic representation from the US: | FAX: [20] (2) 2797-3200 |
| Flag description: | three equal horizontal bands of red (top), white, and black; the national emblem (a gold Eagle of Saladin facing the hoist side with a shield superimposed on its chest above a scroll bearing the name of the country in Arabic) centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, Iraq, which has an Arabic inscription centered in the white band, and Yemen, which has a plain white band |
| National anthem: | name: "Bilady, Bilady, Bilady" (My Homeland, My Homeland, My Homeland) |
| National anthem: | lyrics/music: Younis-al QADI/Sayed DARWISH |
| National anthem: | note: adopted 1979; after the signing of the 1979 peace with Israel, Egypt sought to create an anthem less militaristic than its previous one; Sayed DARWISH, commonly considered the father of modern Egyptian music, composed the anthem |
