| Government | Egypt |
| Legislative branch: | election results: percent of vote by party - NA; seats by party -- Free Egyptians Party 65, Future of the Nation 53, New Wafd Party 36, Homeland's Protector Party 18, Republican People's Party 13, Congress Party 12, Al-Nour Party 11, Conservative Party 6, Democratic Peace Party 5, Egyptian National Movement 4, Egyptian Social Democratic Party 4, Modern Egypt Party 4, Freedom Party 3, My Homeland Egypt Party 3, Reform and Development Party 3, National Progressive Unionist Party 2, Arab Democratic Nasserist Party 1, El Serh El Masry el Hor 1, Revolutionary Guards Party 1, independent 351; composition - men 507, women 89, percent of women 14.9% |
| Political parties and leaders: | Al-Nour [Yunis MAKHYUN] |
| Political parties and leaders: | Arab Democratic Nasserist Party [Sayed Abdel GHANY] |
| Political parties and leaders: | Congress Party [Omar Al-Mokhtar SEMIDA] |
| Political parties and leaders: | Conservative Party [Akmal KOURTAM] |
| Political parties and leaders: | Democratic Peace Party [Ahmed FADALY] |
| Political parties and leaders: | Egyptian National Movement Party [Gen. Raouf EL SAYED] |
| Political parties and leaders: | Egyptian Social Democratic Party [Farid ZAHRAN] |
| Political parties and leaders: | El Ghad Party [Moussa Mostafa MOUSSA] |
| Political parties and leaders: | El Serh El Masry el Hor [Tarek Ahmed Abbas NADIM] |
| Political parties and leaders: | Freedom Party [Salah HASSABALAH] |
| Political parties and leaders: | Free Egyptians Party [Essam KHALIL] |
| Political parties and leaders: | Homelandâ€™s Protector Party [Lt. Gen. (retired) Galal AL-HARIDI] |
| Political parties and leaders: | Modern Egypt Party [Nabil DEIBIS] |
| Political parties and leaders: | Nation's Future Party (Mostaqbal Watan) [Mohamed Ashraf RASHAD] |
| Political parties and leaders: | My Homeland Egypt Party [Qadry ABU HUSSEIN] |
| Political parties and leaders: | National Progressive Unionist (Tagammu) Party [Sayed Abdel AAL] |
| Political parties and leaders: | Reform and Development Party [Mohamad Anwar al-SADAT] |
| Political parties and leaders: | Republican Peopleâ€™s Party [Hazim AMR] |
| Political parties and leaders: | Wafd Party [Bahaa ABU SHOKA]Revolutionary Guards Party [Magdy EL-SHARIF] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AU, BSEC (observer), CAEU, CD, CICA, COMESA, D-8, EBRD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OIF, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNOCI, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yasser REDA (since 19 September 2015) |
| Diplomatic representation in the US: | chancery: 3521 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-5400 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-5131 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Thomas H. GOLDBERGER (since 30 June 2017) |
| Diplomatic representation from the US: | embassy: 5 Tawfik Diab St., Garden City, Cairo |
| Diplomatic representation from the US: | mailing address: Unit 64900, Box 15, APO AE 09839-4900; 5 Tawfik Diab Street, Garden City, Cairo |
| Diplomatic representation from the US: | telephone: [20-2] 2797-3300 |
| Diplomatic representation from the US: | FAX: [20-2] 2797-3200 |
| Flag description: | three equal horizontal bands of red (top), white, and black; the national emblem (a gold Eagle of Saladin facing the hoist side with a shield superimposed on its chest above a scroll bearing the name of the country in Arabic) centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, Iraq, which has an Arabic inscription centered in the white band, and Yemen, which has a plain white band |
| National symbol(s): | golden eagle, white lotus; national colors: red, white, black |
| National anthem: | name: "Bilady, Bilady, Bilady" (My Homeland, My Homeland, My Homeland) |
| National anthem: | lyrics/music: Younis-al QADI/Sayed DARWISH |
| National anthem: | note: adopted 1979; the current anthem, less militaristic than the previous one, was created after the signing of the 1979 peace treaty with Israel; Sayed DARWISH, commonly considered the father of modern Egyptian music, composed the anthem |
