| Government | EGYPT |
| Political parties and leaders: | Egyptian Social Democratic Party [Mervat TALAWAY] |
| Political parties and leaders: | El Tagamu'u Party [Sayed Abdel AAL] |
| Political parties and leaders: | Free Egyptians Party [Essam KHALIL] |
| Political parties and leaders: | Future of Homeland Party [Qadry ABU HUSSEIN] |
| Political parties and leaders: | Knights of Egypt Party [General Abdel Rafe DARWISH] |
| Political parties and leaders: | Mostaqbal Watan Party [Mohamed BADRAN] |
| Political parties and leaders: | New Wafd Party [Sayed al-BADADWI] |
| Political parties and leaders: | Popular Current Party [Ahmed Kamel AL-BEHERI] |
| Political parties and leaders: | Reform and Development Party [Mohamad Anwar al-SADAT] |
| Political parties and leaders: | Socialist Popular Alliance [Abu Al-Izz AL-HARIRI] |
| Political parties and leaders: | Strong Egypt Party [Abdel Moneim Aboul FOTOUH] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AU, BSEC (observer), CAEU, CD, CICA, COMESA, D-8, EBRD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OIF, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNOCI, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yasser REDA (since 19 September 2015) |
| Diplomatic representation in the US: | chancery: 3521 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-5400 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4319 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador R. Stephen BEECROFT (since 18 December 2014) |
| Diplomatic representation from the US: | embassy: 5 Tawfik Diab St., Garden City, Cairo |
| Diplomatic representation from the US: | mailing address: Unit 64900, Box 15, APO AE 09839-4900; 5 Tawfik Diab Street, Garden City, Cairo |
| Diplomatic representation from the US: | telephone: [20] (2) 2797-3300 |
| Diplomatic representation from the US: | FAX: [20] (2) 2797-3200 |
| Flag description: | three equal horizontal bands of red (top), white, and black; the national emblem (a gold Eagle of Saladin facing the hoist side with a shield superimposed on its chest above a scroll bearing the name of the country in Arabic) centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, Iraq, which has an Arabic inscription centered in the white band, and Yemen, which has a plain white band |
| National symbol(s): | golden eagle, white lotus; national colors: red, white, black |
| National anthem: | name: "Bilady, Bilady, Bilady" (My Homeland, My Homeland, My Homeland) |
| National anthem: | lyrics/music: Younis-al QADI/Sayed DARWISH |
| National anthem: | note: adopted 1979; the current anthem, less militaristic than the previous one, was created after the signing of the 1979 peace treaty with Israel; Sayed DARWISH, commonly considered the father of modern Egyptian music, composed the anthem |
