| Government | Andorra |
| Executive branch: | elections/appointments: head of government indirectly elected by the General Council (Andorran parliament), formally appointed by the coprinces for a 4-year term; election last held on 7 April 2019 (next to be held in April 2023); the leader of the majority party in the General Council is usually elected head of government |
| Executive branch: | election results: Xaviar Espot ZAMORA (DA) elected head of government; percent of General Council vote - 60.7% |
| Legislative branch: | description: unicameral General Council of the Valleys or Consell General de les Valls (a minimum of 28 seats; 14 members directly elected in multi-seat constituencies (parishes) by simple majority vote and 14 directly elected in a single national constituency by proportional representation vote; members serve 4-year terms); note - voters cast two separate ballots - one for a national list and one for a parish list |
| Legislative branch: | elections: last held on 7 April 2019 (next to be heldÂ on AprilÂ 2023) |
| Legislative branch: | election results: percent of vote by party - DA 35.1%, PS 30.6%, L'A 12.5%, Third Way/Lauredian Union 10.4%, other 22.4%; seats by party - DA 11, PS 7, L'A 4, Third Way/Lauredian Union 4, other 2; composition - men 14, women 14, percent of women 50% |
| Judicial branch: | highest courts: Supreme Court of Justice of Andorra or Tribunal Superior de la Justicia d'Andorra (consists of the court president and 8 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tribunal Constitucional (consists of 4 magistrates) |
| Judicial branch: | judge selection and term of office: Supreme Court president and judges appointed by the Supreme Council of Justice, a 5-member judicial policy and administrative body appointed 1 each by the coprinces, 1 by the General Council, 1 by the executive council president, and 1 by the courts; judges serve 6-year renewable terms; Constitutional magistrates - 2 appointed by the coprinces and 2 by the General Council; magistrates' appointments limited to 2 consecutive 8-year terms |
| Judicial branch: | subordinate courts: Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts |
| Political parties and leaders: | Democrats for Andorra or DA [Xaviar ESPOT ZAMORA] |
| Political parties and leaders: | Social Democratic Party or PS [Vicenc ALFY FERRER] |
| Political parties and leaders: | Liberals of Andorra or L'A [Jordi GALLARDO FERNANDEZ] |
| Political parties and leaders: | Third Way/Lauredian Union [Josep PINTAT FORNE] |
| Political parties and leaders: | Social Democracy and Progress or SDP [Victor NAUDI ZAMORA] |
| Political parties and leaders: | United for the Progress of Andorra or UPA [Alfons CLAVERA ARIZTI] |
| Political parties and leaders: | note: Andorra has several smaller parties at the parish level (one is Lauredian Union) |
| International organization participation: | CE, FAO, ICAO, ICC (NGOs), ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITU, OIF, OPCW, OSCE, UN, UNCTAD, UNESCO, Union Latina, UNWTO, WCO, WHO, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Elisenda VIVES BALMANA (since 2 March 2016) |
| Diplomatic representation in the US: | chancery: 2 United Nations Plaza, 27th Floor, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-8064 |
| Diplomatic representation in the US: | FAX: [1] (212) 750-6630 |
| Diplomatic representation from the US: | the US does not have an embassy in Andorra; the US ambassador to Spain is accredited to Andorra; US interests in Andorra are represented by the US Consulate General's office in Barcelona (Spain); mailing address: Paseo Reina Elisenda de Montcada, 23, 08034 Barcelona, Spain; telephone: [34] (93) 280-2227; FAX: [34] (93) 280-6175 |
| Flag description: | three vertical bands of blue (hoist side), yellow, and red, with the national coat of arms centered in the yellow band; the latter band is slightly wider than the other 2 so that the ratio of band widths is 8:9:8; the coat of arms features a quartered shield with the emblems of (starting in the upper left and proceeding clockwise): Urgell, Foix, Bearn, and Catalonia; the motto reads VIRTUS UNITA FORTIOR (Strength United is Stronger); the flag combines the blue and red French colors with the red and yellow of Spain to show Franco-Spanish protection |
| Flag description: | note: similar to the flags of Chad and Romania, which do not have a national coat of arms in the center, and the flag of Moldova, which does bear a national emblem |
| National symbol(s): | red cow (breed unspecified); national colors: blue, yellow, red |
| National anthem: | name: "El Gran Carlemany" (The Great Charlemagne) |
| National anthem: | lyrics/music: Joan BENLLOCH i VIVO/Enric MARFANY BONS |
| National anthem: | note: adopted 1921; the anthem provides a brief history of Andorra in a first person narrative |
