| Government | Montenegro |
| Political parties and leaders: | Democratic Front or DF [collective leadership] (coalition includes NOVA, PZP, DNP, RP) |
| Political parties and leaders: | Democratic League in Montenegro or DSCG [Mehmet BARDHI] |
| Political parties and leaders: | Democratic League of Albanians or DSA |
| Political parties and leaders: | Democratic Montenegro or DCG [Alexsa BECIC] |
| Political parties and leaders: | Democratic Party or DP [Fatmir GJEKA] |
| Political parties and leaders: | Democratic Party of Socialists or DPS [Milo DJUKANOVIC] |
| Political parties and leaders: | Democratic Party of Unity or DSJ [Nebojsa JUSKOVIC] |
| Political parties and leaders: | Democratic People's Party or DNP [Milan KNEZEVIC] |
| Political parties and leaders: | Democratic Serb Party or DSS [Dragica PEROVIC] |
| Political parties and leaders: | Democratic Union of Albanians or DUA [Mehmet ZENKA] |
| Political parties and leaders: | For the Future of Montenegro or ZBCG [Zdravko KRIVOKAPIC] (electoral coalition includes SNP and 2 alliances - DF, NP) |
| Political parties and leaders: | Liberal Party or LP [Andrija POPOVIC] |
| Political parties and leaders: | Movement for Change or PZP [Nebojsa MEDOJEVIC] |
| Political parties and leaders: | New Democratic Power or FORCA [Nazif CUNGU] |
| Political parties and leaders: | New Serb Democracy or NOVA [Andrija MANDIC] |
| Political parties and leaders: | Party of Pensioners, Disabled, and Restitution or PUPI [Momir JOKSIMOVIC] |
| Political parties and leaders: | Peace is Our Nation or MNIM [Alexa BECIC] (coalition includes Democrats, DEMOS, New Left, PUPI) |
| Political parties and leaders: | Popular Movement or NP [Miodrag DAVIDOVIC] (coalition includes DEMOS, RP, UCG, and several minor parties) |
| Political parties and leaders: | Social Democratic Party or SDP [Ranko KRIVOKAPIC] |
| Political parties and leaders: | Social Democrats or SD [Ivan BRAJOVIC] |
| Political parties and leaders: | Socialist People's Party or SNP [Vladimir JOKOVIC] |
| Political parties and leaders: | True Montenegro or PRAVA [Marko MILACIC] |
| Political parties and leaders: | United Montenegro or UCG [Goran DANILOVIC] (split from DEMOS) |
| Political parties and leaders: | United Reform Action or URA [Dritan ABAZOVIC] |
| Political parties and leaders: | Workers' Party or RP [Janko VUCINIC] |
| International organization participation: | CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Nebojsa KALUDEROVIC (since 18 January 2017) |
| Diplomatic representation in the US: | chancery: 1610 New Hampshire Avenue NW, Washington, DC, 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-6108 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-6109 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Judy Rising REINKE (since 20 December 2018) |
| Diplomatic representation from the US: | telephone: +382 (0)20 410 500 |
| Diplomatic representation from the US: | embassy: Dzona Dzeksona 2, 81000 Podgorica |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [382]Â  20-241-358 |
| Flag description: | a red field bordered by a narrow golden-yellow stripe with the Montenegrin coat of arms centered; the arms consist of a double-headed golden eagle - symbolizing the unity of church and state - surmounted by a crown; the eagle holds a golden scepter in its right claw and a blue orb in its left; the breast shield over the eagle shows a golden lion passant on a green field in front of a blue sky; the lion is a symbol of episcopal authority and harkens back to the three and a half centuries when Montenegro was ruled as a theocracy |
| National symbol(s): | double-headed eagle; national colors: red, gold |
| National anthem: | name: "Oj, svijetla majska zoro" (Oh, Bright Dawn of May) |
| National anthem: | lyrics/music: Sekula DRLJEVIC/unknown, arranged by Zarko MIKOVIC |
| National anthem: | note: adopted 2004; music based on a Montenegrin folk song |
