| Government | Antigua and Barbuda |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, FAO, G-77, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (subscriber), ITU, ITUC (NGOs), MIGA, NAM (observer), OAS, OECS, OPANAL, OPCW, Petrocaribe, UN, UNCTAD, UNESCO, UPU, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Sir Ronald SANDERS (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 3234 Prospect Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-5122 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-5525 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | the US does not have an embassy in Antigua and Barbuda; the US Ambassador to Barbados is accredited to Antigua and Barbuda |
| Flag description: | red, with an inverted isosceles triangle based on the top edge of the flag; the triangle contains three horizontal bands of black (top), light blue, and white, with a yellow rising sun in the black band; the sun symbolizes the dawn of a new era, black represents the African heritage of most of the population, blue is for hope, and red is for the dynamism of the people; the "V" stands for victory; the successive yellow, blue, and white coloring is also meant to evoke the country's tourist attractions of sun, sea, and sand |
| National symbol(s): | fallow deer; national colors: red, white, blue, black, yellow |
| National anthem: | name: Fair Antigua, We Salute Thee |
| National anthem: | lyrics/music: Novelle Hamilton RICHARDS/Walter Garnet Picart CHAMBERS |
| National anthem: | note: adopted 1967; as a Commonwealth country, in addition to the national anthem, "God Save the Queen" serves as the royal anthem (see United Kingdom) |
