| Government | CHILE |
| International organization participation: | APEC, BIS, CAN (associate), CD, CELAC, FAO, G-15, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, NAM, OAS, OECD (enhanced engagement), OPANAL, OPCW, Pacific Alliance, PCA, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, Union Latina, UNMOGIP, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Juan Gabriel VALDES Soublette (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 1732 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1746 |
| Diplomatic representation in the US: | FAX: [1] (202) 887-5579 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Carol PEREZ (since 14 November 2016) |
| Diplomatic representation from the US: | embassy: Avenida Andres Bello 2800, Las Condes, Santiago |
| Diplomatic representation from the US: | mailing address: APO AA 34033 |
| Diplomatic representation from the US: | telephone: [56] (2) 2330-3000 |
| Diplomatic representation from the US: | FAX: [56] (2) 2330-3710, 2330-3160 |
| Flag description: | two equal horizontal bands of white (top) and red; a blue square the same height as the white band at the hoist-side end of the white band; the square bears a white five-pointed star in the center representing a guide to progress and honor; blue symbolizes the sky, white is for the snow-covered Andes, and red represents the blood spilled to achieve independence |
| Flag description: | note: design influenced by the US flag |
| National symbol(s): | huemul (mountain deer), Andean condor; national colors: red, white, blue |
| National anthem: | name: "Himno Nacional de Chile" (National Anthem of Chile) |
| National anthem: | lyrics/music: Eusebio LILLO Robles and Bernardo DE VERA y Pintado/Ramon CARNICER y Battle |
| National anthem: | note: music adopted 1828, original lyrics adopted 1818, adapted lyrics adopted 1847; under Augusto PINOCHET"s military rule, a verse glorifying the army was added; however, as a protest, some citizens refused to sing this verse; it was removed when democracy was restored in 1990 |
