| Government | Paraguay |
| Political parties and leaders: | Movimiento Cruzada Nacional or MCN |
| Political parties and leaders: | Movimiento Hagamos or MH [Antonio "Tony" APURIL] |
| Political parties and leaders: | Movimiento Union Nacional de Ciudadanos Eticos or UNACE [Jorge OVIEDO MATTO] |
| Political parties and leaders: | Partido del Movimiento al Socialismo or P-MAS [Camilo Ernesto SOARES Machado] |
| Political parties and leaders: | Partido Democratica Progresista or PDP [Rafael FILIZZOLA] |
| Political parties and leaders: | Partido Encuentro Nacional or PEN [Hermann RATZLAFFIN Klippemstein] |
| Political parties and leaders: | Partido Liberal Radical Autentico or PLRA [Efrain ALEGRE] |
| Political parties and leaders: | Partido Pais Solidario or PPS [Carlos Alberto FILIZZOLA Pallares] |
| Political parties and leaders: | Partido Popular Tekojoja or PPT [Sixto PEREIRA Galeano] |
| Political parties and leaders: | Patria Querida (Beloved Fatherland Party) or PPQ [Miguel CARRIZOSA] |
| International organization participation: | CAN (associate), CD, CELAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, MONUSCO, NAM (observer), OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNIDO, Union Latina, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Manuel Maria CACERES (since 11 January 2019) |
| Diplomatic representation in the US: | chancery: 2400 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-6960 through 6962 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-4508 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Lee MCCLENNY (sinceÂ 20 FebruaryÂ 2018) |
| Diplomatic representation from the US: | telephone: [595] (21) 213-715 |
| Diplomatic representation from the US: | embassy: 1776 Avenida Mariscal Lopez, Casilla Postal 402, Asuncion |
| Diplomatic representation from the US: | mailing address: Unit 4711, DPO AA 34036-0001 |
| Diplomatic representation from the US: | FAX: [595] (21) 213-728 |
| Flag description: | three equal, horizontal bands of red (top), white, and blue with an emblem centered in the white band; unusual flag in that the emblem is different on each side; the obverse (hoist side at the left) bears the national coat of arms (a yellow five-pointed star within a green wreath capped by the words REPUBLICA DEL PARAGUAY, all within two circles); the reverse (hoist side at the right) bears a circular seal of the treasury (a yellow lion below a red Cap of Liberty and the words PAZ Y JUSTICIA (Peace and Justice)); red symbolizes bravery and patriotism, white represents integrity and peace, and blue denotes liberty and generosity |
| Flag description: | note: the three color bands resemble those on the flag of the Netherlands; one of only three national flags that differ on their obverse and reverse sides - the others are Moldova and Saudi Arabia |
| National symbol(s): | lion; national colors: red, white, blue |
| National anthem: | name: "Paraguayos, Republica o muerte!" (Paraguayans, The Republic or Death!) |
| National anthem: | lyrics/music: Francisco Esteban ACUNA de Figueroa/disputed |
| National anthem: | note: adopted 1934, in use since 1846; officially adopted following its re-arrangement in 1934 |
