| Government |
| Independence: | 24 August 1991 (from Soviet Union) |
| National holiday: | Russia Day, 12 June (1990) |
| Constitution: | adopted 12 December 1993 |
| Legal system: | based on civil law system; judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Vladimir Vladimirovich PUTIN (acting president since 31 December 1999, president since 7 May 2000) |
| Executive branch: | head of government: Premier Mikhail Mikhaylovich KASYANOV (since 7 May 2000); First Deputy Premier Aleksey Leonidovich KUDRIN (since 18 May 2000), Deputy Premiers Aleksey Vasilyevich GORDEYEV (since 20 May 2000), Viktor Borisovich KHRISTENKO (since 31 May 1999), Ilya Iosifovich KLEBANOV (since 31 May 1999), Valentina Ivanovna MATVIYENKO (since 22 September 1998) |
| Executive branch: | cabinet: Ministries of the Government or "Government" composed of the premier and his deputies, ministers, and other agency heads; all are appointed by the president |
| Executive branch: | note: there is also a Presidential Administration (PA) that provides staff and policy support to the president, drafts presidential decrees, and coordinates policy among government agencies; a Security Council also reports directly to the president |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held 26 March 2000 (next to be held NA 2004); note - no vice president; if the president dies in office, cannot exercise his powers because of ill health, is impeached, or resigns, the premier succeeds him; the premier serves as acting president until a new presidential election is held, which must be within three months; premier appointed by the president with the approval of the Duma |
| Executive branch: | election results: Vladimir Vladimirovich PUTIN elected president; percent of vote - PUTIN 52.9%, Gennadiy Aadreyevich ZYUGANOV 29.2%, Grigoriy Alekseyevich YAVLINSKIY 5.8% |
| Legislative branch: | bicameral Federal Assembly or Federalnoye Sobraniye consists of the Federation Council or Sovet Federatsii (178 seats; as of July 2000, members appointed by the top executive and legislative officials in each of the 89 federal administrative units - oblasts, krays, republics, autonomous okrugs and oblasts, and the federal cities of Moscow and Saint Petersburg; members serve four-year terms) and the State Duma or Gosudarstvennaya Duma (450 seats; half elected by proportional representation from party lists winning at least 5% of the vote, and half from single-member constituencies; members are elected by direct popular vote to serve four-year terms) |
| Legislative branch: | elections: State Duma - last held 19 December 1999 (next to be held NA December 2003) |
| Legislative branch: | election results: State Duma - percent of vote received by parties clearing the 5% threshold entitling them to a proportional share of the 225 party list seats - KPRF 24.29%, Unity 23.32%, OVR 13.33%, Union of Right Forces 8.52%, LDPR 5.98%, Yabloko 5.93%; seats by party - KPRF 113, Unity 72, OVR 67, Union of Rightist Forces 29, LDPR 17, Yabloko 21, other 16, independents 106, repeat election required 8, vacant 1 |
| Judicial branch: | Constitutional Court; Supreme Court; Superior Court of Arbitration; judges for all courts are appointed for life by the Federation Council on the recommendation of the president |
| Political parties and leaders: | Agrarian Party [Mikhail Ivanovich LAPSHIN]; Communist Party of the Russian Federation or KPRF [Gennadiy Andreyevich ZYUGANOV]; Fatherland-All Russia or OVR [Yuriy Mikhailovich LUZHKOV]; Liberal Democratic Party of Russia or LDPR [Vladimir Volfovich ZHIRINOVSKIY]; Union of Right Forces [Anatoliy Borisovich CHUBAYS, Yegor Timurovich GAYDAR, Irina Mutsuovna KHAKAMADA, Boris Yefimovich NEMTSOV]; Unity [Sergey Kuzhugetovich SHOYGU]; Yabloko Bloc [Grigoriy Alekseyevich YAVLINSKIY] |
| Political parties and leaders: | note: some 150 political parties, blocs, and movements registered with the Justice Ministry as of the 19 December 1998 deadline to be eligible to participate in the 19 December 1999 Duma elections; of these, 36 political organizations actually qualified to run slates of candidates on the Duma party list ballot, 6 parties cleared the 5% threshold to win a proportional share of the 225 party seats in the Duma, 9 other organizations hold seats in the Duma: Bloc of Nikolayev and Academician Fedorov, Congress of Russian Communities, Movement in Support of the Army, Our Home Is Russia, Party of Pensioners, Power to the People, Russian All-People's Union, Russian Socialist Party, and Spiritual Heritage; primary political blocs include pro-market democrats - (Yabloko Bloc and Union of Right Forces), anti-market and/or ultranationalist (Communist Party of the Russian Federation and Liberal Democratic Party of Russia) |
| Political pressure groups and leaders: | NA |
| International organization participation: | APEC, ASEAN (dialogue partner), BIS, BSEC, CBSS, CCC, CE, CERN (observer), CIS, EAPC, EBRD, ECE, ESCAP, G- 8, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, LAIA (observer), MINURSO, MONUC, NAM (guest), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMIK, UNMOP, UNOMIG, UNTAET, UNTSO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Yuriy Viktorovich USHAKOV |
| Diplomatic representation in the US: | chancery: 2650 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-5700, 5701, 5704, 5708 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-5735 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco, and Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador James F. COLLINS |
| Diplomatic representation from the US: | embassy: Novinskiy Bul'var 19/23, 121099 Moscow |
| Diplomatic representation from the US: | mailing address: APO AE 09721 |
| Diplomatic representation from the US: | telephone: [7] (095) 728-5000 |
| Diplomatic representation from the US: | FAX: [7] (095) 728-5203 |
| Diplomatic representation from the US: | consulate(s) general: Saint Petersburg, Vladivostok, Yekaterinburg |
| Flag description: | three equal horizontal bands of white (top), blue, and red |
