| Government | Russia |
| Administrative divisions: | republics: Adygeya (Maykop), Altay (Gorno-Altaysk), Bashkortostan (Ufa), Buryatiya (Ulan-Ude), Chechnya (Groznyy), Chuvashiya (Cheboksary), Dagestan (Makhachkala), Ingushetiya (Magas), Kabardino-Balkariya (Nal'chik), Kalmykiya (Elista), Karachayevo-Cherkesiya (Cherkessk), Kareliya (Petrozavodsk), Khakasiya (Abakan), Komi (Syktyvkar), Mariy-El (Yoshkar-Ola), Mordoviya (Saransk), North Ossetia (Vladikavkaz), Sakha [Yakutiya] (Yakutsk), Tatarstan (Kazan'), Tyva (Kyzyl), Udmurtiya (Izhevsk) |
| Administrative divisions: | autonomous okrugs: Chukotka (Anadyr'), Khanty-Mansi (Khanty-Mansiysk), Nenets (Nar'yan-Mar), Yamalo-Nenets (Salekhard) |
| Administrative divisions: | krays: Altay (Barnaul), Kamchatka (Petropavlovsk-Kamchatskiy), Khabarovsk, Krasnodar, Krasnoyarsk, Perm', Primorskiy [Maritime] (Vladivostok), Stavropol', Zabaykal'sk (Chita) |
| Administrative divisions: | federal cities: Moscow [Moskva], Saint Petersburg [Sankt-Peterburg] |
| Administrative divisions: | autonomous oblast: Yevrey [Jewish] (Birobidzhan) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 24 August 1991 (from the Soviet Union); notable earlier dates: 1157 (Principality of Vladimir-Suzdal created); 16 January 1547 (Tsardom of Muscovy established); 22 October 1721 (Russian Empire proclaimed); 30 December 1922 (Soviet Union established) |
| National holiday: | Russia Day, 12 June (1990) |
| Constitution: | several previous (during Russian Empire and Soviet eras); latest drafted 12 July 1993, adopted by referendum 12 December 1993, effective 25 December 1993; amended 2008 (2013) |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Vladimir Vladimirovich PUTIN (since 7 May 2012) |
| Executive branch: | head of government: Premier Dmitriy Anatolyevich MEDVEDEV (since 8 May 2012); First Deputy Premier Igor Ivanovich SHUVALOV (since 12 May 2008); Deputy Premiers Arkadiy Vladimirovich DVORKOVICH (since 21 May 2012), Olga Yuryevna GOLODETS (since 21 May 2012), Aleksandr Gennadiyevich KHLOPONIN (since 19 January 2010), Dmitriy Nikolayevich KOZAK (since 14 October 2008), Dmitriy Olegovich ROGOZIN (since 23 December 2011), Sergey Eduardovich PRIKHODKO (since 22 May 2013), Yuriy Petrovich TRUTNEV (since 31 August 2013) |
| Executive branch: | cabinet: the "Government" is composed of the premier, his deputies, and ministers; all are appointed by the president, and the premier is also confirmed by the Duma |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | note: there is also a Presidential Administration (PA) that provides staff and policy support to the president, drafts presidential decrees, and coordinates policy among government agencies; a Security Council also reports directly to the president |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held 4 March 2012 (next to be held in March 2018); note - the term length was extended from four to six years in late 2008 and went into effect after the 2012 election; there is no vice president; if the president dies in office, cannot exercise his powers because of ill health, is impeached, or resigns, the premier serves as acting president until a new presidential election is held, which must be within three months; premier appointed by the president with the approval of the Duma |
| Executive branch: | election results: Vladimir PUTIN elected president; percent of vote - Vladimir PUTIN 63.6%, Gennadiy ZYUGANOV 17.2%, Mikhail PROKHOROV 8%, Vladimir ZHIRINOVSKIY 6.2%, Sergey MIRONOV 3.9%, other 1.1%; Dmitriy MEDVEDEV approved as premier by Duma 299 to 144 |
| Legislative branch: | bicameral Federal Assembly or Federalnoye Sobraniye consists of an upper house, the Federation Council or Sovet Federatsii (166 seats; members appointed by the top executive and legislative officials in each of the 83 federal administrative units - oblasts, krays, republics, autonomous okrugs and oblasts, and the federal cities of Moscow and Saint Petersburg; members to serve four-year terms) and a lower house, the State Duma or Gosudarstvennaya Duma (450 seats; as of 2007, all members elected by proportional representation from party lists winning at least 7% of the vote; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: State Duma - last held on 4 December 2011 (next to be held in December 2015) |
| Legislative branch: | election results: State Duma - United Russia 49.6%, CPRF 19.2%, Just Russia 13.2%, LDPR 11.7%, other 6.3%; total seats by party - United Russia 238, CPRF 92, Just Russia 64, LDPR 56 |
| Judicial branch: | highest court(s): Supreme Court of the Russian Federation (consists of 23 members); Constitutional Court (consists of 19 members); Superior Court of Arbitration (consists of a chairman and 4 deputy chairmen |
| Judicial branch: | judge selection and term of office: all members of Russia's three highest courts nominated by the president and appointed by the Federation Council (the upper house of the legislature); members of all three courts appointed for life |
| Judicial branch: | subordinate courts: Higher Arbitration Court; regional (kray) and provincial (oblast) courts; Moscow and St. Petersburg city courts; autonomous province and district courts; note - the 14 Russian Republics have court systems specified by their own constitutions |
| Political parties and leaders: | A Just Russia [Sergey MIRONOV] |
| Political parties and leaders: | Communist Party of the Russian Federation or CPRF [Gennadiy ZYUGANOV] |
| Political parties and leaders: | Liberal Democratic Party of Russia or LDPR [Vladimir ZHIRINOVSKIY] |
| Political parties and leaders: | Right Cause [Andrey DUNAYEV] |
| Political parties and leaders: | Rodina [Aleksey ZHURAVLEV] |
| Political parties and leaders: | United Russia [Dmitriy MEDVEDEV] |
| Political parties and leaders: | Yabloko Party [Sergey MITROKHIN] |
| Political pressure groups and leaders: | Association of Citizens with Initiative of Russia (TIGR) |
| Political pressure groups and leaders: | Confederation of Labor of Russia (KTR) |
| Political pressure groups and leaders: | Federation of Independent Labor Unions of Russia |
| Political pressure groups and leaders: | Freedom of Choice Interregional Organization of Automobilists |
| Political pressure groups and leaders: | Glasnost Defense Foundation |
| Political pressure groups and leaders: | Golos Association in Defense of Voters' Rights |
| Political pressure groups and leaders: | Greenpeace Russia |
| Political pressure groups and leaders: | Human Rights Watch (Russian chapter) |
| Political pressure groups and leaders: | Institute for Collective Action |
| Political pressure groups and leaders: | Memorial (human rights group) |
| Political pressure groups and leaders: | Movement Against Illegal Migration |
| Political pressure groups and leaders: | Pamjat (preservation of historical monuments and recording of history) |
| Political pressure groups and leaders: | PARNAS |
| Political pressure groups and leaders: | Russian Orthodox Church |
| Political pressure groups and leaders: | Russian Federation of Car Owners |
| Political pressure groups and leaders: | Russian-Chechen Friendship Society |
| Political pressure groups and leaders: | Solidarnost |
| Political pressure groups and leaders: | SOVA Analytical-Information Center |
| Political pressure groups and leaders: | Union of the Committees of Soldiers' Mothers |
| Political pressure groups and leaders: | World Wildlife Fund (Russian chapter) |
| International organization participation: | APEC, Arctic Council, ARF, ASEAN (dialogue partner), BIS, BRICS, BSEC, CBSS, CD, CE, CERN (observer), CICA, CIS, CSTO, EAEC, EAPC, EAS, EBRD, FAO, FATF, G-20, G-8, GCTU, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINURSO, MONUSCO, NSG, OAS (observer), OIC (observer), OPCW, OSCE, Paris Club, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNSC (permanent), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Sergey Ivanovich KISLYAK (since 16 September 2008) |
| Diplomatic representation in the US: | chancery: 2650 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-5700, 5701, 5704, 5708 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-5735 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael A. MCFAUL (since 10 January 2012) |
| Diplomatic representation from the US: | embassy: Bolshoy Deviatinskiy Pereulok No. 8, 121099 Moscow |
| Diplomatic representation from the US: | mailing address: PSC-77, APO AE 09721 |
| Diplomatic representation from the US: | telephone: [7] (495) 728-5000 |
| Diplomatic representation from the US: | FAX: [7] (495) 728-5090 |
| Diplomatic representation from the US: | consulate(s) general: Saint Petersburg, Vladivostok, Yekaterinburg |
| Flag description: | three equal horizontal bands of white (top), blue, and red |
| Flag description: | note: the colors may have been based on those of the Dutch flag; despite many popular interpretations, there is no official meaning assigned to the colors of the Russian flag; this flag inspired other Slav countries to adopt horizontal tricolors of the same colors but in different arrangements, and so red, blue, and white became the Pan-Slav colors |
| National symbol(s): | bear; double-headed eagle |
| National anthem: | name: "Gimn Rossiyskoy Federatsii" (National Anthem of the Russian Federation) |
| National anthem: | lyrics/music: Sergei Vladimirovich MIKHALKOV/Alexandr Vasilievich ALEXANDROV |
| National anthem: | note: in 2000, Russia adopted the tune of the anthem of the former Soviet Union (composed in 1939); the lyrics, also adopted in 2000, were written by the same person who authored the Soviet lyrics in 1943 |
