| Government | RUSSIA |
| Administrative divisions: | republics: Adygeya (Maykop), Altay (Gorno-Altaysk), Bashkortostan (Ufa), Buryatiya (Ulan-Ude), Chechnya (Groznyy), Chuvashiya (Cheboksary), Dagestan (Makhachkala), Ingushetiya (Magas), Kabardino-Balkariya (Nal'chik), Kalmykiya (Elista), Karachayevo-Cherkesiya (Cherkessk), Kareliya (Petrozavodsk), Khakasiya (Abakan), Komi (Syktyvkar), Mariy-El (Yoshkar-Ola), Mordoviya (Saransk), North Ossetia (Vladikavkaz), Sakha [Yakutiya] (Yakutsk), Tatarstan (Kazan'), Tyva (Kyzyl), Udmurtiya (Izhevsk) |
| Administrative divisions: | autonomous okrugs: Chukotka (Anadyr'), Khanty-Mansi-Yugra (Khanty-Mansiysk), Nenets (Nar'yan-Mar), Yamalo-Nenets (Salekhard) |
| Administrative divisions: | krays: Altay (Barnaul), Kamchatka (Petropavlovsk-Kamchatskiy), Khabarovsk, Krasnodar, Krasnoyarsk, Perm', Primorskiy [Maritime] (Vladivostok), Stavropol', Zabaykal'sk [Transbaikal] (Chita) |
| Administrative divisions: | federal cities: Moscow [Moskva], Saint Petersburg [Sankt-Peterburg] |
| Administrative divisions: | autonomous oblast: Yevreyskaya [Jewish] (Birobidzhan) |
| Administrative divisions: | note 1: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Administrative divisions: | note 2: the United States does not recognize Russia's annexation of Ukraine's Autonomous Republic of Crimea and the municipality of Sevastopol, nor their redesignation as the Republic of Crimea and the Federal City of Sevastopol |
| Independence: | 24 August 1991 (from the Soviet Union); notable earlier dates: 1157 (Principality of Vladimir-Suzdal created); 16 January 1547 (Tsardom of Muscovy established); 22 October 1721 (Russian Empire proclaimed); 30 December 1922 (Soviet Union established) |
| National holiday: | Russia Day, 12 June (1990) |
| Constitution: | several previous (during Russian Empire and Soviet eras); latest drafted 12 July 1993, adopted by referendum 12 December 1993, effective 25 December 1993; amended 2008, 2014 (2016) |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Russia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3-5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Vladimir Vladimirovich PUTIN (since 7 May 2012) |
| Executive branch: | head of government: Premier Dmitriy Anatolyevich MEDVEDEV (since 8 May 2012); First Deputy Premier Igor Ivanovich SHUVALOV (since 12 May 2008); Deputy Premiers Arkadiy Vladimirovich DVORKOVICH (since 21 May 2012), Olga Yuryevna GOLODETS (since 21 May 2012), Aleksandr Gennadiyevich KHLOPONIN (since 19 January 2010), Dmitriy Nikolayevich KOZAK (since 14 October 2008), Vitaliy Leontyevich MUTKO (since 19 October 2016), Dmitriy Olegovich ROGOZIN (since 23 December 2011), Sergey Eduardovich PRIKHODKO (since 22 May 2013), Yuriy Petrovich TRUTNEV (since 31 August 2013) |
| Executive branch: | cabinet: the "Government" is composed of the premier, his deputies, and ministers, all appointed by the president; the premier is also confirmed by the Duma |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 6-year term (eligible for a second term); election last held on 4 March 2012 (next to be held in March 2018); note - term length extended to 6 years from 4 years in late 2008, effective after the 2012 election; there is no vice president; premier appointed by the president with the approval of the Duma |
| Executive branch: | election results: Vladimir PUTIN elected president; percent of vote - Vladimir PUTIN (United Russia) 63.6%, Gennadiy ZYUGANOV (CPRF) 17.2%, Mikhail PROKHOROV(Civic Platform) 8%, Vladimir ZHIRINOVSKIY (LDPR) 6.2%, Sergey MIRONOV (A Just Russia) 3.9%, other 1.1%; Dmitriy MEDVEDEV (United Russia) approved as premier by Duma; vote - 299 to 144 |
| Executive branch: | note: there is also a Presidential Administration that provides staff and policy support to the president, drafts presidential decrees, and coordinates policy among government agencies; a Security Council also reports directly to the president |
| Legislative branch: | description: bicameral Federal Assembly or Federalnoye Sobraniye consists of the Federation Council or Sovet Federatsii (166 seats; 2 members in each of the 83 federal administrative units - oblasts, krays, republics, autonomous okrugs and oblasts, and the federal cities of Moscow and Saint Petersburg - appointed by the top executive and legislative officials; members serve 4-year terms) and the State Duma or Gosudarstvennaya Duma (450 seats; as of February 2014, the electoral system reverted to a mixed electoral system for the 2016 election in which one-half of the members are directly elected by simple majority vote and one-half directly elected by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: State Duma - last held on 18 September 2016 (next to be held in fall 2021) |
| Legislative branch: | election results: State Duma - United Russia 76.3%, CPRF 9.3%, LDPR 8.7%, A Just Russia 5.1%, Rodina 0.2%, CPI 0.2%, independent 0.2%; seats by party - United Russia 343, CPRF 42, LDPR 39, A Just Russia 23, Rodina 1, CPI 1, independent 1 |
| Legislative branch: | note: the State Duma now includes 2 representatives each from the Republic of Crimea and Federal City of Sevastopol, two annexed Ukrainian regions that the US does not recognize as part of Russia |
| Judicial branch: | highest court(s): Supreme Court of the Russian Federation (consists of 170 members organized into the Judicial Panel for Civil Affairs, the Judicial Panel for Criminal Affairs, and the Military Panel); Constitutional Court (consists of 19 members); note - in February 2014, Russia’s Superior Court of Arbitration was abolished and its former authorities transferred to the Supreme Court, which in addition to being the country’s highest judicial authority for appeals, civil, criminal, administrative cases, and military cases, and the disciplinary judicial board, now has jurisdiction over economic disputes |
| Judicial branch: | judge selection and term of office: all members of Russia's 3 highest courts nominated by the president and appointed by the Federation Council (the upper house of the legislature); members of all 3 courts appointed for life |
| Judicial branch: | subordinate courts: Higher Arbitration Court; regional (kray) and provincial (oblast) courts; Moscow and St. Petersburg city courts; autonomous province and district courts; note - the 14 Russian Republics have court systems specified by their own constitutions |
| Political parties and leaders: | A Just Russia [Sergey MIRONOV] |
| Political parties and leaders: | Civic Platform or CPI [Rifat SHAYKHUTDINOV] |
| Political parties and leaders: | Communist Party of the Russian Federation or CPRF [Gennadiy ZYUGANOV] |
| Political parties and leaders: | Liberal Democratic Party of Russia or LDPR [Vladimir ZHIRINOVSKIY] |
| Political parties and leaders: | Rodina [Aleksei ZHURAVLYOV] |
| Political parties and leaders: | United Russia [Dmitriy MEDVEDEV] |
| Political parties and leaders: | note: 78 political parties are registered with Russia's Ministry of Justice (as of October 2015), but only six parties maintain representation in Russia's national legislature, and two of these only have one deputy apiece |
| Political pressure groups and leaders: | Confederation of Labor of Russia or KTR |
| Political pressure groups and leaders: | Federation of Independent Trade Unions of Russia |
| Political pressure groups and leaders: | Golos Association in Defense of Voters' Rights |
| Political pressure groups and leaders: | Memorial |
| Political pressure groups and leaders: | Movement Against Illegal Migration |
| Political pressure groups and leaders: | Russkiye |
| Political pressure groups and leaders: | Solidarnost |
| Political pressure groups and leaders: | The World Russian People's Congress |
| Political pressure groups and leaders: | Union of the Committees of Soldiers' Mothers |
| Political pressure groups and leaders: | Union of Russian Writers |
| Political pressure groups and leaders: | other: business associations; environmental organizations; religious groups (especially those with Orthodox or Muslim affiliation); veterans groups |
| International organization participation: | APEC, Arctic Council, ARF, ASEAN (dialogue partner), BIS, BRICS, BSEC, CBSS, CD, CE, CERN (observer), CICA, CIS, CSTO, EAEC, EAEU, EAPC, EAS, EBRD, FAO, FATF, G-20, GCTU, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINURSO, MONUSCO, NEA, NSG, OAS (observer), OIC (observer), OPCW, OSCE, Paris Club, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNSC (permanent), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Sergey Ivanovich KISLYAK (since 16 September 2008) |
| Diplomatic representation in the US: | chancery: 2650 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-5700, 5701, 5704, 5708 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-5735 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador John Francis TEFFT (since 19 November 2014) |
| Diplomatic representation from the US: | embassy: Bolshoy Deviatinskiy Pereulok No. 8, 121099 Moscow |
| Diplomatic representation from the US: | mailing address: PSC-77, APO AE 09721 |
| Diplomatic representation from the US: | telephone: [7] (495) 728-5000 |
| Diplomatic representation from the US: | FAX: [7] (495) 728-5090 |
| Diplomatic representation from the US: | consulate(s) general: Saint Petersburg, Vladivostok, Yekaterinburg |
| Flag description: | three equal horizontal bands of white (top), blue, and red |
| Flag description: | note: the colors may have been based on those of the Dutch flag; despite many popular interpretations, there is no official meaning assigned to the colors of the Russian flag; this flag inspired several other Slav countries to adopt horizontal tricolors of the same colors but in different arrangements, and so red, blue, and white became the Pan-Slav colors |
| National symbol(s): | bear, double-headed eagle; national colors: white, blue, red |
| National anthem: | name: "Gimn Rossiyskoy Federatsii" (National Anthem of the Russian Federation) |
| National anthem: | lyrics/music: Sergey Vladimirovich MIKHALKOV/Aleksandr Vasilyevich ALEKSANDROV |
| National anthem: | note: in 2000, Russia adopted the tune of the anthem of the former Soviet Union (composed in 1939); the lyrics, also adopted in 2000, were written by the same person who authored the Soviet lyrics in 1943 |
