| Government | Ukraine |
| Executive branch: | election results: Petro POROSHENKO elected president in the first round; percent of vote - Petro POROSHENKO (independent) 54.5%, Yuliya TYMOSHENKO (Fatherland) 12.9%, Oleh LYASHKO (Radical Party) 8.4%, other 24.2%; Volodymyr HROYSMAN (BPP) elected prime minister; Verkhovna Rada vote - 257-50 |
| Executive branch: | note: there is also a National Security and Defense Council or NSDC originally created in 1992 as the National Security Council; the NSDC staff is tasked with developing national security policy on domestic and international matters and advising the president; a presidential administration helps draft presidential edicts and provides policy support to the president |
| Legislative branch: | description: unicameral Supreme Council or Verkhovna Rada (450 seats; 225 members directly elected in single-seat constituencies by simple majority vote and 225 directly elected in a single nationwide constituency by closed, party-list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 26 October 2014 (next to be held by 27 October 2019) |
| Legislative branch: | election results: percent of vote by party/coalition - NF 22.1%, BPP 21.8%, Samopomich 11%, OB 9.4%, Radical 7.4%, Batkivshchyna 5.7%, Svoboda 4.7%, CPU 3.9%, other 14%; seats by party/coalition - BPP 132, NF 82, Samopomich 33, OB 29, Radical 22, Batkivshchyna 19, Svoboda 6, other 4, independent 96, vacant 27; composition - men 374, women 49, percent of women 12%; note - voting not held in Crimea and parts of two Russian-occupied eastern oblasts leaving 27 seats vacant |
| Legislative branch: | note: Â seats by party/coalition as of December 2018 - BPP 135, NF 81, OB 38, Samopomich 25, Vidrodzhennya 24, Radical 21, Batkivshchyna 20, VN 19, independent 60, vacant 27; composition - men 371, women 52, percent of women 12.3% |
| Political parties and leaders: | Batkivshchyna (Fatherland) [Yuliya TYMOSHENKO] |
| Political parties and leaders: | Bloc of Petro Poroshenko â€“ Solidarnist or BPP [Vitaliy KLYCHKO] (formed from the merger of Solidarnist and UDAR) |
| Political parties and leaders: | Hromadyanska Positsiya (Civic Position) [Anatoliy HRYTSENKO] |
| Political parties and leaders: | Narodnyy Front (People's Front) or NF [Arseniy YATSENIUK] |
| Political parties and leaders: | Opposition Bloc or OB [Vadym NOVINSKYY] |
| Political parties and leaders: | Radical Party [Oleh LYASHKO] |
| Political parties and leaders: | Samopomich (Self Reliance) [Andriy SADOVYY] |
| Political parties and leaders: | Svoboda (Freedom) [Oleh TYAHNYBOK] |
| Political parties and leaders: | Ukrainian Association of Patriots or UKROP [Taras BATENKO] |
| Political parties and leaders: | Vidrodzhennya (Revival) [Vitaliy KHOMUTYNNIK] |
| Political parties and leaders: | Volya Narodu (People's Will) or VN [Yaroslav MOSKALENKO] (parliamentary group) |
| Political parties and leaders: | Za Zhyttya (For Life) [Vadym RABYNOVICH] |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CD, CE, CEI, CICA (observer), CIS (participating member, has not signed the 1993 CIS charter), EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Valeriy CHALYY (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 349-2920 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador Marie YOVANOVITCH (since 29 August 2016) |
| Diplomatic representation from the US: | embassy: 4 Igor Sikorsky Street, 04112 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kyiv Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 521-5000 |
| Diplomatic representation from the US: | FAX: [380] (44) 521-5155 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
| National symbol(s): | tryzub (trident); national colors: blue, yellow |
| National anthem: | name: "Shche ne vmerla Ukraina" (Ukraine Has Not Yet Perished) |
| National anthem: | lyrics/music: Paul CHUBYNSKYI/Mikhail VERBYTSKYI |
| National anthem: | note: music adopted 1991, lyrics adopted 2003; song first performed in 1864 at the Ukraine Theatre in Lviv; the lyrics, originally written in 1862, were revised in 2003 |
