| Government | Ukraine |
| International organization participation: | BSEC, CCC, CE, CEI, CIS, EAPC, EBRD, ECE, IAEA, IBRD, ICAO, ICRM, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM (observer), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIFIL, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNMOVIC, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Konstantin Ivanovych HRYSHCHENKO |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago and New York |
| Diplomatic representation in the US: | telephone: [1] (202) 333-0606 |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation from the US: | chief of mission: Ambassador Carlos PASCUAL |
| Diplomatic representation from the US: | embassy: 10 Yurii Kotsiubynskyi Street, Kiev 01901 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [380] (44) 490-4000 |
| Diplomatic representation from the US: | FAX: [380] (44) 244-7350 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grainfields under a blue sky |
