| Government | Ukraine |
| Political parties and leaders: | People's Movement of Ukraine (Rukh) [Borys TARASYUK] |
| Political parties and leaders: | People's Party [Volodymyr LYTVYN] |
| Political parties and leaders: | Peoples' Self-Defense Party [Oleh NOVIKOV] |
| Political parties and leaders: | Progressive Socialist Party [Natalya VITRENKO] |
| Political parties and leaders: | Radical Party [Oleh LYASHKO] |
| Political parties and leaders: | Reforms and Order Party [Viktor PYNZENYK] |
| Political parties and leaders: | Republican Party Sobor [Anatoliy MATVIYENKO] |
| Political parties and leaders: | Social Democratic Party (United) or SDPU(o) [Yuriy ZAHORODNIY] |
| Political parties and leaders: | Socialist Party of Ukraine or SPU [Oleksandr MOROZ] |
| Political parties and leaders: | Svoboda [Oleh TYAHNYBOK] |
| Political parties and leaders: | Ukraine-Forward! [Natalia KOROLEVSKA] |
| Political parties and leaders: | Ukrainian Democratic Alliance for Reforms or UDAR [Vitaliy KLYCHKO] |
| Political parties and leaders: | Ukrainian People's Party [Yuriy KOSTENKO] |
| Political parties and leaders: | Union [Lev MIRIMSKY] |
| Political parties and leaders: | United Center [Viktor BALOHA] |
| Political parties and leaders: | Viche [Inna BOHOSLOVSKA] |
| Political pressure groups and leaders: | Committee of Voters of Ukraine [Aleksandr CHERNENKO] |
| Political pressure groups and leaders: | OPORA [Olha AIVAZOVSKA] |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CD, CE, CEI, CICA (observer), CIS (participating member, has not signed the 1993 CIS charter although it participates in meetings), EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Oleksandr MOTSYK (since 24 June 2010) |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 349-2920 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Geoffrey R. PYATT (since 30 July 2013) |
| Diplomatic representation from the US: | embassy: 4 Igor Sikorsky Street, 04112 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kyiv Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 521-5000 |
| Diplomatic representation from the US: | FAX: [380] (44) 521-5155 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
| National symbol(s): | trident (tryzub) |
| National anthem: | name: "Shche ne vmerla Ukraina" (Ukraine Has Not Yet Perished) |
| National anthem: | lyrics/music: Paul CHUBYNSKYI/Mikhail VERBYTSKYI |
| National anthem: | note: music adopted 1991, lyrics adopted 2003; the song was first performed in 1864 at the Ukraine Theatre in Lviv; the lyrics, originally written in 1862, were revised in 2003 |
