| Government | UKRAINE |
| Legislative branch: | election results: percent of vote by party - NF 22.1%, BPP 21.8%, Samopomich 11.0%, OB 9.4%, Radical 7.4%, Batkivshchyna 5.7%, Svoboda 4.7%, CPU 3.9%, other 13.9%; seats by party - BPP 132, NF 82, Samopomich 33, OB 29, Radical 22, Batkivshchyna 19, Svoboda 6, other 4, independent 96, vacant 27; note - voting not held in Crimea and parts of two Russian-occupied eastern oblasts leaving 27 seats vacant; seats as of December 2015 - BPP 139, NF 81, OB 43, Samopomich 26, Vidrozhennya 23, Radical 21, Batkivshchyna 19, VN 20, independent 50, vacant 28 |
| Judicial branch: | highest court(s): Supreme Court of Ukraine or SCU (consists of 95 judges organized into civil, criminal, commercial, and administrative chambers, and a military panel); Constitutional Court (consists of 18 justices) |
| Judicial branch: | judge selection and term of office: Supreme Court judges proposed by the Supreme Council of Justice or SCJ (a 20-member independent body of judicial officials and other appointees) and appointed by presidential decree; judges initially appointed for 5 years and, if approved by the SCJ, serve until mandatory retirement at age 65; Constitutional Court justices appointed - 6 each by the president, by the SCU, and by the Verkhovna Rada; justices appointed for 9-year non-renewable terms |
| Judicial branch: | subordinate courts: specialized high courts; Courts of Cassation; Courts of Appeal; regional, district, city, and town courts |
| Political parties and leaders: | Batkivshchyna ("Fatherland") [Yuliya TYMOSHENKO] |
| Political parties and leaders: | Bloc of Petro Poroshenko – Solidarnist or BPP [Vitaliy KLYCHKO] (formed from the merger of Solidarnist and UDAR) |
| Political parties and leaders: | Narodnyy Front ("People's Front") or NF [Arseniy YATSENIUK] |
| Political parties and leaders: | Opposition Bloc or OB [Yuriy BOYKO] |
| Political parties and leaders: | Radical Party [Oleh LYASHKO] |
| Political parties and leaders: | Samopomich ("Self Reliance") [Andriy SADOVYY] |
| Political parties and leaders: | Svoboda ("Freedom") [Oleh TYAHNYBOK] |
| Political parties and leaders: | Ukrainian Association of Patriots or UKROP [Ihor KOLOMOYSKYY] |
| Political parties and leaders: | Vidrozhennya ("Revival") [Vitaliy KHOMUTYNNIK] (parliamentary group) |
| Political parties and leaders: | Volya Naroda (“People's Will”) or VN (Yaroslav MOSKALENKO) |
| Political pressure groups and leaders: | Centre UA [Oleh RYBACHUK] |
| Political pressure groups and leaders: | OPORA Civic Network [Olha AIVAZOVSKA] |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CD, CE, CEI, CICA (observer), CIS (participating member, has not signed the 1993 CIS charter), EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Valeriy CHALYY (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 349-2920 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Marie YOVANOVITCH (since 29 August 2016) |
| Diplomatic representation from the US: | embassy: 4 Igor Sikorsky Street, 04112 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kyiv Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 521-5000 |
| Diplomatic representation from the US: | FAX: [380] (44) 521-5155 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
| National symbol(s): | tryzub (trident); national colors: blue, yellow |
| National anthem: | name: "Shche ne vmerla Ukraina" (Ukraine Has Not Yet Perished) |
| National anthem: | lyrics/music: Paul CHUBYNSKYI/Mikhail VERBYTSKYI |
| National anthem: | note: music adopted 1991, lyrics adopted 2003; song first performed in 1864 at the Ukraine Theatre in Lviv; the lyrics, originally written in 1862, were revised in 2003 |
