| Government | Ukraine |
| Political pressure groups and leaders: | Committee of Voters of Ukraine [Aleksandr CHERNENKO]; OPORA [Olha AIVAZOVSKA] |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CE, CEI, CICA (observer), CIS (participating member, has not signed the 1993 CIS charter although it participates in meetings), EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC, LAIA (observer), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMISS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Oleksandr MOTSYK |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-0606 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador John F. TEFFT |
| Diplomatic representation from the US: | embassy: 10 Yurii Kotsiubynsky Street, 01901 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kyiv Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 490-4000 |
| Diplomatic representation from the US: | FAX: [380] (44) 490-4085 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
| National symbol(s): | trident (tryzub) |
| National anthem: | name: "Sche ne vmerla Ukraina" (Ukraine Has Not Yet Perished) |
| National anthem: | lyrics/music: Paul CHUBYNSKYI/Mikhail VERBYTSKYI |
| National anthem: | note: music adopted 1991, lyrics adopted 2003; the song was first performed in 1864 at the Ukraine Theatre in Lviv; the lyrics, originally written in 1862, were revised in 2003 |
