| Government | Ukraine |
| Legislative branch: | election results: percent of vote by party - Servant of the People 43.2%, Opposition Platform-For Life 13.1%, Batkivshchyna 8.2%, European Solidarity 8.1%, Voice 5.8%, other 21.6%; seats by party (preliminary) - Servant of the People 254, Oposition Platform for Life 43, Batkivshchyna 26, European Solidarity 25, Voice 20, Opposition Bloc 6, Samopomich 1, Svoboda 1, other parties 2, independent 46; note - voting not held in Crimea and parts of two Russian-occupied eastern oblasts leaving 26 seats vacant; although this brings the total to 424 elected members (of 450 potential), article 83 of the constitution mandates that a parliamentary majority consists of 226 seats |
| Judicial branch: | highest courts: Supreme Court of Ukraine or SCU (consists of 100 judges, organized into civil, criminal, commercial and administrative chambers, and a grand chamber); Constitutional Court (consists of 18 justices); High Anti-Corruption Court (consists of 39 judges, including 12 in the Appeals Chamber) |
| Judicial branch: | judge selection and term of office: Supreme Court judges recommended by the High Qualification Commission of Judges (a 16-member state body responsible for judicial candidate testing and assessment and judicial administration), submitted to the High Council of Justice, a 21-member independent body of judicial officials responsible for judicial self-governance and administration, and appointed by the president; judges serve until mandatory retirement at age 65; High Anti-Corruption Court judges are selected by the same process as Supreme Court justices, with one addition â€“ a majority of a combined High Qualification Commission of Judges and a 6-member Public Council of International Experts must vote in favor of potential judges in order to recommend their nomination to the High Council of Justice; this majority must include at least 3 members of the Public Council of International Experts; Constitutional Court justices appointed - 6 each by the president, by the Congress of Judges, and by the Verkhovna Rada; judges serve 9-year nonrenewable terms |
| Judicial branch: | Â  |
| Judicial branch: | subordinate courts: Courts of Appeal; district courts |
| Judicial branch: | note: specialized courts were abolished as part of Ukraine's judicial reform program; in November 2019, President ZELENSKYY signed a bill on legal reforms |
| Political parties and leaders: | Batkivshchyna (Fatherland) [Yuliya TYMOSHENKO] |
| Political parties and leaders: | European Solidarity (BPP-Solidarity) [Petro POROSHENKO] |
| Political parties and leaders: | Holos (Voice) [Sviatoslav VAKARCHUK] |
| Political parties and leaders: | Opposition Bloc or OB [Evgeny MURAYEV] |
| Political parties and leaders: | Opposition Platform-For Life [Yuriy BOYKO, Vadim RABINOVICH] |
| Political parties and leaders: | Radical Party [Oleh LYASHKO] |
| Political parties and leaders: | Samopomich (Self Reliance) [Andriy SADOVYY] |
| Political parties and leaders: | Servant of the People [Oleksandr KORNIENKO] |
| Political parties and leaders: | Svoboda (Freedom) [Oleh TYAHNYBOK] |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CD, CE, CEI, CICA (observer), CIS (participating member, has not signed the 1993 CIS charter), EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Volodymyr YELCHENKO (since 6 January 2020) |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 349-2920 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Kristina KVIEN (since January 2020) |
| Diplomatic representation from the US: | telephone: [380] (44) 521-5000 |
| Diplomatic representation from the US: | embassy: 4 A. I. Igor Sikorsky Street, 04112 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kyiv Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | FAX: [380] (44) 521-5155 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
| National symbol(s): | tryzub (trident); national colors: blue, yellow |
| National anthem: | name: "Shche ne vmerla Ukraina" (Ukraine Has Not Yet Perished) |
| National anthem: | lyrics/music: Paul CHUBYNSKYI/Mikhail VERBYTSKYI |
| National anthem: | note: music adopted 1991, lyrics adopted 2003; song first performed in 1864 at the Ukraine Theatre in Lviv; the lyrics, originally written in 1862, were revised in 2003 |
