| Government | TIMOR-LESTE |
| Executive branch: | election results: Taur Matan RUAK elected president in runoff; percent of vote - Taur Matan RUAK (independent) 61.2%, Francisco GUTTERES (Frenti-Mudanca) 38.8% |
| Legislative branch: | description: unicameral National Parliament (65 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: elections were held on 7 July 2012 (next to be held in July 2017) |
| Legislative branch: | election results: percent of vote by party - CNRT 36%, FRETILIN 30%, PD 10%, Frenti-Mudanca 3%, others 21%; seats by party - CNRT 30, FRETILIN 25, PD 8, Frenti-Mudanca 2 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of the court president and NA judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the president of the republic from among the other court judges to serve a 4-year term; other Supreme Court judges appointed - 1 by the Parliament and the others by the Supreme Council for the Judiciary, a body presided by the Supreme Court president and includes mostly presidential and parliamentary appointees; other Supreme Court judges appointed for life |
| Judicial branch: | subordinate courts: Court of Appeal; High Administrative, Tax, and Audit Court; district courts; magistrates' courts; military courts |
| Judicial branch: | note: the UN Justice System Programme, launched in 2003 in 4 phases through 2018, is helping strengthen the country's justice system; the Programme is aligned with the country's long-range Justice Sector Strategic Plan, which includes legal reform |
| Political parties and leaders: | Democratic Party or PD [Fernando "Lasama" de ARAUJO] |
| Political parties and leaders: | Frenti-Mudanca [Jose Luis GUTERRES] |
| Political parties and leaders: | National Congress for Timorese Reconstruction or CNRT [Kay Rala Xanana GUSMAO] |
| Political parties and leaders: | Revolutionary Front of Independent Timor-Leste or FRETILIN [Mari ALKATIRI] |
| Political parties and leaders: | (only parties in Parliament are listed) |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, ADB, AOSIS, ARF, ASEAN (observer), CPLP, EITI (compliant country), FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, MIGA, NAM, OPCW, PIF (observer), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Domingos Sarmento ALVES (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 4201 Connecticut Avenue NW, Suite 504, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-3202 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3205 |
| Diplomatic representation from the US: | chief of mission: Ambassador Karen STANTON (since 16 January 2015) |
| Diplomatic representation from the US: | embassy: Avenida de Portugal, Praia dos Coqueiros, Dili |
| Diplomatic representation from the US: | mailing address: US Department of State, 8250 Dili Place, Washington, DC 20521-8250 |
| Diplomatic representation from the US: | telephone: (670) 332-4684 |
| Diplomatic representation from the US: | FAX: (670) 331-3206 |
| Flag description: | red with a black isosceles triangle (based on the hoist side) superimposed on a slightly longer yellow arrowhead that extends to the center of the flag; a white star - pointing to the upper hoist-side corner of the flag - is in the center of the black triangle; yellow denotes the colonialism in Timor-Leste's past; black represents the obscurantism that needs to be overcome; red stands for the national liberation struggle; the white star symbolizes peace and serves as a guiding light |
| National symbol(s): | Mount Ramelau; national colors: red, yellow, black, white |
| National anthem: | name: "Patria" (Fatherland) |
| National anthem: | lyrics/music: Fransisco Borja DA COSTA/Afonso DE ARAUJO |
| National anthem: | note: adopted 2002; the song was first used as an anthem when Timor-Leste declared its independence from Portugal in 1975; the lyricist, Fransisco Borja DA COSTA, was killed in the Indonesian invasion just days after independence was declared |
