| Government | India |
| Constitution: | amendments: proposed by either the Council of States or the House of the People; passage requires majority participation of the total membership in each house and at least two-thirds majority of voting members of each house, followed by assent of the president of India; proposed amendments to the constitutional amendment procedures also must be ratified by at least one half of the India state legislatures before presidential assent; amended many times, last in 2019 |
| Legal system: | common law system based on the English model; separate personal law codes apply to Muslims, Christians, and Hindus; judicial review of legislative acts; note - in late 2019 the Government of India began discussions to overhaul its penal code, which dates to the British colonial period |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of India |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ram Nath KOVIND (since 25 July 2017); Vice President M. Venkaiah NAIDU (since 11 August 2017)Â  |
| Executive branch: | head of government: Prime Minister Narendra MODI (since 26 May 2014)Â  |
| Executive branch: | cabinet: Union Council of Ministers recommended by the prime minister, appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by an electoral college consisting of elected members of both houses of Parliament for a 5-year term (no term limits); election last held on 17 July 2017 (next to be held in July 2022); vice president indirectly elected by an electoral college consisting of elected members of both houses of Parliament for a 5-year term (no term limits); election last held on 5 August 2017 (next to be held in August 2022); following legislative elections, the prime minister is elected by Lok Sabha members of the majority party |
| Executive branch: | election results: Ram Nath KOVIND elected president; percent of electoral college vote - Ram Nath KOVIND (BJP) 65.7% Meira KUMAR (INC) 34.3%; M. Venkaiah NAIDU elected vice president; electoral college vote - M. Venkaiah NAIDU (BJP) 516, Gopalkrishna GANDHI (independent) 244 |
| Legislative branch: | description: bicameral Parliament or Sansad consists of: |
| Legislative branch: | Council of States or Rajya Sabha (245 seats; 233 members indirectly elected by state and territorial assemblies by proportional representation vote and 12 members appointed by the president; members serve 6-year terms) |
| Legislative branch: | House of the People or Lok Sabha (545 seats; 543 members directly elected in single-seat constituencies by simple majority vote and 2 appointed by the president; members serve 5-year terms) |
| Legislative branch: | elections: Council of States - last held by state and territorial assemblies at various dates in 2019 (next originally scheduled for March, June, and November 2020 but were postponed due to the COVID-19 pandemic) |
| Legislative branch: | House of the People - last held April-May 2019 in 7 phases (nextÂ to be held in 2024) |
| Legislative branch: | election results: Council of States - percent of vote by party - NA; seats by party - BJP 83, INC 46, AITC 13, DMK 11, SP, other 77, independent 6; composition - men 220, women 25, percent of women 10.2% |
| Legislative branch: | House of the People - percent of vote by party - BJP 55.8%, INC 9.6%, AITC 4.4%, YSRC 4.4%, DMK 4.2%, SS 3.3%, JDU 2.9%, BJD 2.2%, BSP 1.8%, TRS 1.7%, LJP 1.1%, NCP 0.9%, SP 0.9%, other 6.4%, independent 0.7%; seats by party - BJP 303, INC 52, DMK 24, AITC 22, YSRC 22, SS 18, JDU 16, BJD 12, BSP 10, TRS 9, LJP 6, NCP 5, SP 5, other 35, independent 4, vacant 2; composition - men 465, women 78, percent of women 14.3%; note - total Parliament percent of women 11.3% |
| Judicial branch: | highest courts: Supreme Court (consists of 28 judges, including the chief justice) |
| Judicial branch: | judge selection and term of office: justices appointed by the president to serve until age 65 |
| Judicial branch: | subordinate courts: High Courts; District Courts; Labour Court |
| Judicial branch: | note: in mid-2011, Indiaâ€™s Cabinet approved the "National Mission for Justice Delivery and Legal Reform" to eliminate judicial corruption and reduce the backlog of cases |
| Political parties and leaders: | Aam Aadmi Party or AAP [Arvind KEJRIWAL] |
| Political parties and leaders: | All India Anna Dravida Munnetra Kazhagam or AIADMK [Edappadi PALANISWAMY, Occhaathevar PANNEERSELVAM] |
| Political parties and leaders: | All India Trinamool Congress or AITC [Mamata BANERJEE] |
| Political parties and leaders: | Bahujan Samaj Party or BSP [MAYAWATI] |
| Political parties and leaders: | Bharatiya Janata Party or BJP [Amit SHAH] |
| Political parties and leaders: | Biju Janata Dal or BJD [Naveen PATNAIK] |
| Political parties and leaders: | Communist Party of India-Marxist or CPI(M) [Sitaram YECHURY] |
| Political parties and leaders: | Indian National Congress or INC |
| Political parties and leaders: | Lok Janshakti Party (LJP) [Ram Vilas PASWAN] |
| Political parties and leaders: | Nationalist Congress Party or NCP [Sharad PAWAR] |
| Political parties and leaders: | Rashtriya Janata Dal or RJD [Lalu Prasad YADAV] |
| Political parties and leaders: | Samajwadi Party or SP [Akhilesh YADAV] |
| Political parties and leaders: | Shiromani Akali Dal or SAD [Sukhbir Singh BADAL] |
| Political parties and leaders: | Shiv Sena or SS [Uddhav THACKERAY] |
| Political parties and leaders: | Telegana Rashtra Samithi or TRS [K. Chandrashekar RAO] |
| Political parties and leaders: | Telugu Desam Party or TDP [Chandrababu NAIDU] |
| Political parties and leaders: | YSR Congress or YSRC [Jagan Mohan REDDY] |
| Political parties and leaders: | note: India has dozens of national and regional political parties |
| International organization participation: | ADB, AfDB (nonregional member), Arctic Council (observer), ARF, ASEAN (dialogue partner), BIMSTEC, BIS, BRICS, C, CD, CERN (observer), CICA, CP, EAS, FAO, FATF, G-15, G-20, G-24, G-5, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS (observer), MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OECD, OPCW, Pacific Alliance (observer), PCA, PIF (partner), SAARC, SACEP, SCO (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNITAR, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Taranjit Singh SANDHU (since 6 February 2020) |
| Diplomatic representation in the US: | chancery: 2107 Massachusetts Avenue NW, Washington, DC 20008; Consular Wing located at 2536 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-7000 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4351 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Kenneth I. JUSTER (since 23 November 2017) |
| Diplomatic representation from the US: | telephone: [91] (11) 2419-8000 |
| Diplomatic representation from the US: | embassy: Shantipath, Chanakyapuri, New Delhi 110021 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [91] (11) 2419-0017 |
| Diplomatic representation from the US: | consulate(s) general: Chennai (Madras), Hyderabad, Kolkata (Calcutta), Mumbai (Bombay) |
| Flag description: | three equal horizontal bands of saffron (subdued orange) (top), white, and green, with a blue chakra (24-spoked wheel) centered in the white band; saffron represents courage, sacrifice, and the spirit of renunciation; white signifies purity and truth; green stands for faith and fertility; the blue chakra symbolizes the wheel of life in movement and death in stagnation |
| Flag description: | note: similar to the flag of Niger, which has a small orange disk centered in the white band |
| National symbol(s): | the Lion Capital of Ashoka, which depicts four Asiatic lions standing back to back mounted on a circular abacus, is the official emblem; Bengal tiger; lotus flower; national colors: saffron, white, green |
| National anthem: | name: "Jana-Gana-Mana" (Thou Art the Ruler of the Minds of All People) |
| National anthem: | lyrics/music: Rabindranath TAGORE |
| National anthem: | note: adopted 1950; Rabindranath TAGORE, a Nobel laureate, also wrote Bangladesh's national anthem |
