| Government | India |
| Legislative branch: | bicameral Parliament or Sansad consists of the Council of States or Rajya Sabha (a body consisting of not more than 250 members up to 12 of whom are appointed by the president, the remainder are chosen by the elected members of the state and territorial assemblies; members serve six-year terms) and the People's Assembly or Lok Sabha (545 seats; 543 members elected by popular vote, 2 appointed by the president; members serve five-year terms) |
| Legislative branch: | elections: People's Assembly - last held in five phases on 16, 22-23, 30 April and 7, 13 May 2009 (next must be held by May 2014) |
| Legislative branch: | election results: People's Assembly - percent of vote by party - NA; seats by party - INC 206, BJP 116, SP 23, BSP 21, JD (U) 20, AITC 19, DMK 18, CPI-M 16, BJD 14, SS 11, AIADMK 9, NCP 9, other 61, vacant 2; note - seats by party as November 2009 - INC 207, BJP 116, SP 22, BSP 21, JD (U) 20, AITC 19, DMK 18, CPI-M 16, BJD 14, SS 11, AIADMK 9, NCP 9, other 61, vacant 2 |
| Judicial branch: | Supreme Court (one chief justice and 25 associate justices are appointed by the president and remain in office until they reach the age of 65 or are removed for "proved misbehavior") |
| Political parties and leaders: | All India Anna Dravida Munnetra Kazhagam or AIADMK [J. JAYALALITHAA]; All India Trinamool Congress or AITC [Mamata BANERJEE]; Bahujan Samaj Party or BSP [MAYAWATI]; Bharatiya Janata Party or BJP [Nitin GADKARI]; Biju Janata Dal or BJD [Naveen PATNAIK]; Communist Party of India or CPI [B. BARDHAN]; Communist Party of India-Marxist or CPI-M [Prakash KARAT]; Dravida Munnetra Kazhagam or DMK [Kalaignar M.KARUNANIDHI]; Indian National Congress or INC [Sonia GANDHI]; Janata Dal (United) or JD(U) [Sharad YADAV]; Left Front (an alliance of Indian leftist parties); Nationalist Congress Party or NCP [Sharad PAWAR]; Rashtriya Lok Dal or RLD [Ajit SINGH]; Samajwadi Party or SP [Mulayam Singh YADAV]; Shiromani Akali Dal or SAD [Parkash Singh BADAL]; Shiv Sena or SS [Bal THACKERAY]; Telugu Desam Party or TDP [Chandrababu NAIDU]; note - India has dozens of national and regional political parties; only parties or coalitions with four or more seats in the People's Assembly are listed |
| Political pressure groups and leaders: | All Parties Hurriyat Conference in the Kashmir Valley (separatist group); Bajrang Dal (religious organization); National Socialist Council of Nagaland in the northeast (separatist group); Rashtriya Swayamsevak Sangh [Mohan BHAGWAT] (religious organization); Vishwa Hindu Parishad [Ashok SINGHAL] (religious organization) |
| Political pressure groups and leaders: | other: numerous religious or militant/chauvinistic organizations; various separatist groups seeking greater communal and/or regional autonomy |
| International organization participation: | ADB, AfDB (nonregional member), ARF, ASEAN (dialogue partner), BIMSTEC, BIS, C, CD, CERN (observer), CICA, CP, EAS, FAO, FATF, G-15, G-20, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAS (observer), MIGA, MONUSCO, NAM, OAS (observer), OPCW, PCA, PIF (partner), SAARC, SACEP, SCO (observer), UN, UN Security Council (temporary), UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMIS, UNMIT, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Meera SHANKAR |
| Diplomatic representation in the US: | chancery: 2107 Massachusetts Avenue NW, Washington, DC 20008; note - Consular Wing located at 2536 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-7000 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4351 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Timothy J. ROEMER |
| Diplomatic representation from the US: | embassy: Shantipath, Chanakyapuri, New Delhi 110021 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [91] (011) 2419-8000 |
| Diplomatic representation from the US: | FAX: [91] (11) 2419-0017 |
| Diplomatic representation from the US: | consulate(s) general: Chennai (Madras), Hyderabad; Kolkata (Calcutta), Mumbai (Bombay) |
| Flag description: | three equal horizontal bands of saffron (subdued orange) (top), white, and green, with a blue chakra (24-spoked wheel) centered in the white band; saffron represents courage, sacrifice, and the spirit of renunciation; white signifies purity and truth; green stands for faith and fertility; the blue chakra symbolizes the wheel of life in movement and death in stagnation |
| Flag description: | note: similar to the flag of Niger, which has a small orange disk centered in the white band |
| National anthem: | name: "Jana-Gana-Mana" (Thou Art the Ruler of the Minds of All People) |
| National anthem: | lyrics/music: Rabindranath TAGORE |
| National anthem: | note: adopted 1950; Rabindranath TAGORE, a Nobel laureate, also wrote Bangladesh's national anthem |
