| Government | India |
| Executive branch: | elections: president elected by an electoral college consisting of elected members of both houses of Parliament and the legislatures of the states for a five-year term (no term limits); election last held in July 2012 (next to be held in July 2017); vice president elected by both houses of Parliament for a five-year term; election last held in August 2012 (next to be held in August 2017); prime minister chosen by parliamentary members of the majority party following legislative elections |
| Executive branch: | election results: Pranab MUKHERJEE elected president; percent of vote - Pranab MUKHERJEE 69.31%, Purno SANGMA - 30.69% |
| Legislative branch: | bicameral Parliament or Sansad consists of the Council of States or Rajya Sabha (a body consisting of 245 seats up to 12 of which are appointed by the president, the remainder chosen in staggered elections by the elected members of the state and territorial assemblies; members serve six-year terms) and the People's Assembly or Lok Sabha (545 seats; 543 members elected by popular vote, 2 appointed by the president; members serve five-year terms) |
| Legislative branch: | elections: People's Assembly - last held April-May 2014 in 9 phases; (next election must be held by May 2019) |
| Legislative branch: | election results: People's Assembly - percent of vote by party - NA, ; seats by party - BJP 282, INC 44, AIADMK 37, AITC 34, BJD 20, SS 18, TDP 16, TRS 11, CPI(M) 9, YSRC 9, LJP 6, NCP 6, SP 5, AAP 4, RJD 4, SAD 4, independents 3, other 31 |
| Judicial branch: | highest court(s): Supreme Court (the chief justice and 25 associate justices); note - parliament approved an additional 5 judges in 2008 |
| Judicial branch: | note - in mid-2011 India’s Cabinet approved the program, National Mission for Justice Delivery and Legal Reform, to eliminate judicial corruption and reduce the backlog of cases |
| Judicial branch: | judge selection and term of office: justices appointed by the president to serve until age 65 |
| Judicial branch: | subordinate courts: High Courts; District Courts; Labour Court |
| Political parties and leaders: | Aam Aadmi Party or AAP [Arvind KEJRIWAL] |
| Political parties and leaders: | All India Anna Dravida Munnetra Kazhagam or AIADMK [J. JAYALALITHAA] |
| Political parties and leaders: | All India Trinamool Congress or AITC [Mamata BANERJEE] |
| Political parties and leaders: | Bahujan Samaj Party or BSP [MAYAWATI] |
| Political parties and leaders: | Bharatiya Janata Party or BJP [Rajnath SINGH] |
| Political parties and leaders: | Biju Janata Dal or BJD [Naveen PATNAIK] |
| Political parties and leaders: | Communist Party of India or CPI [Suravaram Sudhakar REDDY, Secretary-General] |
| Political parties and leaders: | Communist Party of India-Marxist or CPI(M) [Prakash KARAT] |
| Political parties and leaders: | Dravida Munnetra Kazhagam or DMK [M.KARUNANIDHI] |
| Political parties and leaders: | Indian National Congress or INC [Sonia GANDHI] |
| Political parties and leaders: | Janata Dal (United) or JD(U) [Sharad YADAV] |
| Political parties and leaders: | Lok Janshakti Party (LJP) [Ram Vilas PASWAN] |
| Political parties and leaders: | Nationalist Congress Party or NCP [Sharad PAWAR] |
| Political parties and leaders: | Rashtriya Janata Dal or RJD [Lalu Prasad YADAV] |
| Political parties and leaders: | Rashtriya Lok Dal or RLD [Ajit SINGH] |
| Political parties and leaders: | Samajwadi Party or SP [Mulayam Singh YADAV] |
| Political parties and leaders: | Shiromani Akali Dal or SAD [Parkash Singh BADAL] |
| Political parties and leaders: | Shiv Sena or SS [Uddhav THACKERAY] |
| Political parties and leaders: | Telugu Desam Party or TDP [Chandrababu NAIDU] |
| Political parties and leaders: | Telegana Rashtra Samithi (TRS) [K. Chandrashekar RAO] |
| Political parties and leaders: | YSR Congress(YSRC) [Jaganmohan REDDY] |
| Political parties and leaders: | note: India has dozens of national and regional political parties |
| Political pressure groups and leaders: | All Parties Hurriyat Conference in the Kashmir Valley (separatist group) |
| Political pressure groups and leaders: | Bajrang Dal (religious organization) |
| Political pressure groups and leaders: | India Against Corruption [Anna HAZARE] |
| Political pressure groups and leaders: | Jamiat Ulema-e Hind (religious organization) |
| Political pressure groups and leaders: | Rashtriya Swayamsevak Sangh [Mohan BHAGWAT] (nationalist organization) |
| Political pressure groups and leaders: | Vishwa Hindu Parishad [Ashok SINGHAL] (religious organization) |
| other: | numerous religious or militant/chauvinistic organizations |
| other: | hundreds of social reform, anti-corruption, and environmental groups at state and local level |
| other: | various separatist groups seeking greater communal and/or regional autonomy |
| International organization participation: | ABEDA, ADB, AfDB (nonregional member), ARF, ASEAN (dialogue partner), BIMSTEC, BIS, BRICS, C, CD, CERN (observer), CICA, CP, EAS, FAO, FATF, G-15, G-20, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS (observer), MIGA, MONUSCO, NAM, OAS (observer), OECD, OPCW, Pacific Alliance (observer), PCA, PIF (partner), SAARC, SACEP, SCO (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNITAR, UNMISS, UNOCI, UNSC (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Subrahmanyam JAISHANKAR (since 10 March 2014) |
| Diplomatic representation in the US: | chancery: 2107 Massachusetts Avenue NW, Washington, DC 20008; note - Consular Wing located at 2536 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-7000 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4351 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Nancy J. POWELL (since 19 April 2012) |
| Diplomatic representation from the US: | embassy: Shantipath, Chanakyapuri, New Delhi 110021 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [91] (11) 2419-8000 |
| Diplomatic representation from the US: | FAX: [91] (11) 2419-0017 |
| Diplomatic representation from the US: | consulate(s) general: Chennai (Madras), Hyderabad; Kolkata (Calcutta), Mumbai (Bombay) |
| Flag description: | three equal horizontal bands of saffron (subdued orange) (top), white, and green, with a blue chakra (24-spoked wheel) centered in the white band; saffron represents courage, sacrifice, and the spirit of renunciation; white signifies purity and truth; green stands for faith and fertility; the blue chakra symbolizes the wheel of life in movement and death in stagnation |
| Flag description: | note: similar to the flag of Niger, which has a small orange disk centered in the white band |
| National symbol(s): | the Lion Capital of Ashoka, which depicts four Asiatic lions standing back to back mounted on a circular abacus, is the official emblem; the Bengal tiger is the national animal; the lotus is the national flower |
| National anthem: | name: "Jana-Gana-Mana" (Thou Art the Ruler of the Minds of All People) |
| National anthem: | lyrics/music: Rabindranath TAGORE |
| National anthem: | note: adopted 1950; Rabindranath TAGORE, a Nobel laureate, also wrote Bangladesh's national anthem |
