| Government | India |
| Legislative branch: | bicameral Parliament or Sansad consists of the Council of States or Rajya Sabha (a body consisting of not more than 250 members, up to 12 of whom are appointed by the president, the remainder are chosen by the elected members of the state and territorial assemblies; members serve six-year terms) and the People's Assembly or Lok Sabha (545 seats; 543 elected by popular vote, 2 appointed by the president; members serve five-year terms) |
| Legislative branch: | elections: People's Assembly - last held 20 April through 10 May 2004 (next must be held before May 2009) |
| Legislative branch: | election results: People's Assembly - percent of vote by party - NA; seats by party - INC 145, BJP 138, CPI(M) 43, SP 36, RJD 24, BSP 19, DMK 16, SS 12, BJD 11, CPI 10, NCP 9, JDU 8, SAD 8, PMK 6, TDP 5, TRS 5, JMM 5, LJSP 4, MDMK 4, independents 5, other 30 |
| Judicial branch: | Supreme Court (one chief justice and 25 associate justices are appointed by the president and remain in office until they reach the age of 65 or are removed for "proved misbehavior") |
| Political parties and leaders: | note - India has dozens of national and regional political parties; only parties with four or more seats in the People's Assembly are listed; Bahujan Samaj Party or BSP [MAYAWATI]; Bharatiya Janata Party or BJP [Rajnath SINGH]; Biju Janata Dal or BJD [Naveen PATNAIK]; Communist Party of India or CPI [Ardhendu Bhushan BARDHAN]; Communist Party of India (Marxist) or CPI (M) [Prakash KARAT]; Dravida Munnetra Kazagham or DMK [M. KARUNANIDHI]; Indian National Congress or INC [Sonia GANDHI]; Janata Dal (United) or JD(U) [Sharad YADEV]; Jharkhand Mukti Morcha or JMM [Shibu SOREN]; Lok Jan Shakti Party or LJSP [Ram Vilas PASWAN]; Marumalarchi Dravida Munnetra Kazhagam or MDMK [VAIKU]; Nationalist Congress Party or NCP [Sharad PAWAR]; Pattali Makkal Katchi or PMK [S. RAMADOSS]; Rashtriya Janata Dal or RJD [Laloo Prasad YADAV]; Samajwadi Party or SP [Mulayam Singh YADAV]; Shiromani Akali Dal or SAD [Prakash Singh BADAL]; Shiv Sena or SS [Bal THACKERAY]; Telangana Rashtra Samithi or TRS [K. Chandrasekhar RAO]; Telugu Desam Party or TDP [Chandrababu NAIDU] |
| Political pressure groups and leaders: | numerous religious or militant/chauvinistic organizations, including Vishwa Hindu Parishad, Bajrang Dal, and Rashtriya Swayamsevak Sangh; various separatist groups seeking greater communal and/or regional autonomy, including the All Parties Hurriyat Conference in the Kashmir Valley and the National Socialist Council of Nagaland in the Northeast |
| International organization participation: | AfDB, ARF, AsDB, ASEAN (dialogue partner), BIMSTEC, BIS, C, CERN (observer), CP, EAS, FAO, G- 6, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO, ITU, MIGA, MONUC, NAM, OAS (observer), ONUB, OPCW, PCA, PIF (partner), SAARC, SACEP, SCO (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNMEE, UNMIS, UNMOVIC, UNOCI, UNOMIG, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ranendra SEN |
| Diplomatic representation in the US: | chancery: 2107 Massachusetts Avenue NW, Washington, DC 20008; note - Consular Wing located at 2536 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-7000 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4351 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador David C. MULFORD |
| Diplomatic representation from the US: | embassy: Shantipath, Chanakyapuri, New Delhi 110021 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [91] (11) 2419-8000 |
| Diplomatic representation from the US: | FAX: [91] (11) 2419-0017 |
| Diplomatic representation from the US: | consulate(s) general: Chennai (Madras), Kolkata (Calcutta), Mumbai (Bombay) |
| Flag description: | three equal horizontal bands of saffron (subdued orange) (top), white, and green with a blue chakra (24-spoked wheel) centered in the white band; similar to the flag of Niger, which has a small orange disk centered in the white band |
