| Government | Malta |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Malta |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age (16 in local council elections); universal |
| Executive branch: | chief of state: President George VELLA (since 4 April 2019) |
| Executive branch: | head of government: Prime Minister Joseph MUSCAT (since 11 March 2013) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | elections/appointments: president indirectly elected by the House of Representatives for a single 5-year term; election last held on 2 April 2019 (next to be held by April 2024); following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the president for a 5-year term; deputy prime minister appointed by the president on the advice of the prime minister |
| Executive branch: | election results: George VELLA (PL) elected president; House of Representatives vote - unanimous; Joseph MUSCAT (PL) reappointed prime minister |
| Legislative branch: | description: unicameral House of Representatives or Il-Kamra Tad-Deputati, a component of the Parliament of Malta (normally 65 seats but can include at-large members; members directly elected in 5 multi-seat constituencies by proportional representation vote; members serve 5-year terms); note - the parliament elected in 2013 had 69 seats; an additional two seats were added in 2016 by the Constitutional Court to correct for mistakes made in the 2013 vote-counting process |
| Legislative branch: | elections: last held on 3 June 2017 (next to be held in 2022); note - Prime Minister MUSCAT called for early elections amid corruption allegations |
| Legislative branch: | election results: percent of vote by party - PL 55%, PN 43.7%, other 1.3%; seats by party - PL 37 PN 30; note - PN was awarded two additional seats for a total of 30 in accordance with the proportionality provisions specified in the constitution; PD candidates ran under the PN list; composition - men 57, women 10, percent of women 14.9% |
| Judicial branch: | highest courts: Court of Appeal (consists of either 1 or 3 judges); Constitutional Court (consists of 3 judges); Court of Criminal Appeal (consists of either 1 or 3 judges) |
| Judicial branch: | judge selection and term of office: Court of Appeal and Constitutional Court judges appointed by the president, usually upon the advice of the prime minister; judges of both courts serve until age 65 |
| Judicial branch: | subordinate courts: Civil Court (divided into the General Jurisdiction Section, Family Section, and Voluntary Section); Criminal Court; Court of Magistrates; Gozo Courts (for the islands of Gozo and Comino) |
| Political parties and leaders: | Democratic Party (Partit Demokratiku) or PD [Godfrey FARRUGIA] |
| Political parties and leaders: | Labor Party (Partit Laburista) or PL [Joseph MUSCAT] |
| Political parties and leaders: | Nationalist Party (Partit Nazzjonalista) or PN [Adrian DELIA] |
| International organization participation: | Australia Group, C, CD, CE, EAPC, EBRD, ECB, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NSG, OAS (observer), OPCW, OSCE, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNIDO, Union Latina (observer), UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Keith AZZOPARDI (since 17 September 2018) |
| Diplomatic representation in the US: | chancery: 2017 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3611 through 3612 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-5470 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mark A. SCHAPIRO (since 29 September 2018) |
| Diplomatic representation from the US: | telephone: [356] 2561-4000 |
| Diplomatic representation from the US: | embassy: Ta' Qali National Park, Attard, ATD 4000 |
| Diplomatic representation from the US: | mailing address: 5800 Valletta Place, Dulles, VA 20189 |
| Diplomatic representation from the US: | FAX: [356] 2561-4183 |
| Flag description: | two equal vertical bands of white (hoist side) and red; in the upper hoist-side corner is a representation of the George Cross, edged in red; according to legend, the colors are taken from the red and white checkered banner of Count Roger of Sicily who removed a bi-colored corner and granted it to Malta in 1091; an uncontested explanation is that the colors are those of the Knights of Saint John who ruled Malta from 1530 to 1798; in 1942, King George VI of the UK awarded the George Cross to the islanders for their exceptional bravery and gallantry in World War II; since independence in 1964, the George Cross bordered in red has appeared directly on the white field |
| National symbol(s): | Maltese eight-pointed cross; national colors: red, white |
| National anthem: | name: "L-Innu Malti" (The Maltese Anthem) |
| National anthem: | lyrics/music: Dun Karm PSAILA/Robert SAMMUT |
| National anthem: | note: adopted 1945; written in the form of a prayer |
