| Government | Malta |
| Executive branch: | elections: president elected by a resolution of the House of Representatives for a five-year term; election last held on 12 January 2009 (next to be held by April 2014); following legislative elections, the leader of the majority party or leader of a majority coalition usually appointed prime minister by the president for a five-year term; the deputy prime minister appointed by the president on the advice of the prime minister |
| Executive branch: | election results: George ABELA elected president by the House of Representatives |
| Legislative branch: | unicameral House of Representatives (normally 65 seats; members are elected by popular vote on the basis of proportional representation by the Single Transferrable Vote (STV) to serve five-year terms; note - the parliament elected in 2013 is composed of 69 seats; when the political party winning an absolute majority of first-count votes (or a plurality of first-count votes in an election where only two parties are represented in parliament) does not win an absolute majority of seats, the constitution provides for the winning party to be awarded additional number of seats in parliament to guarantee it an absolute majority; in the event that more than two parties are represented in parliament, with none acquiring the absolute majority of votes, the party winning the majority of seats prevails |
| Legislative branch: | elections: last held on 9 March 2013 (next to be held by March 2018) |
| Legislative branch: | election results: percent of vote by party - PN 54.8%, PL 43.3%, other 1.9%; seats by party - PN 39, PL 30 |
| Judicial branch: | highest court(s): Court of Appeal (consists of 7 judges); Constitutional Court (consists of 3 judges) |
| Judicial branch: | judge selection and term of office: Court of Appeal and Constitutional Court judges appointed by the president, usually upon the advice of the prime minister; judges of both courts serve until age 65 |
| Judicial branch: | subordinate courts: Court of Criminal Appeal; Civil Court (divided into the General Jurisdiction Section, Family Section, and Voluntary Section); Criminal Court; Court of Magistrates; Gozo Courts (for the islands of Gozo and Comino |
| Political parties and leaders: | Alternativa Demokratika/Alliance for Social Justice or AD (Green Party) [Michael BRIGUGLIO] |
| Political parties and leaders: | Labor Party or PL [Joseph MUSCAT] |
| Political parties and leaders: | Nationalist Party or PN [Lawrence GONZI] |
| Political pressure groups and leaders: | Alliance of Liberal Democrats Malta (Alleanza Liberali-Demokratika Malta) of ALDM (for divorce, abortion, gay marriage, women's rights) |
| Political pressure groups and leaders: | Together for a Better Environment (Flimkien Ghal-Ambjent Ahjar) or FAA (pro-environment) |
| Political pressure groups and leaders: | other: environmentalists |
| International organization participation: | Australia Group, C, CD, CE, EAPC, EBRD, ECB, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NSG, OAS (observer), OPCW, OSCE, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNIDO, Union Latina (observer), UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Marisa Maria Louise MICALLEF (since 22 August 2013) |
| Diplomatic representation in the US: | chancery: 2017 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3611 through 3612 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-5470 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Gina ABERCROMBIE-WINSTANLEY (since 18 April 2012) |
| Diplomatic representation from the US: | embassy: Ta' Qali National Park, Attard, ATD 4000 |
| Diplomatic representation from the US: | mailing address: 5800 Valetta Place, Dulles, VA 20189 |
| Diplomatic representation from the US: | telephone: [356] 2561 4000 |
| Diplomatic representation from the US: | FAX: [356] 2124 3229 |
| Flag description: | two equal vertical bands of white (hoist side) and red; in the upper hoist-side corner is a representation of the George Cross, edged in red; according to legend, the colors are taken from the red and white checkered banner of Count Roger of Sicily who removed a bi-colored corner and granted it to Malta in 1091; an uncontested explanation is that the colors are those of the Knights of Saint John who ruled Malta from 1530 to 1798; in 1942, King George VI of the United Kingdom awarded the George Cross to the islanders for their exceptional bravery and gallantry in World War II; since independence in 1964, the George Cross bordered in red has appeared directly on the white field |
| National symbol(s): | Maltese cross |
| National anthem: | name: "L-Innu Malti" (The Maltese Anthem) |
| National anthem: | lyrics/music: Dun Karm PSAILA/Robert SAMMUT |
| National anthem: | note: adopted 1945; the anthem is written in the form of a prayer |
