| Government | Colombia |
| Legislative branch: | bicameral Congress or Congreso consists of the Senate or Senado (102 seats; members elected by popular vote to serve four-year terms) and the Chamber of Representatives or Camara de Representantes (166 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 14 March 2010 (next to be held in March 2014); Chamber of Representatives - last held on 14 March 2010 (next to be held in March 2014) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - U Party 28, PC 22, PL 17, PIN 9, CR 8, PDA 8, Green Party 5, other parties 5; Chamber of Representatives - percent of vote by party - NA; seats by party - U Party 47, PC 38, PL 37, CR 15, PIN 12, PDA 4, Green Party 3, other parties 10; note - as of 1 January 2011, the Senate currently has 101 seats after one seat became vacant due to a PL senator losing his seat for illegal collusion with the FARC; the Chamber of Representatives also has one seat vacant after only 165 of the 166 candidates were credentialed |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (consists of the Civil-Agrarian and Labor Chambers each with 7 judges, and the Penal Chamber with 9 judges); Constitutional Court (consists of 9 magistrates); Council of State (consists of 27 magistrates) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the Congress from candidates submitted by the president; judges appointed for life; Constitutional Court magistrates - 3 nominated by the president, 3 by the Supreme Court, and 3 elected by the Senate; judges elected for individual 2-8 year terms |
| Judicial branch: | subordinate courts: Superior Tribunals (appellate courts for each of the judicial districts); regional courts; civil municipal courts; Superior Military Tribunal; first instance administrative courts |
| Political parties and leaders: | Alternative Democratic Pole or PDA [Clara LOPEZ] |
| Political parties and leaders: | Conservative Party or PC [Efrain CEPEDA Sarabia] |
| Political parties and leaders: | Green Party [Jorge LONDONO Ulloa; Enrique PENALOSA] |
| Political parties and leaders: | Liberal Party or PL [Simon GAVIRIA Munoz] |
| Political parties and leaders: | National Integration Party or PIN [Angel ALIRIO Moreno] |
| Political parties and leaders: | Radical Change or CR [Antonio GUERRA de la Espriella] |
| Political parties and leaders: | Social National Unity Party or U Party [Juan Francisco LOZANO Ramirez] |
| Political parties and leaders: | note: Colombia has seven major political parties, and numerous smaller movements |
| Political pressure groups and leaders: | Central Union of Workers or CUT |
| Political pressure groups and leaders: | Colombian Confederation of Workers or CTC |
| Political pressure groups and leaders: | General Confederation of Workers or CGT |
| Political pressure groups and leaders: | National Liberation Army or ELN |
| Political pressure groups and leaders: | Revolutionary Armed Forces of Colombia or FARC |
| Political pressure groups and leaders: | note: FARC and ELN are the two largest insurgent groups active in Colombia |
| International organization participation: | BCIE, BIS, CAN, Caricom (observer), CD, CDB, CELAC, FAO, G-3, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, NAM, OAS, OPANAL, OPCW, PCA, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNSC (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Luis Carlos VILLEGAS Echeverri (since 3 December 2013) |
| Diplomatic representation in the US: | chancery: 2118 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-8338 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-8643 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Beverly Hills (CA), Boston, Chicago, Houston, Miami, New York, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Newark (NJ) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Benjamin ZIFF |
| Diplomatic representation from the US: | embassy: Calle 24 Bis No. 48-50, Bogota, D.C. |
| Diplomatic representation from the US: | mailing address: Carrera 45 No. 24B-27, Bogota, D.C. |
| Diplomatic representation from the US: | telephone: [57] (1) 275-2000 |
| Diplomatic representation from the US: | FAX: [57] (1) 275-4600 |
| Flag description: | three horizontal bands of yellow (top, double-width), blue, and red; the flag retains the three main colors of the banner of Gran Colombia, the short-lived South American republic that broke up in 1830; various interpretations of the colors exist and include: yellow for the gold in Colombia's land, blue for the seas on its shores, and red for the blood spilled in attaining freedom; alternatively, the colors have been described as representing more elemental concepts such as sovereignty and justice (yellow), loyalty and vigilance (blue), and valor and generosity (red); or simply the principles of liberty, equality, and fraternity |
| Flag description: | note: similar to the flag of Ecuador, which is longer and bears the Ecuadorian coat of arms superimposed in the center |
| National symbol(s): | Andean condor |
| National anthem: | name: "Himno Nacional de la Republica de Colombia" (National Anthem of the Republic of Colombia) |
| National anthem: | lyrics/music: Rafael NUNEZ/Oreste SINDICI |
| National anthem: | note: adopted 1920; the anthem was created from an inspirational poem written by President Rafael NUNEZ |
