| Government | AUSTRIA |
| Legislative branch: | description: bicameral Federal Assembly or Bundesversammlung consists of the Federal Council or Bundesrat (62 seats; members appointed by state parliaments with each state receiving 3 to 12 seats in proportion to its population; members serve 5- or 6-year terms) and the National Council or Nationalrat (183 seats; members directly elected in single-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: National Council - last held on 29 September 2013 (next to be held by September 2018) |
| Legislative branch: | election results: National Council - percent of vote by party - SPOe 26.8%, OeVP 24.0%, FPOe 20.5%, Greens 12.4%, Team Stronach 5.7%, NEOS 5.0%, other 5.6%; seats by party - SPOe 52, OeVP 47, FPOe 40, Greens 24, Team Stronach 11, NEOS 9; note - currently: SPOe 52, OeVP 50, FPOe 38, Greens 24, NEOS 9, Team Stronach 6, without faction 4 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Oberster Gerichtshof (consists of 85 judges organized into 17 senates or panels of 5 judges each); Constitutional Court or Verfassungsgerichtshof (consists of 20 judges including 6 substitutes; Administrative Court or Verwaltungsgerichtshof - 2 judges plus other members depending on the importance of the case) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by executive branch departments and appointed by the president; judges serve for life; Constitutional Court judges nominated by several executive branch departments and approved by the president; judges serve for life; Administrative Court judges recommended by executive branch departments and appointed by the president; terms of judges and members determined by the president |
| Judicial branch: | subordinate courts: Courts of Appeal (4); Regional Courts (20); district courts (120); county courts |
| Political parties and leaders: | Austrian People's Party or OeVP [Reinhold MITTERLEHNER] |
| Political parties and leaders: | Communist Party of Austria or KPOe [Mirko MESSNER] |
| Political parties and leaders: | Freedom Party of Austria or FPOe [Heinz Christian STRACHE] |
| Political parties and leaders: | The Greens [Eva GLAWISCHNIG] |
| Political parties and leaders: | NEOS - The New Austria [Matthias STROLZ] |
| Political parties and leaders: | Social Democratic Party of Austria or SPOe [Christian KERN] |
| Political parties and leaders: | "Team Stronach" [Frank STRONACH] |
| Political pressure groups and leaders: | Austrian Trade Union Federation or OeGB (nominally independent but primarily Social Democratic) |
| Political pressure groups and leaders: | Federal Agriculture Chamber (OeVP-dominated) |
| Political pressure groups and leaders: | Federal Economic Chamber (OeVP-dominated) |
| Political pressure groups and leaders: | Labor Chamber or AK (Social Democratic-leaning think tank) |
| Political pressure groups and leaders: | OeVP-oriented Association of Austrian Industrialists or IV |
| Political pressure groups and leaders: | Roman Catholic Church, including its chief lay organization, Catholic Action |
| Political pressure groups and leaders: | other: three composite leagues of the Austrian People's Party or OeVP representing business, labor, farmers, and other nongovernment organizations in the areas of environment and human rights |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, BSEC (observer), CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EMU, ESA, EU, FAO, FATF, G-9, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Wolfgang WALDNER (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 3524 International Court NW, Washington, DC 20008-3035 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 895-6750 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation in the US: | consulate(s): Chicago |
| Diplomatic representation from the US: | chief of mission: Ambassador Alexa Lange WESNER (since 22 October 2013) |
| Diplomatic representation from the US: | embassy: Boltzmanngasse 16, A-1090, Vienna |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [43] (1) 31339-0 |
| Diplomatic representation from the US: | FAX: [43] (1) 3100682 |
| Flag description: | three equal horizontal bands of red (top), white, and red; the flag design is certainly one of the oldest - if not the oldest - national banners in the world; according to tradition, in 1191, following a fierce battle in the Third Crusade, Duke Leopold V of Austria's white tunic became completely blood-spattered; upon removal of his wide belt or sash, a white band was revealed; the red-white-red color combination was subsequently adopted as his banner |
| National symbol(s): | golden eagle, edelweiss, Alpine gentian; national colors: red, white |
| National anthem: | name: "Bundeshymne" (Federal Hymn) |
| National anthem: | lyrics/music: Paula von PRERADOVIC/Wolfgang Amadeus MOZART or Johann HOLZER (disputed) |
| National anthem: | note: adopted 1947; the anthem is also known as "Land der Berge, Land am Strome" (Land of the Mountains, Land by the River); Austria adopted a new national anthem after World War II to replace the former imperial anthem composed by Franz Josef HAYDN, which had been appropriated by Germany in 1922 and was thereafter associated with the Nazi regime; a gendered version of the lyrics was adopted by the Austrian Federal Assembly in fall 2011 and became effective 1 January 2012 |
