| Government | MAURITIUS |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (70 seats maximum; 62 members directly elected in single- and multi-seat constituencies by simple majority vote and up to 8 seats allocated to non-elected party candidates by the Electoral Commissioner's Office to ensure fair and adequate representation of each community and party in the Assembly, as outlined in the Constitution; members serve 5-year terms) |
| Legislative branch: | elections: last held on 10 December 2014 (next to be held by 2019); note - the National Assembly was dissolved on 6 October 2014, resulting in early elections |
| Legislative branch: | election results: percent of vote by party - Alliance Lepep 49.8%, PTR-MMM 38.5%, FSM 2.1%, OPR 1.1%, other 8.5%; elected seats by party - Alliance Lepep 47, PTR-MMM 13, OPR 2; appointed seats Alliance Lepep 4, PTR-MMM 3 |
| Judicial branch: | highest court(s): Supreme Court of Mauritius (consists of the chief justice, a senior puisne judge, and 17 puisne judges); note - the Judicial Committee of the Privy Council (in London) serves as the final court of appeal |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president after consultation with the prime minister; senior puisne judge appointed by the president with the advice of the chief justice; other puisne judges appointed by the president with the advice of the Judicial and Legal Commission, a 4-member body of judicial officials including the chief justice; all judges serve until retirement at age 62 |
| Judicial branch: | subordinate courts: Court of Civil Appeal; Court of Criminal Appeal; Public Bodies Appeal Tribunal |
| Political parties and leaders: | Alliance Lepep (Alliance of the People) [Sir Anerood JUGNAUTH] (coalition including MSM, PMSD, and ML) |
| Political parties and leaders: | Labor Party (Parti Travailliste) or PTR or MLP [Navinchandra RAMGOOLAM] |
| Political parties and leaders: | Mauritian Militant Movement (Mouvement Militant Mauricien) or MMM [Paul BERENGER] |
| Political parties and leaders: | Mauritian Social Democratic Party (Parti Mauricien Social Democrate) or PMSD [Xavier Luc DUVAL] |
| Political parties and leaders: | Mauritian Solidarity Front (Front Solidarite Mauricienne) or FSM [Cehl FAKEERMEEAH, known as Cehl MEEAH] |
| Political parties and leaders: | Militant Socialist Movement (Mouvement Socialist Mauricien) or MSM [Pravind JUGNAUTH] |
| Political parties and leaders: | Muvman Liberater or ML [Ivan COLLENDAVELLOO] |
| Political parties and leaders: | Rodrigues Peoples Organization (Organisation du Peuple Rodriguais) or OPR [Serge CLAIR] |
| Political pressure groups and leaders: | Lalit Political Party |
| Political pressure groups and leaders: | Rezistans ek Alternativ (Resistance and Alternative) |
| Political pressure groups and leaders: | Say No to Coal! |
| Political pressure groups and leaders: | other: various labor unions |
| International organization participation: | ACP, AfDB, AOSIS, AU, C, CD, COMESA, CPLP (associate), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SAARC (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Sooroojdev PHOKEER (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 1709 N Street NW, Washington, DC 20036; administrative offices at 3201 Connecticut Avenue NW, Suite 441, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-1491 through 1492 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-0983 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Melanie ZIMMERMAN (since 2016); note - also accredited to Seychelles |
| Diplomatic representation from the US: | embassy: 4th Floor, Rogers House, John Kennedy Avenue, Port Louis |
| Diplomatic representation from the US: | mailing address: international mail: P.O. Box 544, Port Louis; US mail: American Embassy, Port Louis, US Department of State, Washington, DC 20521-2450 |
| Diplomatic representation from the US: | telephone: [230] 202-4400 |
| Diplomatic representation from the US: | FAX: [230] 208-9534 |
| Flag description: | four equal horizontal bands of red (top), blue, yellow, and green; red represents self-determination and independence, blue the Indian Ocean surrounding the island, yellow has been interpreted as the new light of independence, golden sunshine, or the bright future, and green can symbolize either agriculture or the lush vegetation of the island |
| National symbol(s): | dodo bird, Trochetia Boutoniana flower; national colors: red, blue, yellow, green |
| National anthem: | name: "Motherland" |
| National anthem: | lyrics/music: Jean Georges PROSPER/Philippe GENTIL |
| National anthem: | note: adopted 1968 |
