| Government | Mauritius |
| Judicial branch: | highest court(s): Supreme Court of Mauritius (consists of the chief justice, a senior puisne judge, and 17 puisne judges) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president after consultation with the prime minister; senior puisne judge appointed by the president with the advice of the chief justice; other puisne judges appointed by the president with the advice of the Judicial and Legal Commission, a 4-member body of judicial officials including the chief justice; all judges serve until retirement at age 62 |
| Judicial branch: | subordinate courts: Court of Civil Appeal; Court of Criminal Appeal; Public Bodies Appeal Tribunal (formed by a 2008 constitutional amendment) |
| Political parties and leaders: | Alliance of the Future (l'Alliance de l'Avenir) or AF [Navinchandra RAMGOOLAM] (governing coalition - includes PTR-PMSD-MSM) |
| Political parties and leaders: | Alliance of the Heart (l'Alliance du Coeur) or AC [Paul BERENGER] (coalition includes - MMM, UN, MMSD) |
| Political parties and leaders: | Labor Party (Parti Travailliste) or PTR [Navinchandra RAMGOOLAM] |
| Political parties and leaders: | Mauritian Militant Movement (Mouvement Militant Mauricien) or MMM [Paul BERENGER] |
| Political parties and leaders: | Militant Socialist Movement (Mouvement Socialist Mauricien) or MSM [Pravind JUGNAUTH] |
| Political parties and leaders: | Maurition Social Democratic Party (Parti Mauricien Social Democrate) or PMSD [Xavier Luc DUVAL] |
| Political parties and leaders: | Mauritian Solidarity Front (Front Solidarite Mauricienne) or FSM [Cehl FAKEERMEEAH] |
| Political parties and leaders: | Mauritian Social Democratic Movement (Mouvement Mauricien Social Democrate) or MMSD [Eric GUIMBEAU] |
| Political parties and leaders: | Mauritian Militant Socialist Movement (Mouvement Militant Socialiste Mauricienne) or MMSM [Madan DULLOO] |
| Political parties and leaders: | National Union (Union Nationale) or UN [Ashok JUGNAUTH] |
| Political parties and leaders: | Rodrigues Movement (Mouvement Rodriguais) or MR [Joseph (Nicholas) Von MALLY] |
| Political parties and leaders: | Rodrigues Peoples Organization (Organisation du Peuple Rodriguais) or OPR [Serge CLAIR] |
| Political pressure groups and leaders: | LALIT Political Party |
| Political pressure groups and leaders: | Blok 104. Rezistans ek Alternativ (Resistence and Alternative), Say No to Coal! |
| Political pressure groups and leaders: | other: various labor unions |
| International organization participation: | ACP, AfDB, AOSIS, AU, C, CD, COMESA, CPLP (associate), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SAARC (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Somduth SOBORUN (since 28 January 2011) |
| Diplomatic representation in the US: | chancery: 1709 N Street NW, Washington, DC 20036; administrative offices - 3201 Connecticut Avenue NW, Suite 441, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-1491 through 1492 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-0983 |
| Diplomatic representation from the US: | chief of mission: Ambassador Sharon VILLAROSA (since 10 September 2012; note - also accredited to Seychelles |
| Diplomatic representation from the US: | embassy: 4th Floor, Rogers House, John Kennedy Street, Port Louis |
| Diplomatic representation from the US: | mailing address: international mail: P. O. Box 544, Port Louis; US mail: American Embassy, Port Louis, US Department of State, Washington, DC 20521-2450 |
| Diplomatic representation from the US: | telephone: [230] 202-4400 |
| Diplomatic representation from the US: | FAX: [230] 208-9534 |
| Flag description: | four equal horizontal bands of red (top), blue, yellow, and green; red represents self-determination and independence, blue the Indian Ocean surrounding the island, yellow has been interpreted as the new light of independence, golden sunshine, or the bright future, and green can symbolize either agriculture or the lush vegetation of the island |
| National anthem: | name: "Motherland" |
| National anthem: | lyrics/music: Jean Georges PROSPER/Philippe GENTIL |
| National anthem: | note: adopted 1968 |
