| Government | NEW ZEALAND |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d' Affaires Marie C. DAMOUR (since 17 January 2014); note - also accredited to Samoa |
| Diplomatic representation from the US: | embassy: 29 Fitzherbert Terrace, Thorndon, Wellington |
| Diplomatic representation from the US: | mailing address: P. O. Box 1190, Wellington; PSC 467, Box 1, APO AP 96531-1034 |
| Diplomatic representation from the US: | telephone: [64] (4) 462-6000 |
| Diplomatic representation from the US: | FAX: [64] (4) 499-0490 |
| Diplomatic representation from the US: | consulate(s) general: Auckland |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant with four red five-pointed stars edged in white centered in the outer half of the flag; the stars represent the Southern Cross constellation |
| National symbol(s): | Southern Cross constellation (four, five-pointed stars), kiwi (bird), silver fern; national colors: black, white, red (ochre) |
| National anthem: | name: "God Defend New Zealand" |
| National anthem: | lyrics/music: Thomas BRACKEN [English], Thomas Henry SMITH [Maori]/John Joseph WOODS |
| National anthem: | note: adopted 1940 as national song, adopted 1977 as co-national anthem; New Zealand has two national anthems with equal status; as a commonwealth realm, in addition to "God Defend New Zealand," "God Save the Queen" serves as a national anthem (see United Kingdom); "God Save the Queen" normally played only when a member of the royal family or the governor-general is present; in all other cases, "God Defend New Zealand" is played |
