| Government | Trinidad and Tobago |
| Executive branch: | elections/appointments: president indirectly elected by an electoral college of selected Senate and House of Representatives members for a 5-year term (eligible for a second term); election last held on 19 January 2018 (next to be held by February 2023); the president usually appoints the leader of the majority party in the House of Representatives as prime minister |
| Executive branch: | election results: Paula-Mae WEEKES (independent) elected president; ran unopposed and was elected without a vote; she is Trinidad and Tabago's first female head of state |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (31 seats; 16 members appointed by the ruling party, 9 by the president, and 6 by the opposition party; members serve 5-year terms;) |
| Legislative branch: | House of Representatives 42 seats; 41 members directly elected in single-seat constituencies by simple majority vote and the house speaker - usually designated from outside Parliament; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | House of Representatives - last held on 7 September 2015 (next to be held in 2020) |
| Legislative branch: | election results: |
| Legislative branch: | House of Representatives - percent of vote - PNM 51.7%, People's Partnership coalition 46.6% (UNC 39.6%, COP 6%, other coalition 1%), other 1.7%; seats by party - PNM 23, UNC 17, COP 1 |
| Legislative branch: | note: Tobago has a unicameral House of Assembly (16 seats; 12 assemblymen directly elected by simple majority vote and 4 appointed councillors - 3 on the advice of the chief secretary and 1 on the advice of the minority leader; members serve 4-year terms) |
| Political parties and leaders: | Congress of the People or COP |
| Political parties and leaders: | People's National Movement or PNM [Keith ROWLEY] |
| Political parties and leaders: | People's Partnership [Kamla PERSAD-BISSESSAR] (coalition includes UNC, COP, TOP, NJAC) |
| Political parties and leaders: | National Joint Action Committee or NJAC [Kwasi MUTEMA] |
| Political parties and leaders: | Tobago Organization of the People or TOP [Ashworth JACK] |
| Political parties and leaders: | United National Congress or UNC [Kamla PERSAD-BISSESSAR] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, EITI (compliant country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, MIGA, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), Paris Club (associate), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Anthony Wayne Jerome PHILLIPS-SPENCER, Brig. Gen. (Ret.) (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 1708 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-6490 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-3130 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires John W. MCINTYRE (since 20 January 2017) |
| Diplomatic representation from the US: | embassy: 15 Queen's Park West, Port of Spain |
| Diplomatic representation from the US: | mailing address: P. O. Box 752, Port of Spain |
| Diplomatic representation from the US: | telephone: [1] (868) 622-6371 through 6376 |
| Diplomatic representation from the US: | FAX: [1] (868) 822-5905 |
| Flag description: | red with a white-edged black diagonal band from the upper hoist side to the lower fly side; the colors represent the elements of earth, water, and fire; black stands for the wealth of the land and the dedication of the people; white symbolizes the sea surrounding the islands, the purity of the country's aspirations, and equality; red symbolizes the warmth and energy of the sun, the vitality of the land, and the courage and friendliness of its people |
| National symbol(s): | scarlet ibis (bird of Trinidad), cocrico (bird of Tobago), Chaconia flower; national colors: red, white, black |
| National anthem: | name: Forged From the Love of Liberty |
| National anthem: | lyrics/music: Patrick Stanislaus CASTAGNE |
| National anthem: | note: adopted 1962; song originally created to serve as an anthem for the West Indies Federation; adopted by Trinidad and Tobago following the Federation's dissolution in 1962 |
