| Government | Finland |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-9, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMOGIP, UNRWA, UNTSO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ritva KOUKKU-RONDE |
| Diplomatic representation in the US: | chancery: 3301 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-5800 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-6030 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Bruce J. ORECK |
| Diplomatic representation from the US: | embassy: Itainen Puistotie 14B, 00140 Helsinki |
| Diplomatic representation from the US: | mailing address: APO AE 09723 |
| Diplomatic representation from the US: | telephone: [358] (9) 616250 |
| Diplomatic representation from the US: | FAX: [358] (9) 6162 5800 |
| Flag description: | white with a blue cross extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the blue represents the thousands of lakes scattered across the country, while the white is for the snow that covers the land in winter |
| National symbol(s): | lion |
| National anthem: | name: "Maamme" (Our Land) |
| National anthem: | lyrics/music: Johan Ludvig RUNEBERG/Fredrik PACIUS |
| National anthem: | note: in use since 1848; although never officially adopted by law, the anthem has been popular since it was first sung by a student group in 1848; Estonia's anthem uses the same melody as that of Finland |
