| Government | Netherlands |
| Political pressure groups and leaders: | Federation for Small and Medium-sized businesses or MKB [Hans BIESHEUVEL] |
| Political pressure groups and leaders: | Netherlands Trade Union Federation or FNV [Ton HEERTS] |
| Political pressure groups and leaders: | Social Economic Council or SER [Wiebe DRAIJER] |
| Political pressure groups and leaders: | Trade Union Federation of Middle and High Personnel or MHP [Reginald VISSER] |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, Benelux, BIS, CBSS (observer), CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, Schengen Convention, SELEC (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Rudolf Simon BEKINK (since 20 July 2012) |
| Diplomatic representation in the US: | chancery: 4200 Linnean Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-5300, [1] 877-388-2443 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-3430 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Miami, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): Boston |
| Diplomatic representation from the US: | chief of mission: ambassador Timothy BROAS (since 19 March 2014) |
| Diplomatic representation from the US: | embassy: Lange Voorhout 102, 2514 EJ, The Hague |
| Diplomatic representation from the US: | mailing address: PSC 71, Box 1000, APO AE 09715 |
| Diplomatic representation from the US: | telephone: [31] (70) 310-2209 |
| Diplomatic representation from the US: | FAX: [31] (70) 310-2207 |
| Diplomatic representation from the US: | consulate(s) general: Amsterdam |
| Flag description: | three equal horizontal bands of red (top), white, and blue; similar to the flag of Luxembourg, which uses a lighter blue and is longer; the colors were those of WILLIAM I, Prince of Orange, who led the Dutch Revolt against Spanish sovereignty in the latter half of the 16th century; originally the upper band was orange, but because it tended to fade to red over time, the red shade was eventually made the permanent color; the banner is perhaps the oldest tricolor in continuous use |
| National symbol(s): | lion |
| National anthem: | name: "Het Wilhelmus" (The William) |
| National anthem: | lyrics/music: Philips VAN MARNIX van Sint Aldegonde (presumed)/unknown |
| National anthem: | note: adopted 1932, in use since the 17th century, making it the oldest national anthem in the world; also known as "Wilhelmus van Nassouwe" (William of Nassau), it is in the form of an acrostic, where the first letter of each stanza spells the name of the leader of the Dutch Revolt |
