| Government | Maldives |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Maldives |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ibrahim "Ibu" Mohamed SOLIH (since 17 November 2018); Vice PresidentÂ Faisal NASEEM (since 17 November 2018); the president is both chief of state and head of government |
| Executive branch: | head of government: President Ibrahim Mohamed SOLIH (since 17 November 2018); Vice PresidentÂ Faisal NASEEM (since 17Â November 2018) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president, approved by Parliament |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 23 September 2018 (next to be held in 2023) |
| Executive branch: | election results: Ibrahim Mohamed SOLIH elected president (in 1 round); Ibrahim Mohamed SOLIH (MDP) 58.3%, Abdulla YAMEEN Abdul Gayoom (PPM) 41.7% |
| Legislative branch: | description: unicameral Parliament or People's Majlis (87 seats - includes 2 seats added by the Elections Commission in late 2018; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: last held onÂ 6 April 2019Â (next to be held in 2023) |
| Legislative branch: | election results: percent of vote - MDP 44.7%, JP 10.8%, PPM 8.7%, PNC 6.4%, MDA 2.8%, other 5.6%, independent 21%; seats by party - MDP 65, JP 5, PPM 5, PNC 3, MDA 2, independent 7; composition - men 83, women 4, percent of women 4.6% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 4-6 justices; note - 3 justices as of late 2019) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president in consultation with the Judicial Service Commission - a 10-member body of selected high government officials and the public - and upon confirmation by voting members of the People's Majlis; judges serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Court; Criminal, Civil, Family, Juvenile, and Drug Courts; Magistrate Courts (on each of the inhabited islands) |
| Political parties and leaders: | Adhaalath (Justice) Party or AP [Sheikh Imran ABDULLA] |
| Political parties and leaders: | Maldives Development Alliance or MDA [Ahmed Shiyam MOHAMED] |
| Political parties and leaders: | Maldivian Democratic Party or MDP [Mohamed NASHEED] |
| Political parties and leaders: | Maldives Labor and Social Democratic Party or MLSDP [Ahmed SHIHAM] |
| Political parties and leaders: | Maldives Third Way Democrats or MTD [Ahmed ADEEB] |
| Political parties and leaders: | Maldives Reform Movement or MRM [Maumoon Abdul GAYOOM] |
| Political parties and leaders: | People's National Congress or PNC [Abdul Raheem ABDULLA] (formed in early 2019) |
| Political parties and leaders: | Progressive Party of Maldives or PPM [Abdulla YAMEEN] |
| Political parties and leaders: | Republican (Jumhooree) Party or JP [Qasim IBRAHIM] (2019) |
| International organization participation: | ADB, AOSIS, C, CP, FAO, G-77, IBRD, ICAO, ICC (NGOs), ICCt, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, MIGA, NAM, OIC, OPCW, SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador THILMEEZA Hussain (since 8 July 2019) |
| Diplomatic representation in the US: | chancery: 801 Second Avenue, Suite 400E, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6194 and 599-6195 |
| Diplomatic representation in the US: | FAX: [1] (212) 661-6405 |
| Diplomatic representation from the US: | the US does not have an embassy in Maldives; US Ambassador to Sri Lanka and Maldives,Â Alaina TEPLITZÂ (since 1 November 2018), is accredited to both countries |
| Flag description: | red with a large green rectangle in the center bearing a vertical white crescent moon; the closed side of the crescent is on the hoist side of the flag; red recalls those who have sacrificed their lives in defense of their country, the green rectangle represents peace and prosperity, and the white crescent signifies Islam |
| National symbol(s): | coconut palm, yellowfin tuna; national colors: red, green, white |
| National anthem: | name: "Gaumee Salaam" (National Salute) |
| National anthem: | lyrics/music: Mohamed Jameel DIDI/Wannakuwattawaduge DON AMARADEVA |
| National anthem: | note: lyrics adopted 1948, music adopted 1972; between 1948 and 1972, the lyrics were sung to the tune of "Auld Lang Syne" |
