| Government | Congo, Democratic Republic of the |
| Judicial branch: | highest courts: Court of Cassation or Cour de Cassation (consists of 26 justices and organized into legislative and judiciary sections); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges nominated by the Judicial Service Council, an independent body of public prosecutors and selected judges of the lower courts; judge tenure NA; Constitutional Court judges - 3 nominated by the president, 3 by the Judicial Service Council, and 3 by the legislature; judges appointed by the president to serve 9-year non-renewable terms with one-third of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: State Security Court; Court of Appeals (organized into administrative and judiciary sections); Tribunal de Grande; magistrates' courts; customary courts |
| Political parties and leaders: | Christian Democrat Party or PDC [Jose ENDUNDO] |
| Political parties and leaders: | Congolese Rally for Democracy or RCD [Azarias RUBERWA] |
| Political parties and leaders: | Convention of Christian Democrats or CDC |
| Political parties and leaders: | Engagement for Citizenship and Development or ECiDe [Martin FAYULU] |
| Political parties and leaders: | Forces of Renewal or FR [Mbusa NYAMWISI] |
| Political parties and leaders: | Lamuka coalition [Martin FAYULU] (includes ECiDe, MLC, Together for Change, CNB, and, Nouvel Elan) |
| Political parties and leaders: | Movement for the Liberation of the Congo or MLC [Jean-Pierre BEMBA] |
| Political parties and leaders: | Nouvel Elan [Adolphe MUZITO] |
| Political parties and leaders: | Our Congo or CNB ("Congo Na Biso") [Freddy MATUNGULU] |
| Political parties and leaders: | People's Party for Reconstruction and Democracy or PPRD [Henri MOVA Sakanyi] |
| Political parties and leaders: | Social Movement for Renewal or MSR [Pierre LUMBI] |
| Political parties and leaders: | Together for Change (Ensemble") [Moise KATUMBI] |
| Political parties and leaders: | Unified Lumumbist Party or PALU [Antoine GIZENGA] |
| Political parties and leaders: | Union for the Congolese Nation or UNC [Vital KAMERHE] |
| Political parties and leaders: | Union for Democracy and Social Progress or UDPS [Felix TSHISEKEDI] |
| International organization participation: | ACP, AfDB, AU, CEMAC, CEPGL, COMESA, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Francois Nkuna BALUMUENE (since 23 September 2015) |
| Diplomatic representation in the US: | chancery: 1100 Connecticut Avenue NW, Suite 725, Washington DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7690 through 7691 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-2609 |
| Diplomatic representation in the US: | representative office: New York New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael A. HAMMER (since 22 December 2018) |
| Diplomatic representation from the US: | telephone: [243] 081 556-0151 |
| Diplomatic representation from the US: | embassy: 310 Avenue des Aviateurs, Kinshasa, Gombe |
| Diplomatic representation from the US: | mailing address: Unit 2220, DPO AE 09828 |
| Diplomatic representation from the US: | FAX: [243] 81 556-0175 |
| Flag description: | sky blue field divided diagonally from the lower hoist corner to upper fly corner by a red stripe bordered by two narrow yellow stripes; a yellow, five-pointed star appears in the upper hoist corner; blue represents peace and hope, red the blood of the country's martyrs, and yellow the country's wealth and prosperity; the star symbolizes unity and the brilliant future for the country |
| National symbol(s): | leopard; national colors: sky blue, red, yellow |
| National anthem: | name: "Debout Congolaise" (Arise Congolese) |
| National anthem: | lyrics/music: Joseph LUTUMBA/Simon-Pierre BOKA di Mpasi Londi |
| National anthem: | note: adopted 1960; replaced when the country was known as Zaire; but readopted in 1997 |
