| Government | CONGO, DEMOCRATIC REPUBLIC OF THE |
| Judicial branch: | subordinate courts: State Security Court; Court of Appeals (organized into administrative and judiciary sections); Tribunal de Grande; magistrates' courts; customary courts |
| Political parties and leaders: | Christian Democrat Party or PDC [Jose ENDUNDO] |
| Political parties and leaders: | Congolese Rally for Democracy or RCD [Azarias RUBERWA] |
| Political parties and leaders: | Convention of Christian Democrats or CDC |
| Political parties and leaders: | Forces of Renewal or FR [Mbusa NYAMWISI] |
| Political parties and leaders: | Movement for the Liberation of the Congo or MLC [Jean-Pierre BEMBA] |
| Political parties and leaders: | People's Party for Reconstruction and Democracy or PPRD [Henri MOVA] |
| Political parties and leaders: | Social Movement for Renewal or MSR [Pierre LUMBI] |
| Political parties and leaders: | Unified Lumumbist Party or PALU [Antoine GIZENGA] |
| Political parties and leaders: | Union for the Congolese Nation or UNC [Vital KAMERHE] |
| Political parties and leaders: | Union for Democracy and Social Progress or UDPS [Felix TSHISEKEDI] |
| Political pressure groups and leaders: | Allied Democratic Forces or ADF (anti-Ugandan Government rebel groups] |
| Political pressure groups and leaders: | Army of the Democratic Republic of the Congo (Forces Armées de la République Démocratique du Congo) or FARDC |
| Political pressure groups and leaders: | Forces Democratiques de Liberation du Rwanda or FDLR (Rwandan militia group made up of some of the perpetrators of Rwanda's genocide in 1994) |
| Political pressure groups and leaders: | Le Rassemblement (established in 2016 as a coalition of members from several political parties) |
| International organization participation: | ACP, AfDB, AU, CEMAC, CEPGL, COMESA, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francois Nkuna BALUMUENE (since 23 September 2015) |
| Diplomatic representation in the US: | chancery: 1726 M Street, NW, Suite 601, Washington, DC, 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7690 through 7691 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-2609 |
| Diplomatic representation in the US: | representative office: New York New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Robert WHITEHEAD (since January 2016) |
| Diplomatic representation from the US: | embassy: 310 Avenue des Aviateurs, Kinshasa, Gombe |
| Diplomatic representation from the US: | mailing address: Unit 2220, DPO AE 09828 |
| Diplomatic representation from the US: | telephone: [243] (081) 556-0151 |
| Diplomatic representation from the US: | FAX: [243] (081) 556-0175 |
| Flag description: | sky blue field divided diagonally from the lower hoist corner to upper fly corner by a red stripe bordered by two narrow yellow stripes; a yellow, five-pointed star appears in the upper hoist corner; blue represents peace and hope, red the blood of the country's martyrs, and yellow the country's wealth and prosperity; the star symbolizes unity and the brilliant future for the country |
| National symbol(s): | leopard; national colors: sky blue, red, yellow |
| National anthem: | name: "Debout Congolaise" (Arise Congolese) |
| National anthem: | lyrics/music: Joseph LUTUMBA/Simon-Pierre BOKA di Mpasi Londi |
| National anthem: | note: adopted 1960; replaced when the country was known as Zaire; but readopted in 1997 |
