| Government | Mauritius |
| Executive branch: | head of government: Prime Minister Pravind JUGNAUTH (since 23 January 2017, remains PM after parliamentary election 7 Nov 2019); note - Prime Minister Sir Anerood JUGNAUTH (since 17 December 2014) stepped down on 23 January 2017 in favor of his son, Pravind Kumar JUGNAUTH, who was then appointed prime minister; 7 Nov 2019 Pravind Jugnauth remains prime minister and home affairs minister and also becomes defense minister (2019) |
| Executive branch: | cabinet: Cabinet of Ministers (Council of Ministers) appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president and vice president indirectly elected by the National Assembly for 5-year renewable terms; election last held onÂ 7 Nov 2019Â (next to be held inÂ 2024); prime minister and deputy prime minister appointed by the president, responsible to the National Assembly (2019) |
| Executive branch: | election results: seatsÂ by party as of 7/11/2019- (MSM) 38, (PTR) 14, (MMM) 8, (OPR) 2;Â note - GURIB-FAKIM, Mauritius'- first female president, resigned on 23 March 2018 (2018) |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (70 seats maximum; 62 members directly elected multi-seat constituencies by simple majority vote and up to 8 seats allocated to non-elected party candidates by the Office of Electoral Commissioner; members serve a 5-year term) |
| Legislative branch: | elections: last held onÂ 7Â November 2019Â (next to be held by lateÂ 2024) |
| Legislative branch: | election results: percent of vote by party - MSM 61%, Labour Party 23%, MMM 13%, OPR 3%; elected seats by partyÂ as of - the Militant Socialist Movement (MSM) wins 38 seats, the Labour Party (PTR) or (MLP)Â 14,Â  Mauritian Militant Movement (MMM)Â 8 and the Rodrigues People's Organization (OPR) 2; composition - menÂ 49,Â women 13; percent of women 20% (2019) |
| Judicial branch: | highest courts: Supreme Court of Mauritius (consists of the chief justice, a senior puisne judge, and 18 puisne judges); note - the Judicial Committee of the Privy Council (in London) serves as the final court of appeal |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president after consultation with the prime minister; senior puisne judge appointed by the president with the advice of the chief justice; other puisne judges appointed by the president with the advice of the Judicial and Legal Commission, a 4-member body of judicial officials including the chief justice; all judges serve until retirement at age 67 |
| Judicial branch: | subordinate courts: lower regional courts known as District Courts, Court of Civil Appeal; Court of Criminal Appeal; Public Bodies Appeal Tribunal |
| Political parties and leaders: | Alliance Lepep (Alliance of the People) [Pravind JUGNAUTH] (coalition includes MSM and ML) |
| Political parties and leaders: | Labor Party (Parti Travailliste) or PTR or MLP [Navinchandra RAMGOOLAM] |
| Political parties and leaders: | Mauritian Militant Movement (Mouvement Militant Mauricien) or MMM [Paul BERENGER] |
| Political parties and leaders: | Mauritian Social Democratic Party (Parti Mauricien Social Democrate) or PMSD [Xavier Luc DUVAL] |
| Political parties and leaders: | Mauritian Solidarity Front (Front Solidarite Mauricienne) or FSM [Cehl FAKEERMEEAH, aka Cehl MEEAH] |
| Political parties and leaders: | Militant Socialist Movement (Mouvement Socialist Mauricien) or MSM [Pravind JUGNAUTH] |
| Political parties and leaders: | Muvman Liberater or ML [Ivan COLLENDAVELLOO] |
| Political parties and leaders: | Patriotic Movement (Mouvement Patriotic) [Alan GANOO] |
| Political parties and leaders: | Rodrigues Peoples Organization (Organisation du Peuple Rodriguais) or OPR [Serge CLAIR] |
| International organization participation: | ACP, AfDB, AOSIS, AU, C, CD, COMESA, CPLP (associate), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SAARC (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Sooroojdev PHOKEER (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 1709 N Street NW, Washington, DC 20036; administrative offices at 3201 Connecticut Avenue NW, Suite 441, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-1491 through 1492 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-0983 |
| Diplomatic representation from the US: | chief of mission: Ambassador David D. REIMER (sinceÂ 10 JanuaryÂ 2018); note - also accredited to Seychelles |
| Diplomatic representation from the US: | telephone: [230] 202-4400 |
| Diplomatic representation from the US: | embassy: 4th Floor, Rogers House, John Kennedy Avenue, Port Louis |
| Diplomatic representation from the US: | mailing address: international mail: P.O. Box 544, Port Louis; US mail: American Embassy, Port Louis, US Department of State, Washington, DC 20521-2450 |
| Diplomatic representation from the US: | FAX: [230] 208-9534 |
| Flag description: | four equal horizontal bands of red (top), blue, yellow, and green; red represents self-determination and independence, blue the Indian Ocean surrounding the island, yellow has been interpreted as the new light of independence, golden sunshine, or the bright future, and green can symbolize either agriculture or the lush vegetation of the island |
| Flag description: | note: while many national flags consist of three - and in some cases five - horizontal bands of color, the flag of Mauritius is the world's only national flag to consist of four horizontal color bands |
| National symbol(s): | dodo bird, Trochetia Boutoniana flower; national colors: red, blue, yellow, green |
| National anthem: | name: Motherland |
| National anthem: | lyrics/music: Jean Georges PROSPER/Philippe GENTIL |
| National anthem: | note: adopted 1968 |
