| Government | Azerbaijan |
| Executive branch: | chief of state: President Ilham ALIYEV (since 31 October 2003) |
| Executive branch: | head of government: Prime Minister Artur RASIZADE (since 4 November 2003); First Deputy Prime Minister Abbas ABBASOV (since 10 November 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | elections: president elected by popular vote to a five-year term; election last held 15 October 2003 (next to be held NA October 2008); prime minister and first deputy prime ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | election results: Ilham ALIYEV elected president; percent of vote - Ilham ALIYEV 76.8%, Isa GAMBAROV 14% |
| Legislative branch: | unicameral National Assembly or Milli Mejlis (125 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 4 November 2000 (next to be held NA November 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NAP and allies 108, APF "Reform" 6, CSP 3, PNIA 2, Musavat Party 2, CPA 2, APF "Classic" 1, Compatriot Party 1 |
| Legislative branch: | note: PNIA, Musavat, and APF "Classic" parties refused to take their seats |
| Legislative branch: | note: 100 members of the current parliament were elected on the basis of single mandate constituencies, while 25 were elected based on proportional balloting; as a result of a 24 August 2002 national referendum on changes to the constitution, all 125 members of the next parliament will be elected from single mandate constituencies |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Azerbaijan Popular Front or APF [Ali KARIMLI, leader of "Reform" faction; Mirmahmud MIRALI-OGLU, leader of "Classic" faction]; Civic Solidarity Party or CSP [Sabir RUSTAMKHANLY]; Civic Union Party [Ayaz MUTALIBOV]; Communist Party of Azerbaijan or CPA [Ramiz AHMADOV]; Compatriot Party [Mais SAFARLI]; Democratic Party for Azerbaijan or DPA [Rasul QULIYEV, chairman]; Justice Party [Ilyas ISMAILOV]; Liberal Party of Azerbaijan [Lala Shvkat HACIYEVA]; Musavat [Isa GAMBAR, chairman]; New Azerbaijan Party or NAP [Heydar ALIYEV, chairman]; Party for National Independence of Azerbaijan or PNIA [Etibar MAMMADLI, chairman]; Social Democratic Party of Azerbaijan or SDP [Zardust ALIZADE] |
| Political parties and leaders: | note: opposition parties regularly factionalize and form new parties |
| Political pressure groups and leaders: | Sadval, Lezgin movement; self-proclaimed Armenian Nagorno-Karabakh Republic; Talysh independence movement; Union of Pro-Azerbaijani Forces (UPAF) |
| International organization participation: | AsDB, BSEC, CE, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, GUUAM, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Hafiz PASHAYEV |
| Diplomatic representation in the US: | FAX: [1] (202) 337-5911 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3500 |
| Diplomatic representation in the US: | chancery: 2741 34th Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Ross L. WILSON |
| Diplomatic representation from the US: | embassy: 83 Azadliq Prospekt, Baku 370007 |
| Diplomatic representation from the US: | mailing address: American Embassy Baku, Department of State, 7050 Baku Place, Washington, DC 20521-7050 |
| Diplomatic representation from the US: | telephone: [9] (9412) 98-03-35, 36, 37 |
| Diplomatic representation from the US: | FAX: [9] (9412) 90-66-71 |
| Flag description: | three equal horizontal bands of blue (top), red, and green; a crescent and eight-pointed star in white are centered in red band |
