| Government | Azerbaijan |
| Executive branch: | cabinet: Council of Ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for unlimited terms); election last held on 9 October 2013 (next to be held in October 2018); prime minister and first deputy prime minister appointed by the president and confirmed by the National Assembly |
| Executive branch: | election results: Ilham ALIYEV reelected president; percent of vote - Ilham ALIYEV 84.5%, Jamil HASANLI 5.5%, other 10% |
| Executive branch: | note: OSCE observers concluded that the election did not meet international standards |
| Legislative branch: | unicameral National Assembly or Milli Mejlis (125 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 7 November 2010 (next to be held in November 2015) |
| Legislative branch: | election results: percent of vote by party - YAP 45.8%, CSP 1.6%, Motherland 1.4%, independents 48.2%, other 3.1%; seats by party - YAP 71, CSP 3, Motherland 2, Civil Unity 1, Democratic Reforms 1, Great Creation 1, Hope Party 1, Justice 1, Social Welfare 1, Whole Azerbaijan Popular Front 1, independents 42 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chairman, deputy chairman, and at least 24 judges in plenum sessions); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the president and appointed by the Milli Majlis; judge tenure NA; Constitutional Court chairman and deputy chairman appointed by the president; other court judges nominated by the president and appointed by the Milli Majlis to serve single 15-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal (replaced the Economic Court in 2002); district and municipal courts; |
| Political parties and leaders: | Azerbaijan Democratic Party or ADP [Sardar JALALOGLU] |
| Political parties and leaders: | Azerbaijan Popular Front or AXCP [Ali KARIMLI] |
| Political parties and leaders: | Civil Solidarity Party or CSP [Sabir RUSTAMKHANLI] |
| Political parties and leaders: | Civil Unity Party [Sabir HACIYEV] |
| Political parties and leaders: | Classical Popular Front Party of Azerbaijan [Mirmahmud MIRALI-OGLU] |
| Political parties and leaders: | Democratic Reforms Party [Asim MOLLAZADE] |
| Political parties and leaders: | Great Creation Party [Fazil Gazanfaroglu MUSTAFAYEV] |
| Political parties and leaders: | Hope (Umid) Party [Igbal AGAZADE] |
| Political parties and leaders: | Justice Party [Ilyas ISMAILOV] |
| Political parties and leaders: | Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA, Avaz TEMIRKHAN] |
| Political parties and leaders: | Motherland Party [Fazail AGAMALI] |
| Political parties and leaders: | Musavat (Equality) [Isa GAMBAR] |
| Political parties and leaders: | Open Society Party [Sulhaddin AKBAR] |
| Political parties and leaders: | Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE] |
| Political parties and leaders: | Social Welfare Party [Khanhusein KAZIMLI] |
| Political parties and leaders: | Whole Azerbaijan Popular Front Party [Gudrat HASANGULIYEV] |
| Political parties and leaders: | Yeni (New) Azerbaijan Party or YAP [President Ilham ALIYEV] |
| Political pressure groups and leaders: | EL Movement [Eldar NAMAZOV] |
| Political pressure groups and leaders: | Karabakh Liberation Organization |
| Political pressure groups and leaders: | Forum of Intelligentsia [Rustam IBRAHIMBEYOV] |
| Political pressure groups and leaders: | Republican Alternative (REAL) [Ilgar MAMMADOV] |
| Political pressure groups and leaders: | National Council of Democratic Forces [Jamil HASANLI] |
| Political pressure groups and leaders: | NIDA Youth Movement [Turgut GAMBAR, Zaur GURBANLI (in jail)] |
| Political pressure groups and leaders: | Positive Change Youth Movement [Bakhtiyar HAJIYEV] |
| Political pressure groups and leaders: | Ireli Youth Movement [Rauf MERDIYEV] |
| Political pressure groups and leaders: | Ol! Youth Movement [Vugar SALAMLI] |
| International organization participation: | ADB, BSEC, CD, CE, CICA, CIS, EAPC, EBRD, ECO, EITI (compliant country), FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OIC, OPCW, OSCE, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Elin SULEYMANOV (since 5 December 2011) |
| Diplomatic representation in the US: | chancery: 2741 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-5911 |
| Diplomatic representation in the US: | Consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard L. MORNINGSTAR (since 20 July 2012) |
| Diplomatic representation from the US: | embassy: 111 Azadlig Prospecti, Baku AZ1007 |
| Diplomatic representation from the US: | mailing address: American Embassy Baku, US Department of State, 7050 Baku Place, Washington, DC 20521-7050 |
| Diplomatic representation from the US: | telephone: [994] (12) 488-3300 |
| Diplomatic representation from the US: | FAX: [994] (12) 488-3310 |
| Flag description: | three equal horizontal bands of blue (top), red, and green; a crescent and eight-pointed star in white are centered in the red band; the blue band recalls Azerbaijan's Turkic heritage, red stands for modernization and progress, and green refers to Islam; the crescent moon is an Islamic symbol, while the eight-pointed star represents the eight Turkic peoples of the world |
| National symbol(s): | flames of fire |
| National anthem: | name: "Azerbaijan Marsi" (March of Azerbaijan) |
| National anthem: | lyrics/music: Ahmed JAVAD/Uzeyir HAJIBEYOV |
| National anthem: | note: adopted 1992; although originally written in 1919 during a brief period of independence, "Azerbaijan Marsi" did not become the official anthem until after the dissolution of the Soviet Union |
