| Government | AZERBAIJAN |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ilham ALIYEV (since 31 October 2003); First Vice President Mehriban ALIYEVA (since 21 February 2017) |
| Executive branch: | head of government: Prime Minister Artur RASIZADE (since 4 November 2003); First Deputy Prime Minister Yaqub EYYUBOV (since June 2006); note - RASIZADE was previously prime minister from 20 July 1996 to 4 August 2003 |
| Executive branch: | cabinet: Council of Ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for unlimited terms); election last held on 9 October 2013 (next to be held in October 2018); prime minister and first deputy prime minister appointed by the president and confirmed by the National Assembly; note - a constitutional amendment approved in a September 2016 referendum will expand presidential terms from 5 to 7 years when it formally takes effect; a separate constitutional amendment approved in the September 2016 referendum also introduced the post of first vice-president and additional vice-presidents, who are directly appointed by the |
| Executive branch: | election results: Ilham ALIYEV reelected president in first round; percent of vote - Ilham ALIYEV (YAP) 84.5%, Jamil HASANLI (National Council of Democratic Forces) 5.5%, other 10% |
| Executive branch: | note: OSCE observers concluded that the election did not meet international standards |
| Legislative branch: | description: unicameral National Assembly or Milli Mejlis (125 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 1 November 2015 (next to be held in November 2020) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - YAP 69, CSP 2, Democratic Reforms 1, Social Democratic Party 1, Social Prosperity 1, Unity Party 1, Democratic Enlightenment 1, Whole Azerbaijan Popular Front 1, Motherland 1, Civil Unity 1, Great Undertaking Party 1, National Renaissance Party 1, independent 43, invalid 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chairman, vice chairman, and 23 judges in plenum sessions and organized into civil, economic affairs, criminal, and rights violations chambers); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the president and appointed by the Milli Majlis; judges appointed for 10 years; Constitutional Court chairman and deputy chairman appointed by the president; other court judges nominated by the president and appointed by the Milli Majlis to serve single 15-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal (replaced the Economic Court in 2002); district and municipal courts; |
| Political parties and leaders: | Civil Solidarity Party or CSP [Sabir RUSTAMKHANLI] |
| Political parties and leaders: | Civil Unity Party or CUP [Sabir HAJIYEV] |
| Political parties and leaders: | Democratic Enlightenment [Elshan MUSAYEV] |
| Political parties and leaders: | Democratic Reforms Party [Asim MOLLAZADE] |
| Political parties and leaders: | Great Undertaking [Fazil MUSTAFA] |
| Political parties and leaders: | Musavat [Arif HAJILI] |
| Political parties and leaders: | Popular Front Party [Ali KARIMLI] |
| Political parties and leaders: | Motherland Party or AVP [Fazail AGAMALI] |
| Political parties and leaders: | Social Democratic Party [Ayaz MUTALIBOV] |
| Political parties and leaders: | Social Prosperity Party [Khanhusein KAZIMLI] |
| Political parties and leaders: | Unity Party [Tahir KARIMLI] |
| Political parties and leaders: | Whole Azerbaijan Popular Front Party [Gudrat HASANGULIYEV] |
| Political parties and leaders: | Yeni (New) Azerbaijan Party or YAP [President Ilham ALIYEV] |
| Political pressure groups and leaders: | D18 [Ruslan IZZETLI]] |
| Political pressure groups and leaders: | Ireli Public Union or Ireli PU [MirHasan SEYIDOV] |
| Political pressure groups and leaders: | National Council of Democratic Forces [Jamil HASANLI] |
| Political pressure groups and leaders: | N!DA Civic Movement [Turgut GAMBAR, Ulvi HASANLI] (youth movement) |
| Political pressure groups and leaders: | Republican Alternative or REAL [Ilgar MAMMADOV (in prison since 2013)] |
| International organization participation: | ADB, BSEC, CD, CE, CICA, CIS, EAPC, EBRD, ECO, EITI (compliant country), FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OIC, OPCW, OSCE, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Elin SULEYMANOV (since 5 December 2011) |
| Diplomatic representation in the US: | chancery: 2741 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-5911 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert CEKUTA (since 19 February 2015) |
| Diplomatic representation from the US: | embassy: 111 Azadlig Prospekti, Baku AZ1007 |
| Diplomatic representation from the US: | mailing address: American Embassy Baku, US Department of State, 7050 Baku Place, Washington, DC 20521-7050 |
| Diplomatic representation from the US: | telephone: [994] (12) 488-3300 |
| Diplomatic representation from the US: | FAX: [994] (12) 488-3330 |
| Flag description: | three equal horizontal bands of sky blue (top), red, and green; a crescent and eight-pointed star in white are centered in the red band; the blue band recalls Azerbaijan's Turkic heritage, red stands for modernization and progress, and green refers to Islam; the crescent moon and star are a Turkic insignia; the eight star points represent the eight Turkic peoples of the world |
| National symbol(s): | flames of fire; national colors: blue, red, green |
| National anthem: | name: "Azerbaijan Marsi" (March of Azerbaijan) |
| National anthem: | lyrics/music: Ahmed JAVAD/Uzeyir HAJIBEYOV |
| National anthem: | note: adopted 1992; although originally written in 1919 during a brief period of independence, "Azerbaijan Marsi" did not become the official anthem until after the dissolution of the Soviet Union |
