| Government | Morocco |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, CAEU, CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), Pacific Alliance (observer), Paris Club (associate), PCA, SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNSC (temporary), UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Lalla Joumala ALAOUI (since 24 April 2017) |
| Diplomatic representation in the US: | chancery: 1601 21st Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-7979 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-7643 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Stephanie MILEY (since 20 January 2017) |
| Diplomatic representation from the US: | embassy: Km 5.7 Avenue Mohammed VI, Souissi, Rabat 10170 |
| Diplomatic representation from the US: | mailing address: Unit 9400, Box Front Office, DPO, AE 09718 |
| Diplomatic representation from the US: | telephone: [212] 537 637 200 |
| Diplomatic representation from the US: | FAX: [212] 537 637 201 |
| Diplomatic representation from the US: | consulate(s) general: Casablanca |
| Flag description: | red with a green pentacle (five-pointed, linear star) known as Sulayman's (Solomon's) seal in the center of the flag; red and green are traditional colors in Arab flags, although the use of red is more commonly associated with the Arab states of the Persian Gulf; the pentacle represents the five pillars of Islam and signifies the association between God and the nation; design dates to 1912 |
| National symbol(s): | pentacle symbol, lion; national colors: red, green |
| National anthem: | name: "Hymne Cherifien" (Hymn of the Sharif) |
| National anthem: | lyrics/music: Ali Squalli HOUSSAINI/Leo MORGAN |
| National anthem: | note: music adopted 1956, lyrics adopted 1970 |
