| Government | Rwanda |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the president after consultation with the Cabinet and the Superior Council of the Judiciary (SCJ), a 27-member body of judges, other judicial officials, and legal professionals) and approved by the Senate; chief and deputy chief justices appointed for 8-year nonrenewable terms; tenure of judges NA; High Court president and vice president appointed by the president of the republic upon approval by the Senate; judges appointed by the Supreme Court chief justice upon approval of the SCJ; judge tenure NA |
| Judicial branch: | subordinate courts: High Court of the Republic; commercial courts including the High Commercial Court; intermediate courts; primary courts; and military specialized courts |
| Judicial branch: | Â  |
| Political parties and leaders: | Democratic Green Party of Rwanda or DGPR [Frank HABINEZA] |
| Political parties and leaders: | Liberal Party or PL [Donatille MUKABALISA] |
| Political parties and leaders: | Party for Progress and Concord or PPC [Dr. Alivera MUKABARAMBA] |
| Political parties and leaders: | Party Imberakuri or PS-Imberakuri [Christine MUKABUNANI] |
| Political parties and leaders: | Rwandan Patriotic Front or RPF [Paul KAGAME] |
| Political parties and leaders: | Rwandan Patriotic Front Coalition (includes RPF, PPC) [Paul KAGAME] |
| Political parties and leaders: | Social Democratic Party or PSD [Vincent BIRUTA] |
| International organization participation: | ACP, AfDB, AU, C, CEPGL, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Mathilde MUKANTABANA (since 18 July 2013) |
| Diplomatic representation in the US: | chancery: 1875 Connecticut Avenue NW, Suite 418, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-2882 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4544 |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter H. VROOMAN (since 5 April 2018) |
| Diplomatic representation from the US: | telephone: [250] 252 596-400 |
| Diplomatic representation from the US: | embassy: 2657 Avenue de la Gendarmerie, P. O. Box 28, Kigali |
| Diplomatic representation from the US: | mailing address: B.P. 28, Kigali |
| Diplomatic representation from the US: | FAX: [250] 252 580 325 |
| Flag description: | three horizontal bands of sky blue (top, double width), yellow, and green, with a golden sun with 24 rays near the fly end of the blue band; blue represents happiness and peace, yellow economic development and mineral wealth, green hope of prosperity and natural resources; the sun symbolizes unity, as well as enlightenment and transparency from ignorance |
| National symbol(s): | traditional woven basket with peaked lid; national colors: blue, yellow, green |
| National anthem: | name: "Rwanda nziza" (Rwanda, Our Beautiful Country) |
| National anthem: | lyrics/music: Faustin MURIGO/Jean-Bosco HASHAKAIMANA |
| National anthem: | note: adopted 2001 |
