| Government | Bahamas, The |
| Judicial branch: | note: the Bahamas is a member of the 15-member Caribbean Community but is not party to the agreement establishing the Caribbean Court of Justice as its highest appellate court;Â  the Judicial Committee of the Privy Council (in London) serves as the final court of appeal for The Bahamas |
| Political parties and leaders: | Democratic National Alliance or DNA [Christopher MORTIMER, interim leader] |
| Political parties and leaders: | Free National Movement or FNM [Hubert MINNIS] |
| Political parties and leaders: | Progressive Liberal Party or PLP [Philip "Brave" DAVIS] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW, Petrocaribe, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | Ambassador Sidney Stanley COLLIE (since 20 November 2017) |
| Diplomatic representation in the US: | chancery: 2220 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-2660 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2668 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Miami, New York, Washington, DC |
| Diplomatic representation in the US: | honorary consulate(s): Aurora (CO), Chicago, Houston, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d' Affaires Stephanie BOWERS (since 1 March 2018) |
| Diplomatic representation from the US: | telephone: [1] (242) 322-1181, 328-2206 (after hours) |
| Diplomatic representation from the US: | embassy: 42 Queen Street, Nassau, New Providence |
| Diplomatic representation from the US: | mailing address: local or express mail address: P. O. Box N-8197, Nassau; US Department of State, 3370 Nassau Place, Washington, DC 20521-3370 |
| Diplomatic representation from the US: | FAX: [1] (242) 356-7174 |
| Flag description: | three equal horizontal bands of aquamarine (top), gold, and aquamarine, with a black equilateral triangle based on the hoist side; the band colors represent the golden beaches of the islands surrounded by the aquamarine sea; black represents the vigor and force of a united people, while the pointing triangle indicates the enterprise and determination of the Bahamian people to develop the rich resources of land and sea |
| National symbol(s): | blue marlin, flamingo, Yellow Elder flower; national colors: aquamarine, yellow, black |
| National anthem: | name: March On, Bahamaland! |
| National anthem: | lyrics/music: Timothy GIBSON |
| National anthem: | note: adopted 1973; as a Commonwealth country, in addition to the national anthem, "God Save the Queen" serves as the royal anthem (see United Kingdom) |
