| Government | Uruguay |
| Political parties and leaders: | Colorado Party (Vamos Uruguay) [Martha MONTANER] |
| Political parties and leaders: | Independent Party [Pablo MIERES] |
| Political parties and leaders: | National Party or Blanco [Luis Alberto HEBER] |
| Political pressure groups and leaders: | Chamber of Commerce and Export of Agriproducts |
| Political pressure groups and leaders: | Chamber of Industries (manufacturer's association) |
| Political pressure groups and leaders: | Exporters Union of Uruguay |
| Political pressure groups and leaders: | National Chamber of Commerce and Services |
| Political pressure groups and leaders: | PIT/CNT (powerful federation of Uruguayan Unions - umbrella labor organization) |
| Political pressure groups and leaders: | Rural Association of Uruguay (rancher's association) |
| Political pressure groups and leaders: | Uruguayan Network of Political Women |
| Political pressure groups and leaders: | other: B'nai Brith; Catholic Church; students |
| International organization participation: | CAN (associate), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, MONUSCO, NAM (observer), OAS, OPANAL, OPCW, PCA, UN, UNASUR, UNCTAD, UNESCO, UNIDO, Union Latina, UNISFA, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Carlos Alberto GIANELLI Derois (since 11 September 2012) |
| Diplomatic representation in the US: | chancery: 1913 I Street NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-1313 through 1316 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-8142 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Julissa REYNOSO (since 30 March 2012) |
| Diplomatic representation from the US: | embassy: Lauro Muller 1776, Montevideo 11200 |
| Diplomatic representation from the US: | mailing address: APO AA 34035 |
| Diplomatic representation from the US: | telephone: [598] (2) 1770-2000 |
| Diplomatic representation from the US: | FAX: [598] (2) 1770-2128 |
| Flag description: | nine equal horizontal stripes of white (top and bottom) alternating with blue; a white square in the upper hoist-side corner with a yellow sun bearing a human face known as the Sun of May with 16 rays that alternate between triangular and wavy; the stripes represent the nine original departments of Uruguay; the sun symbol evokes the legend of the sun breaking through the clouds on 25 May 1810 as independence was first declared from Spain (Uruguay subsequently won its independence from Brazil) |
| Flag description: | note: the banner was inspired by the national colors of Argentina and by the design of the US flag |
| National symbol(s): | Sun of May (a sun-with-face symbol) |
| National anthem: | name: "Himno Nacional" (National Anthem of Uruguay) |
| National anthem: | lyrics/music: Francisco Esteban ACUNA de Figueroa/Francisco Jose DEBALI |
| National anthem: | note: adopted 1848; the anthem is also known as "Orientales, la Patria o la tumba!" ("Uruguayans, the Fatherland or Death!"); it is the world's longest national anthem in terms of music (105 bars; almost five minutes); generally only the first verse and chorus are sung |
