| Government | Uruguay |
| Legislative branch: | Chamber of Senators - last held on 26 October 2014 (next to be held in October 2019); Chamber of Representatives - last held on 26 October 2014 (next to be held in October 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Chamber of Senators - percent of vote by coalition/party - Frente Amplio 49.5%, National Party 31.9%, Colorado Party 13.3%, Independent Party 3.2%, other 2.1%; seats by coalition/party - Frente Amplio 15, National Party 10, Colorado Party 4, Independent Party 1 |
| Legislative branch: | Chamber of Representatives - percent of vote by coalition/party - Frente Amplio 49.5%, National Party 31.9%, Colorado Party 13.3%, Independent Party 3.2%, AP 1.2%, other 0.9%; seats by coalition/party - Frente Amplio 50, National Party 32, Colorado Party 13, Independent Party 3, AP 1 |
| Political parties and leaders: | Broad Front or FA (Frente Amplio) - (a broad governing coalition that includes Uruguay Assembly [Danilo ASTORI], Progressive Alliance [Rodolfo NIN NOVOA], New Space [Rafael MICHELINI], Socialist Party [Monica XAVIER], Vertiente Artiguista [Enrique RUBIO], Christian Democratic Party [Juan Andres ROBALLO], For the Peopleâ€™s Victory [Luis PUIG], Popular Participation Movement (MPP) [Jose MUJICA], Broad Front Commitment [Raul SENDIC], Big House [Constanza MOREIRA], Communist Party [Marcos CARAMBULA], The Federal League [Dario PEREZ] |
| Political parties and leaders: | Colorado Party (including Vamos Uruguay (or Let's Go Uruguay) [Pedro BORDABERRY], Open Space [Tabare VIERA], and Open Batllism [Ope PASQUET]) |
| Political parties and leaders: | Independent Party [Pablo MIERES] |
| Political parties and leaders: | National Party or Blanco (including All Forward [Luis LACALLE POU] and National Alliance [Jorge LARRANAGA]) |
| Political parties and leaders: | Popular Assembly [Gonzalo ABELLA] |
| International organization participation: | CAN (associate), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAES, LAIA, Mercosur, MIGA, MINUSTAH, MONUSCO, NAM (observer), OAS, OIF (observer), OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNIDO, Union Latina, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Carlos Alberto GIANELLI Derois (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 1913 I Street NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-1313 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-8142 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kelly Ann KEIDERLING-FRANZ (since 23 June 2016) |
| Diplomatic representation from the US: | embassy: Lauro Muller 1776, Montevideo 11200 |
| Diplomatic representation from the US: | mailing address: APO AA 34035 |
| Diplomatic representation from the US: | telephone: [598] (2) 1770-2000 |
| Diplomatic representation from the US: | FAX: [598] (2) 1770-2128 |
| Flag description: | nine equal horizontal stripes of white (top and bottom) alternating with blue; a white square in the upper hoist-side corner with a yellow sun bearing a human face (delineated in black) known as the Sun of May with 16 rays that alternate between triangular and wavy; the stripes represent the nine original departments of Uruguay; the sun symbol evokes the legend of the sun breaking through the clouds on 25 May 1810 as independence was first declared from Spain (Uruguay subsequently won its independence from Brazil); the sun features are said to represent those of Inti, the Inca god of the sun |
| Flag description: | note: the banner was inspired by the national colors of Argentina and by the design of the US flag |
| National symbol(s): | Sun of May (a sun-with-face symbol); national colors: blue, white, yellow |
| National anthem: | name: "Himno Nacional" (National Anthem of Uruguay) |
| National anthem: | lyrics/music: Francisco Esteban ACUNA de Figueroa/Francisco Jose DEBALI |
| National anthem: | note: adopted 1848; the anthem is also known as "Orientales, la Patria o la tumba!" ("Uruguayans, the Fatherland or Death!"); it is the world's longest national anthem in terms of music (105 bars; almost five minutes); generally only the first verse and chorus are sung |
